lap2_7_samp	cur2_7_samp	lap2_8_samp	cur2_8_samp	lap2_9_samp	cur2_9_samp	lap2_10_samp	cur2_10_samp	lap2_11_samp	cur2_11_samp	sub	ind_delta_vm	ind_t
0.000108321	0.00102493	0.000102999	0.00509838	8.16E-05	0.00475873	0.000120347	0.00112605	0.000171145	0.00123455	-0.000494555	0.0068966	-22.656
0.00153012	0.000855683	0.00145479	0.00528391	0.00115183	0.00506681	0.00170006	0.00148148	0.00241748	0.00137197	-0.000391468	0.0080149	-22.5289
0.00306028	0.000649737	0.00290965	0.00532037	0.00230374	0.00485892	0.00340027	0.00155609	0.00483504	0.0013911	-0.000596751	0.0083895	-22.2621
0.00459047	0.000752193	0.00436443	0.00526869	0.00345564	0.00496439	0.00510051	0.00163238	0.00725251	0.00161058	-0.000601638	0.0091615	-3.52207
0.00612067	0.0006916	0.0058192	0.00527088	0.00466647	0.00503434	0.00680072	0.00167306	0.00966996	0.00175814	0.00103913	0.0100542	-3.35353
0.00765085	0.000940885	0.007274	0.00537357	0.00607673	0.00486223	0.00850091	0.0016298	0.0120875	0.00167149	0.000886794	0.009301	-3.23316
0.00918099	0.000913369	0.00872889	0.00528212	0.00748931	0.00494333	0.0102011	0.00136878	0.014505	0.00154045	0.00138596	0.0091838	-3.14148
0.0107111	0.000901688	0.0101838	0.00534996	0.00890192	0.00499944	0.0119014	0.00149984	0.0169225	0.00161288	0.00117842	0.0089371	-3.03455
0.0122411	0.000837557	0.0116385	0.00526677	0.0103145	0.0048798	0.0136016	0.00144195	0.0193401	0.00149792	0.000930499	0.0086877	-2.87436
0.0137712	0.000916705	0.0130933	0.00524798	0.011727	0.00489878	0.0153019	0.00144435	0.0217577	0.00163896	0.00147347	0.0080598	-2.7605
0.0153014	0.000658408	0.0145481	0.00515154	0.0131395	0.00482539	0.017002	0.00160828	0.0241751	0.00176047	0.000851449	0.0075211	-2.67135
0.0168316	0.00095913	0.0160028	0.00520776	0.0145522	0.00483963	0.0187022	0.00152	0.0265962	0.00135799	0.000717003	0.0073565	-2.57912
0.0183618	0.000793828	0.0174576	0.00529986	0.0159649	0.00492145	0.0204024	0.00143736	0.0290449	0.00174107	0.00162696	0.0078313	-2.49959
0.0198919	0.000788304	0.0189124	0.00526442	0.0173775	0.00500125	0.0221025	0.00151242	0.0314948	0.0015989	0.00242774	0.0079448	-2.41645
0.021422	0.000644781	0.0203673	0.00529127	0.01879	0.0048971	0.0238034	0.00154845	0.0339446	0.00141892	0.00277337	0.0061034	-2.33384
0.0229521	0.000652023	0.021817	0.00523008	0.0202026	0.00487883	0.0256172	0.00138144	0.0363945	0.00151524	0.00239938	0.0079715	-2.24376
0.0244611	0.000635207	0.0229968	0.00520321	0.0216152	0.00484583	0.0274716	0.00140098	0.0388444	0.0014178	0.00275592	0.0084068	-2.16557
0.0259444	0.00085259	0.024114	0.0051786	0.0230278	0.00493663	0.0293259	0.00126741	0.0412944	0.00159198	0.00319394	0.0069295	-2.08624
0.0274278	0.000802829	0.0252311	0.00520481	0.0244405	0.00499658	0.0311803	0.0014597	0.0437442	0.00154594	0.00264829	0.00978	-2.00706
0.0289112	0.000904514	0.026348	0.00534769	0.0258531	0.00499575	0.0330347	0.00144355	0.0461941	0.00144442	0.003916	0.0122808	-1.88697
0.0303945	0.000653574	0.0274651	0.00532077	0.0272658	0.0047611	0.0348892	0.00147288	0.0486441	0.00154748	0.00434629	0.0114254	-1.77239
0.0318778	0.000738497	0.0285822	0.00528777	0.0286785	0.00488011	0.0367437	0.00142667	0.0510942	0.00178562	0.00396703	0.0106042	-1.6783
0.0333612	0.000823664	0.0296991	0.00527162	0.0300911	0.00488393	0.038598	0.00133228	0.0535441	0.00171205	0.00462409	0.012288	-1.59335
0.0348447	0.00081828	0.0308162	0.00544413	0.0315038	0.0048252	0.0404525	0.00151638	0.055994	0.00142572	0.00531552	0.0133055	-1.49995
0.0363281	0.000806834	0.0319333	0.00522404	0.0329169	0.00456075	0.0423069	0.00146729	0.0584542	0.00155052	0.00443996	0.0125139	-1.42492
0.0378115	0.000754563	0.0330502	0.00530293	0.034435	0.00494627	0.0441614	0.00137878	0.0609446	0.00154975	0.00538335	0.0123695	-1.35118
0.0392949	0.00088224	0.0341673	0.00525496	0.0359915	0.00482184	0.0460158	0.00156288	0.0634353	0.00143774	0.00641791	0.0126324	-1.28138
0.0407783	0.00088858	0.0352843	0.00527965	0.0375481	0.00493027	0.0478703	0.00122938	0.0659259	0.00147212	0.00629444	0.013212	-1.21267
0.0422615	0.000813395	0.0364013	0.005156	0.0391046	0.00499472	0.0497247	0.00121174	0.0684165	0.00128842	0.00677951	0.0131972	-1.1494
0.0437449	0.000842813	0.0375183	0.00523089	0.0406613	0.00494086	0.0515792	0.00155245	0.070907	0.00129057	0.00784994	0.011835	-1.08657
