lap4_13_samp	cur4_13_samp	lap4_14_samp	cur4_14_samp	lap4_15_samp	cur4_15_samp	lap4_16_samp	cur4_16_samp	sub2	ind_t	ind_delta_vm
5.66E-05	0.00353162	0.000116876	0.00360511	0.000106157	0.00360489	0.000172124	0.00348409	-0.00102356	-14.658	0.0066887
0.000800169	0.00374291	0.00165105	0.00350687	0.00149958	0.00369822	0.00243141	0.00367119	0.000117063	-14.5694	0.0071181
0.00160035	0.00350968	0.00330219	0.00365986	0.00299926	0.00359406	0.00486292	0.00371648	-0.000223716	-14.4669	0.0088282
0.00240046	0.00354262	0.00495338	0.00366254	0.00449889	0.00361584	0.00729441	0.00345378	0.000485214	-2.97395	0.0068804
0.00320055	0.00379953	0.00660443	0.00366101	0.00599853	0.00354733	0.00972592	0.00373356	0.00137615	-2.79312	0.0077604
0.00400067	0.00355291	0.00825553	0.00349002	0.00749824	0.00347809	0.0121574	0.00368447	0.00226267	-2.68188	0.0079719
0.00480084	0.00371135	0.00990663	0.00349668	0.00899793	0.00361003	0.0145888	0.00363019	0.00398574	-2.57377	0.0087579
0.00560099	0.00369867	0.0115577	0.00365423	0.0104976	0.00372171	0.0170204	0.00364555	0.00291414	-2.45825	0.0076422
0.00640109	0.00368425	0.0132087	0.00375672	0.0119972	0.00352554	0.0194519	0.00356447	0.00174508	-2.35929	0.0073841
0.00720131	0.00374856	0.0148598	0.00353064	0.0134969	0.00353258	0.0218834	0.00379016	0.00289167	-2.28188	0.0073956
0.00800146	0.00343363	0.0164889	0.00364277	0.0149965	0.00335169	0.0242272	0.00353448	0.00412459	-2.20998	0.0079487
0.00880158	0.00350789	0.0178759	0.00373969	0.0164962	0.00359269	0.0264648	0.00353924	0.00409161	-2.14545	0.0096289
0.00960178	0.00345698	0.0192441	0.00352407	0.0179959	0.0036588	0.0287025	0.00367752	0.00420828	-2.07599	0.0109668
0.010402	0.00354328	0.0206122	0.00362949	0.0194956	0.00370731	0.0309401	0.00349594	0.00428371	-2.00306	0.0101518
0.0112023	0.00362112	0.0219804	0.00358171	0.0209953	0.00365793	0.0331777	0.00371499	0.00564968	-1.93443	0.0081249
0.0120024	0.00346504	0.0233487	0.00372385	0.0224949	0.00357094	0.0354154	0.00354797	0.00626326	-1.87147	0.0075696
0.0128026	0.00357998	0.0247168	0.0037863	0.0239946	0.00375897	0.037653	0.00348839	0.00587684	-1.81381	0.0089471
0.0136028	0.00376981	0.0260849	0.00354423	0.0254942	0.00353921	0.0398906	0.00363915	0.00770774	-1.75098	0.0107276
0.0147322	0.00373983	0.0274531	0.00362205	0.026994	0.00340532	0.0421284	0.00364869	0.00976241	-1.6928	0.0111365
0.0162962	0.00363353	0.0288214	0.00357168	0.0284936	0.0038309	0.0443659	0.00382883	0.00994527	-1.63374	0.009945
0.0178603	0.00345737	0.0301896	0.00363264	0.0299933	0.00377191	0.0466036	0.00359596	0.00954955	-1.57511	0.0089879
0.0194244	0.00358032	0.0315577	0.00368591	0.0314929	0.00349496	0.0488413	0.00388591	0.00944753	-1.51565	0.0100823
0.0209885	0.00368348	0.032926	0.00360861	0.0329926	0.00360648	0.0510788	0.00365652	0.00940772	-1.45748	0.0124369
0.0225527	0.00363672	0.0342941	0.00362744	0.0344923	0.00345278	0.0533164	0.0035033	0.00850977	-1.40055	0.0135642
0.0241169	0.00363845	0.0356623	0.00372838	0.0359766	0.00369698	0.0555539	0.00382528	0.00831288	-1.34191	0.0123836
0.025681	0.0038311	0.0370305	0.00378545	0.0371541	0.00365586	0.0577897	0.003841	0.0100016	-1.28752	0.0102826
0.0272452	0.00356776	0.0383987	0.00362341	0.0382916	0.0036838	0.0598698	0.00343959	0.0117044	-1.22888	0.0090223
0.0288095	0.00367821	0.039767	0.00383667	0.039429	0.00349475	0.0619058	0.00369504	0.0121741	-1.17357	0.0090863
0.0303737	0.00357986	0.0411352	0.00370028	0.0405665	0.00353753	0.0639418	0.00350174	0.0111933	-1.11701	0.0097669
0.0319379	0.00352153	0.0425034	0.00376941	0.0417039	0.00380863	0.0659776	0.00346204	0.0114001	-1.05663	0.0101557
0.033502	0.00373501	0.0438717	0.00352891	0.0428413	0.0036294	0.0680133	0.00361254	0.0107684	-0.990963	0.0096408
0.0350661	0.00347305	0.04524	0.00354085	0.0439788	0.00355749	0.0700492	0.00346793	0.0100167	-0.924916	0.008836
0.0366363	0.00364039	0.0466082	0.00356069	0.0451162	0.00348267	0.0720853	0.00381539	0.0105731	-0.866763	0.0090891
0.0386865	0.00349082	0.0479764	0.00340514	0.0462536	0.00365531	0.0741211	0.00336517	0.0116172	-0.806308	0.0104986
0.040869	0.00347985	0.0493447	0.00355242	0.0473911	0.00365181	0.0761571	0.00373437	0.011864	-0.747855	0.0115192
0.0430515	0.00362731	0.0507129	0.00366496	0.0485285	0.00362642	0.078193	0.00347272	0.0117074	-0.689799	0.0111516
0.045234	0.00362167	0.0520811	0.00351973	0.0496659	0.00354073	0.080229	0.00354192	0.0121091	-0.632971	0.0105152
0.0474166	0.00365549	0.0534493	0.00360031	0.0508033	0.0036091	0.0822649	0.00367347	0.0129549	-0.576439	0.0102916
0.0495991	0.00371702	0.0548175	0.00351127	0.0519407	0.00369915	0.0843008	0.00361352	0.0134378	-0.520554	0.0092671
0.0517816	0.00362382	0.0561857	0.00351407	0.0530781	0.00372803	0.0863367	0.00367784	0.0138077	-0.461444	0.0076041
0.0539642	0.00378359	0.0575539	0.00352714	0.0542156	0.0035588	0.0883725	0.00361792	0.0141135	-0.399055	0.0092089
0.0561468	0.00360343	0.058922	0.00366714	0.0553531	0.00346013	0.0904083	0.003616	0.0138522	-0.345093	0.0142176
0.0583295	0.00363097	0.0602902	0.00352714	0.0564907	0.00349053	0.0924441	0.00367042	0.0131361	-0.290191	0.0161523
0.060512	0.0035474	0.0616546	0.00351279	0.0576281	0.0037126	0.0944001	0.00375615	0.0128811	-0.234521	0.0099839
0.0626964	0.00369225	0.0627028	0.00341021	0.0587655	0.00365217	0.0962356	0.00379081	0.0135846	-0.171581	0.0057433
