lap2_7_samp	cur2_7_samp	lap2_8_samp	cur2_8_samp	lap2_9_samp	cur2_9_samp	lap2_10_samp	cur2_10_samp	lap2_11_samp	rp1327	in_delta_vm	ind_t
0.000132568	0.000984991	0.000133189	0.00563053	0.000141599	0.00868614	0.00013233	0.00868468	0.00010808	-0.0633393	0.001985	-16.268
0.00187251	0.0011819	0.00188153	0.00563837	0.00200009	0.00806345	0.00186932	0.00888644	0.00152684	-0.0638499	0.0028521	-16.1707
0.00374507	0.00119204	0.00376282	0.00564647	0.0040002	0.00819079	0.00373857	0.00905671	0.0030537	-0.0632254	0.00805	-15.8637
0.00561746	0.00133235	0.00564434	0.00566061	0.00600025	0.00790686	0.0056078	0.00919708	0.0045805	-0.0627549	0.0080116	-2.38663
0.00748999	0.00125252	0.00752571	0.00574506	0.00800036	0.0080669	0.00747698	0.00910836	0.00610739	-0.0623678	0.006598	-2.25173
0.00936243	0.00105122	0.00940707	0.00562446	0.0100007	0.00788115	0.00927477	0.00916528	0.0076342	-0.0622591	0.0066292	-2.17436
0.011235	0.00120483	0.0112885	0.00551828	0.0120303	0.00797063	0.010862	0.00912519	0.00916112	-0.0620505	0.0077567	-2.09436
0.0131075	0.00126887	0.01317	0.00575306	0.0140704	0.00791816	0.0124477	0.00921474	0.010688	-0.062393	0.0074696	-2.01683
0.0149801	0.00101763	0.0150514	0.00571176	0.0161104	0.0079865	0.0140335	0.00926438	0.0122149	-0.0626104	0.0077448	-1.95341
0.0168525	0.00102161	0.0169329	0.00556591	0.0181505	0.00792574	0.0156192	0.00887417	0.0137417	-0.0624949	0.0068769	-1.88727
0.0186276	0.00122545	0.0188144	0.00572124	0.0201906	0.00801753	0.0172049	0.00926266	0.0152686	-0.0617199	0.0067395	-1.82374
0.0201728	0.00112854	0.0206958	0.00564593	0.0222307	0.00807771	0.0187905	0.00911322	0.0167956	-0.0611951	0.0077888	-1.74709
0.0217171	0.00117921	0.0225772	0.00569011	0.0242707	0.00797252	0.0203761	0.00914068	0.0183226	-0.0603904	0.0084071	-1.68594
0.0232614	0.00122933	0.0244585	0.00577625	0.0263107	0.00777238	0.0219617	0.00900075	0.0198495	-0.0599838	0.0081389	-1.63571
0.0248058	0.00115296	0.0263399	0.005753	0.0283507	0.00807122	0.0235474	0.00900364	0.0213764	-0.059464	0.0073541	-1.58783
0.0263501	0.0012108	0.0282215	0.0054781	0.0303907	0.00791668	0.0251331	0.0091383	0.0229031	-0.0591684	0.00773	-1.5364
0.0278946	0.00114986	0.0301955	0.00572051	0.0324308	0.00803883	0.0267187	0.00887112	0.0244299	-0.0589777	0.007427	-1.48743
0.0294391	0.00126563	0.0322128	0.00586218	0.034471	0.00779978	0.0283044	0.00912261	0.0259567	-0.0585791	0.0065112	-1.43268
0.0309835	0.00119218	0.0342301	0.00576368	0.0365111	0.00779621	0.0298901	0.00893626	0.0274403	-0.0581773	0.0064345	-1.37722
0.0325279	0.00126757	0.0362474	0.00557809	0.0385511	0.00815894	0.0314758	0.00895219	0.0288515	-0.0584969	0.0068991	-1.32141
0.0340723	0.0012229	0.0382647	0.00552617	0.0405911	0.00803459	0.0330616	0.00896179	0.0302624	-0.0584536	0.0068338	-1.27217
0.0356167	0.00115052	0.040282	0.00561136	0.0426304	0.00817759	0.0346473	0.00900745	0.0316733	-0.0579331	0.0063494	-1.22553
0.0371611	0.00103387	0.0422993	0.00575464	0.0446427	0.00797137	0.0362329	0.00894102	0.0330843	-0.0577503	0.0062216	-1.17806
0.0387056	0.00119743	0.0443166	0.00562439	0.0466492	0.00795145	0.0378186	0.00912196	0.0344953	-0.0582348	0.0067399	-1.13184
0.04025	0.00103522	0.046334	0.00560057	0.0486557	0.00809186	0.0394043	0.00913318	0.0359063	-0.0583167	0.0072362	-1.08485
0.0417943	0.0011537	0.0483513	0.00573077	0.0506623	0.00807799	0.0409899	0.00904303	0.0373173	-0.0578101	0.0071899	-1.04207
0.0433387	0.00137742	0.0503688	0.00580118	0.0526686	0.00802715	0.0425756	0.0089531	0.0387283	-0.0574246	0.0067102	-0.995718
0.0448832	0.00111898	0.0523861	0.00582624	0.0546751	0.00798019	0.0441612	0.00909823	0.0401394	-0.0571394	0.0060989	-0.947476
0.0464276	0.00120454	0.0544034	0.00567246	0.0566815	0.00798677	0.0457467	0.00899858	0.0415504	-0.0564102	0.0056018	-0.895931
0.0479721	0.00111823	0.0564208	0.00581235	0.058688	0.00797607	0.0471841	0.00905226	0.0429616	-0.0560154	0.0060412	-0.849151
0.0495166	0.00124215	0.0584518	0.00553984	0.0606943	0.00805459	0.0485329	0.00904979	0.0443726	-0.0557944	0.0074278	-0.806625
0.051061	0.00120825	0.0606195	0.00580653	0.0627008	0.00808331	0.0498817	0.00902755	0.0457836	-0.0553632	0.0084274	-0.765513
0.0526053	0.0011048	0.0627969	0.00554485	0.0647073	0.00793951	0.0512304	0.00893828	0.0471947	-0.0553736	0.0075424	-0.723778
0.0541497	0.00126729	0.0649742	0.00545957	0.0667138	0.00791077	0.0525792	0.00919596	0.0486057	-0.0548288	0.0062691	-0.67974
0.0556942	0.00120925	0.0671515	0.00570842	0.0687202	0.00810952	0.053928	0.00907229	0.0500169	-0.0548499	0.0062842	-0.638174
0.0572386	0.00116585	0.069329	0.00575126	0.0707268	0.00803005	0.0552769	0.00912792	0.051428	-0.0549331	0.0074644	-0.593669
0.0587829	0.00107368	0.0715065	0.00565502	0.0727333	0.00806863	0.0566257	0.00905891	0.052839	-0.0544993	0.0083886	-0.549274
0.0603274	0.00113572	0.0736839	0.00587766	0.0747397	0.00789908	0.0579745	0.00924514	0.0542501	-0.0539295	0.0079799	-0.503384
0.0618681	0.00127814	0.0758611	0.00570711	0.0767189	0.0078643	0.0593233	0.00900097	0.0556611	-0.0540185	0.0070713	-0.461467
0.0630814	0.001232	0.0780385	0.00592858	0.0786633	0.00809981	0.0606721	0.00911787	0.0570722	-0.0545963	0.0076074	-0.420472
0.0641987	0.00121496	0.0802158	0.00563336	0.0806075	0.00805172	0.062021	0.00920598	0.0584832	-0.0544048	0.0095346	-0.37562
0.0653161	0.00126103	0.0823933	0.00589911	0.0825517	0.00787196	0.0633697	0.00923351	0.0598942	-0.0539921	0.0103425	-0.327711
0.0664335	0.00130653	0.0845707	0.00575716	0.0844961	0.00794416	0.0647184	0.00916342	0.0613032	-0.0537093	0.0073139	-0.277107
0.067551	0.00128205	0.0867481	0.00558273	0.0864406	0.00807859	0.0660671	0.00905998	0.0626222	-0.0531074	0.0023051	-0.232657
0.0686682	0.00120231	0.0889637	0.00571841	0.0883849	0.00802854	0.0674159	0.00914371	0.0639212	-0.0522279	0.0025015	-0.188122
0.0697855	0.00121249	0.0912829	0.00554565	0.0903294	0.00804222	0.0687646	0.00896125	0.0652201	-0.0519089	0.012181	-0.14159
0.0709028	0.00135113	0.0936027	0.00570215	0.0922738	0.00808667	0.0701133	0.00904236	0.066519	-0.0519651	0.0326677	-0.093037
0.07202	0.00114411	0.0959224	0.00572485	0.0942182	0.00789122	0.071462	0.0091151	0.067818	-0.0518814	0.06023843	-0.0444416
