rp10	rp11	rp12	rp13	rp14	sub3	tbasej11	rp27
-0.0520034	-0.054802	-0.0536139	-0.0567439	-0.0526818	-9.11028e-05	-3.98963	-0.0537252
-0.0527173	-0.0529869	-0.0542054	-0.0564282	-0.0552149	0.000738165	-3.75472	-0.0549252
-0.0520284	-0.0538772	-0.0540057	-0.0567139	-0.0529026	0.00131407	-3.55398	-0.0549833
-0.0533177	-0.0561134	-0.0552639	-0.0564913	-0.0538665	0.00132681	-3.42507	-0.0556494
-0.0530127	-0.0564074	-0.0562646	-0.0561987	-0.0565987	0.00169901	-3.31517	-0.0562991
-0.0536018	-0.0564125	-0.0561964	-0.057728	-0.0561316	0.00221146	-3.20375	-0.0568374
-0.0534122	-0.0559898	-0.0562271	-0.0574938	-0.0554942	0.00175528	-3.10451	-0.0569825
-0.052954	-0.05431	-0.0552834	-0.0588805	-0.0560164	0.00130774	-3.02413	-0.0570439
-0.0533023	-0.054036	-0.0560758	-0.05799	-0.0550699	0.00128431	-2.93778	-0.0567292
-0.0537039	-0.0536563	-0.0559492	-0.0567792	-0.0533611	0.00123146	-2.85243	-0.0559642
-0.053065	-0.053557	-0.0556165	-0.0565867	-0.0533322	0.0022174	-2.76709	-0.0556628
-0.0525544	-0.0535914	-0.0555313	-0.0560368	-0.0546658	0.00288124	-2.68509	-0.0555683
-0.0534576	-0.0534027	-0.0553612	-0.0564953	-0.0540295	0.00374155	-2.59088	-0.055693
-0.0544302	-0.0539546	-0.0569534	-0.0569947	-0.0526865	0.00336785	-2.49939	-0.05642
-0.0556512	-0.0546569	-0.0558165	-0.0565774	-0.0545532	0.00333208	-2.41061	-0.0566451
-0.0570266	-0.0541767	-0.0572667	-0.0560091	-0.0562325	0.00422602	-2.33388	-0.0575238
-0.0564213	-0.0536594	-0.0567994	-0.0562882	-0.0541253	0.00397235	-2.24623	-0.0569835
-0.0557571	-0.0534186	-0.0554767	-0.0562371	-0.0522908	0.00390809	-2.12772	-0.0569749
-0.0569458	-0.052474	-0.0557333	-0.0565972	-0.0523572	0.00294679	-2.02855	-0.0571046
-0.0576606	-0.0538367	-0.0538777	-0.0561142	-0.0524844	0.00310045	-1.93963	-0.0569104
-0.0566204	-0.0551443	-0.054187	-0.0549124	-0.0520146	0.00279958	-1.84323	-0.0562996
-0.054884	-0.0548083	-0.0557131	-0.0539317	-0.0524435	0.0033467	-1.74986	-0.0553002
-0.0545802	-0.0554946	-0.0580779	-0.0542475	-0.0534394	0.00269562	-1.65675	-0.0551665
-0.0552628	-0.0551942	-0.054696	-0.0539996	-0.0525691	0.00271157	-1.56074	-0.0547793
-0.0551843	-0.0548065	-0.0536897	-0.0537143	-0.0515755	0.00332689	-1.47757	-0.0556281
-0.0540203	-0.0561326	-0.0553092	-0.0523461	-0.053155	0.00475753	-1.39936	-0.0553825
-0.0537344	-0.0562822	-0.0546226	-0.0523759	-0.0537439	0.00434329	-1.32084	-0.0552607
-0.0546194	-0.0549933	-0.0539869	-0.0541483	-0.0531149	0.00459214	-1.24435	-0.0555044
-0.0543403	-0.0552489	-0.0538429	-0.0539445	-0.053278	0.00411598	-1.16536	-0.0559036
-0.053559	-0.0569788	-0.0546207	-0.0530825	-0.0534874	0.00532227	-1.09022	-0.0556259
-0.0546288	-0.0579405	-0.0549226	-0.0535576	-0.0520688	0.00666156	-1.01158	-0.0559193
-0.0554772	-0.0570911	-0.0541966	-0.0544935	-0.0508622	0.00603987	-0.934272	-0.0561189
-0.0555485	-0.0553499	-0.0545322	-0.0546755	-0.0515671	0.00634577	-0.85782	-0.0566059
-0.055983	-0.054465	-0.0552312	-0.052347	-0.0525851	0.00698804	-0.792692	-0.0571543
-0.0553194	-0.0548187	-0.0547133	-0.0529343	-0.0519688	0.0064137	-0.72858	-0.0568658
-0.0546061	-0.054002	-0.0535116	-0.0536349	-0.0505708	0.00582101	-0.666502	-0.0568754
-0.0549151	-0.053087	-0.051933	-0.0537817	-0.0504962	0.00607203	-0.602848	-0.0572815
-0.0547361	-0.0534777	-0.0517081	-0.0541133	-0.0511584	0.00609233	-0.544243	-0.0570813
-0.0550606	-0.0529505	-0.0527633	-0.0549525	-0.050903	0.00568575	-0.48767	-0.0566605
-0.056132	-0.0523089	-0.0497762	-0.0557364	-0.0501402	0.00574874	-0.429944	-0.056798
-0.0552787	-0.0535953	-0.0508822	-0.0565235	-0.0502631	0.0068308	-0.369471	-0.0568308
-0.0547172	-0.0544925	-0.0514612	-0.0538807	-0.0504954	0.00758041	-0.307987	-0.055955
-0.0559351	-0.0523413	-0.0507328	-0.0543214	-0.049344	0.00870091	-0.248401	-0.0557975
-0.0549107	-0.0505559	-0.0515452	-0.0548144	-0.0478697	0.00801532	-0.190015	-0.0568095
-0.0514966	-0.0537944	-0.049186	-0.0527765	-0.0497985	0.00674083	-0.127955	-0.0570337
-0.0541156	-0.0564381	-0.0513222	-0.0563382	-0.0535867	0.00685025	-0.0600815	-0.0573552
