Vm1_50b_samp	Vm1_53b_samp	Vm1_56b_samp
-0.0592202	-0.0644863	-0.0584283
-0.0591978	-0.0644766	-0.0584527
-0.0592117	-0.064547	-0.0584542
-0.0592893	-0.0645536	-0.0584831
-0.0593166	-0.0645241	-0.0585317
-0.0593219	-0.0645499	-0.0585444
-0.0593572	-0.0645521	-0.0585597
-0.0593669	-0.0645495	-0.0586039
-0.0593051	-0.0646185	-0.0586226
-0.0593069	-0.0646754	-0.0585728
-0.0592892	-0.0646852	-0.0585586
-0.0592533	-0.0647137	-0.0586044
-0.0591835	-0.0647656	-0.0586238
-0.0591314	-0.0647839	-0.0585664
-0.0591172	-0.0647843	-0.0585663
-0.0591113	-0.0647571	-0.0585621
-0.0591148	-0.0647416	-0.0585842
-0.0591143	-0.0647176	-0.0585509
-0.0590445	-0.0647206	-0.0585711
-0.0590293	-0.0646649	-0.0585895
-0.0590658	-0.0646371	-0.0585596
-0.0590315	-0.0645791	-0.058529
-0.0589905	-0.064626	-0.0586147
-0.0590701	-0.0646356	-0.0586034
-0.0590579	-0.0645591	-0.0586168
-0.0590343	-0.0645826	-0.0586368
-0.0591003	-0.0645592	-0.0586728
-0.0590797	-0.064601	-0.0586196
-0.059101	-0.0645657	-0.0586064
-0.0591314	-0.0646105	-0.0586295
-0.059155	-0.0646748	-0.0586293
-0.0591991	-0.0646617	-0.0586059
-0.0591935	-0.0646378	-0.058637
-0.0591632	-0.0646277	-0.0586768
-0.0591874	-0.0646197	-0.0586699
-0.0591973	-0.0646364	-0.0586063
-0.0592084	-0.0646166	-0.0586546
-0.0592152	-0.0645866	-0.0587267
-0.0591386	-0.0645721	-0.0587423
-0.059115	-0.0645718	-0.058696
-0.0590074	-0.0645536	-0.0587736
-0.0589346	-0.0644981	-0.0588367
-0.0589473	-0.0644691	-0.0588317
-0.0589174	-0.0644193	-0.0588444
-0.05889	-0.0644175	-0.0588207
-0.0588305	-0.0643346	-0.0588992
-0.0588438	-0.0643091	-0.0589546
-0.0588021	-0.0642259	-0.0589858
-0.0588194	-0.0641531	-0.058985
-0.0588775	-0.0641041	-0.0590289
-0.0589278	-0.0640463	-0.0590933
-0.0588911	-0.0640377	-0.0591593
-0.0588569	-0.0639872	-0.0591221
-0.0588759	-0.0639239	-0.0591399
-0.0589059	-0.063816	-0.0591236
-0.058908	-0.0637706	-0.0591187
-0.0588365	-0.0636731	-0.0590744
-0.0588434	-0.0636148	-0.0591095
-0.0588771	-0.0635893	-0.0590876
-0.058846	-0.0635933	-0.0590445
-0.0588989	-0.0635338	-0.0590956
-0.0589555	-0.0634838	-0.0590248
-0.0588449	-0.0634436	-0.0590281
-0.0586619	-0.0633942	-0.0589664
-0.0585344	-0.0634434	-0.0589299
-0.058399	-0.0634012	-0.0589081
-0.0583054	-0.0633246	-0.0589174
-0.0582659	-0.0633483	-0.0588706
-0.058219	-0.0634067	-0.0589195
-0.0582399	-0.0633956	-0.0589607
-0.058282	-0.0633071	-0.0588925
-0.058293	-0.0632564	-0.0588339
-0.0583218	-0.0631656	-0.0588072
-0.0583183	-0.0631418	-0.0587419
-0.0583032	-0.063111	-0.0587337
-0.0583225	-0.0631267	-0.0587358
-0.0584231	-0.0631357	-0.0587365
-0.0584894	-0.0631051	-0.0587698
-0.0584242	-0.063095	-0.0587601
-0.0583907	-0.0631312	-0.0586873
-0.0583828	-0.0631293	-0.0587209
-0.0583794	-0.0631969	-0.0587025
-0.0582695	-0.0631898	-0.0586792
-0.0582651	-0.063178	-0.0586901
-0.0582092	-0.0631451	-0.0587285
-0.0582028	-0.0630709	-0.0587357
-0.0581797	-0.063049	-0.0587557
-0.0582231	-0.0629539	-0.0587241
-0.0582298	-0.0629202	-0.0587077
-0.0582278	-0.0628473	-0.0587009
-0.0582384	-0.0627933	-0.0586886
-0.0581831	-0.0627744	-0.0587149
-0.058211	-0.0627354	-0.0586276
-0.0581642	-0.0626941	-0.0585785
-0.0581283	-0.0625706	-0.0585769
-0.0580503	-0.0626077	-0.0586
-0.0580916	-0.0625791	-0.0586124
-0.0580788	-0.0624986	-0.0585933
-0.0581096	-0.0624694	-0.0585775
-0.058065	-0.0623769	-0.0585532
-0.0581321	-0.06234	-0.0585589
-0.058144	-0.0624144	-0.0584634
-0.0582098	-0.0623528	-0.0584135
-0.0583179	-0.0623121	-0.0583625
-0.0584511	-0.0623077	-0.0584119
-0.0584715	-0.0622849	-0.0584218
-0.0585521	-0.0622957	-0.0584076
-0.0586603	-0.062266	-0.0583583
-0.0586941	-0.0622579	-0.0583477
-0.0588116	-0.0622398	-0.0583706
-0.0588506	-0.0622471	-0.0583786
-0.0588306	-0.0622189	-0.058416
-0.0588264	-0.0622045	-0.0584478
-0.0589057	-0.0621266	-0.0584615
-0.0589971	-0.0621001	-0.0584704
-0.0590283	-0.0621266	-0.0584566
-0.0590652	-0.0621105	-0.0584538
-0.0590943	-0.0621538	-0.0584875
-0.0590639	-0.0621044	-0.0584257
-0.0590692	-0.0621186	-0.0584506
-0.0590664	-0.0621573	-0.0584439
-0.0590301	-0.062176	-0.0584673
-0.0590996	-0.0622083	-0.058487
-0.0590892	-0.0621991	-0.0584744
-0.0591454	-0.0621879	-0.0584885
-0.0591145	-0.0622271	-0.0585207
-0.0591232	-0.0622111	-0.058475
