frst0	nxt0	jsub0	jlap0	platv14	platv13	platv12
-0.0639761	-0.0650644	0.000618759	-4.07621	-0.0615851	-0.0626156	-0.0634536
-0.0641637	-0.0651393	0.000506058	-3.95544	-0.0616653	-0.0622148	-0.063041
-0.0638162	-0.0653808	0.00109506	-3.85248	-0.061391	-0.0621286	-0.0621565
-0.0634896	-0.0654951	0.00153591	-3.73131	-0.0614437	-0.0611425	-0.0636397
-0.0629054	-0.0655066	0.0021317	-3.61707	-0.0613341	-0.060686	-0.0632464
-0.062258	-0.0654718	0.00274432	-3.50269	-0.0603266	-0.0609792	-0.0616701
-0.0617954	-0.0654188	0.00315389	-3.37216	-0.0595095	-0.0620132	-0.0626327
-0.0612432	-0.0652673	0.00355455	-3.28334	-0.0603645	-0.0617709	-0.0614724
-0.0613462	-0.0650091	0.0031933	-3.20528	-0.0576502	-0.0602812	-0.0637607
-0.0612136	-0.064863	0.00317991	-3.14129	-0.0600906	-0.0603839	-0.062525
-0.0615064	-0.0647271	0.00275114	-3.07107	-0.059326	-0.0590838	-0.0614796
-0.061187	-0.0645673	0.00291074	-2.99719	-0.0601756	-0.0610555	-0.0622785
-0.061198	-0.0643691	0.00270148	-2.92908	-0.0595685	-0.0620446	-0.0619619
-0.0612998	-0.0643684	0.00259898	-2.86048	-0.0599202	-0.0603484	-0.0621034
-0.0616457	-0.0643935	0.00227828	-2.79855	-0.0596244	-0.0600516	-0.0620241
-0.0622698	-0.0643761	0.00163675	-2.73587	-0.0591597	-0.0608029	-0.0628482
-0.062384	-0.0641407	0.00128717	-2.676	-0.0580595	-0.0602904	-0.0622039
-0.0624862	-0.0642371	0.00128132	-2.62395	-0.0597322	-0.0617853	-0.0614413
-0.0622115	-0.0644411	0.00175999	-2.56959	-0.0588883	-0.0613878	-0.0616218
-0.0618963	-0.0644734	0.0021075	-2.50918	-0.059045	-0.0605412	-0.062138
-0.0617503	-0.0643329	0.0021131	-2.44941	-0.0594541	-0.0595735	-0.0623424
-0.0615886	-0.0642624	0.00220426	-2.3991	-0.0595726	-0.0589881	-0.0623824
-0.0613878	-0.0644	0.00254266	-2.35516	-0.0582751	-0.0599244	-0.0622848
-0.0608446	-0.0644189	0.00310474	-2.30293	-0.0600026	-0.0600568	-0.061092
-0.0606756	-0.0641154	0.0029703	-2.24277	-0.0604971	-0.0581548	-0.062507
-0.060192	-0.064204	0.00354248	-2.19305	-0.0594863	-0.0572014	-0.0620047
-0.0601069	-0.0646714	0.00409488	-2.15067	-0.0597776	-0.0576956	-0.0619255
-0.0601973	-0.0650188	0.00435199	-2.1053	-0.0599539	-0.0593026	-0.0606818
