frst2	nxt2	jsub2	jlap2	platv54	platv53	platv52	platv51	platv50
-0.0532534	-0.0560944	0.00344098	-1.19936	-0.0453147	-0.0474404	-0.0450773	-0.043029	-0.048611
-0.052307	-0.0557116	0.00400462	-1.04214	-0.04297	-0.0452428	-0.0260343	-0.0396157	-0.0480086
-0.051746	-0.0533848	0.00223873	-0.928853	-0.0404811	-0.042161	-0.0297193	-0.0407224	-0.0470754
-0.050254	-0.0518723	0.00221831	-0.836905	-0.036222	-0.0427022	-0.0372122	-0.0417229	-0.03842
-0.0489299	-0.0507598	0.00242989	-0.739981	-0.0376267	-0.0369554	-0.0400271	-0.0415613	-0.0429164
-0.0475712	-0.0504242	0.00345301	-0.645133	-0.039308	-0.0383402	-0.0368455	-0.0392792	-0.0411409
-0.046728	-0.0499753	0.00384732	-0.560502	-0.0332661	-0.0350553	-0.0361792	-0.0378145	-0.03837
-0.0464144	-0.0494836	0.00366925	-0.484648	-0.0306598	-0.0434653	-0.0355935	-0.0389308	-0.0405531
-0.046106	-0.0490227	0.00351676	-0.418288	-0.0356503	-0.037313	-0.03736	-0.0441796	-0.038305
-0.0464228	-0.048874	0.00305114	-0.353815	-0.0344149	-0.0388787	-0.0353207	-0.0403558	-0.0390043
-0.04723	-0.0491138	0.0024838	-0.284358	-0.037322	-0.0452994	-0.0366752	-0.0377058	-0.0406523
-0.0478961	-0.0494323	0.0021362	-0.214869	-0.0382464	-0.0406985	-0.0381257	-0.0359111	-0.0402232
-0.0483814	-0.0497871	0.00200567	-0.146616	0.0624741	0.0545922	0.0572456	0.055106	0.0615712
-0.0484496	-0.0499502	0.00210068	-0.0832412	0.0665406	0.0720827	0.0660187	0.0638904	0.0692973
-0.048843	-0.0503558	0.00211275	-0.0218157	0.0669176	0.0678689	0.0634846	0.0657424	0.0666806
-0.0488461	-0.051021	0.00277493	0.0386465	0.0670867	0.0673302	0.0639931	0.0632404	0.0671809
-0.0488975	-0.0513883	0.00309075	0.0944753	0.0635162	0.0238471	0.0646835	0.0605572	0.0644753
-0.0490925	-0.0517473	0.00325474	0.143929	-0.00288999	-0.0379618	0.0463316	0.0202863	0.00138967
-0.0498259	-0.0519663	0.00274031	0.19598	-0.0332257	-0.0356345	-0.0373726	-0.0263577	-0.0376809
-0.0507289	-0.0524903	0.00236146	0.249906	-0.0327932	-0.0355057	-0.0380478	-0.0392752	-0.0397494
-0.0511254	-0.0535111	0.00298572	0.301511	-0.0412927	-0.0383097	-0.0379614	-0.0370858	-0.0385271
-0.0513456	-0.05419	0.00344444	0.350123	-0.0335782	-0.0384221	-0.0390033	-0.0431461	-0.0423776
-0.0514216	-0.0545945	0.0037729	0.397614	-0.0367473	-0.0364147	-0.0364089	-0.0449118	-0.0428007
-0.0518372	-0.0549464	0.00370927	0.449249	-0.0400776	-0.0362574	-0.0438693	-0.0388782	-0.0421219
-0.0526621	-0.0557148	0.00365261	0.497323	-0.0379387	-0.0381576	-0.0394266	-0.0419351	-0.0461916
-0.0535509	-0.0566411	0.00369015	0.542143	-0.0405527	-0.0450509	-0.0372747	-0.0416654	-0.0413105
-0.054571	-0.0569754	0.0030044	0.584945	-0.0382057	-0.0363506	-0.0433935	-0.0466141	-0.0457292
-0.055622	-0.0574059	0.00238388	0.630657	-0.0395301	-0.0423085	-0.0384813	-0.0464964	-0.0490265
-0.0559322	-0.0580276	0.0026954	0.678891	-0.0435452	-0.0482663	-0.0367973	-0.042893	-0.0484811
-0.0562964	-0.0585299	0.00283348	0.723249	-0.0426668	-0.0416403	-0.0435342	-0.0471124	-0.0491194
-0.0563029	-0.0587085	0.00300555	0.765415	-0.0438018	-0.0407687	-0.0467072	-0.0518291	-0.0493154
-0.0569637	-0.0587178	0.00235407	0.808559	-0.050234	-0.0428656	-0.0446146	-0.0492318	-0.0479876
