frst1	nxt1	jsub1	jlap1	platv26	platv25	platv24
-0.0560944	-0.0639761	0.00851341	-1.14477	-0.0600022	-0.0609263	-0.0654324
-0.0557116	-0.0641637	0.00879813	-1.02987	-0.0549472	-0.0608266	-0.0659049
-0.0533848	-0.0638162	0.0106325	-0.908901	-0.0559409	-0.0599095	-0.0656339
-0.0518723	-0.0634896	0.0118871	-0.821273	-0.0564136	-0.0582158	-0.0649442
-0.0507598	-0.0629054	0.0126105	-0.730327	-0.040896	-0.057203	-0.0640442
-0.0504242	-0.062258	0.0125725	-0.622589	-0.0485274	-0.0556054	-0.0658985
-0.0499753	-0.0617954	0.0127074	-0.541488	-0.0515323	-0.0570051	-0.0637595
-0.0494836	-0.0612432	0.0127396	-0.466231	-0.0404151	-0.0547901	-0.0649262
-0.0490227	-0.0613462	0.0131146	-0.398161	-0.0470181	-0.0554288	-0.0638888
-0.048874	-0.0612136	0.0130925	-0.330252	-0.0429727	-0.0569793	-0.0641146
-0.0491138	-0.0615064	0.0131813	-0.2632	-0.0468466	-0.0523179	-0.0627887
-0.0494323	-0.061187	0.0126272	-0.201427	-0.0431296	-0.0491214	-0.057847
-0.0497871	-0.061198	0.0123134	-0.137594	0.0543148	0.0477532	0.0451673
-0.0499502	-0.0612998	0.0122213	-0.0790899	0.0549853	0.055758	0.0471745
-0.0503558	-0.0616457	0.012116	-0.0251357	0.0551351	0.0535375	0.0474492
-0.051021	-0.0622698	0.0117144	0.031826	0.0561147	0.0515724	0.04566
-0.0513883	-0.062384	0.0111837	0.0843129	0.0510726	0.0522703	0.0441252
-0.0517473	-0.0624862	0.0104736	0.133025	0.0507686	0.0111603	-0.00285693
-0.0519663	-0.0622115	0.0101417	0.179861	-0.03673	-0.0443616	-0.0565988
-0.0524903	-0.0618963	0.00964045	0.233408	-0.0430472	-0.0438905	-0.0580319
-0.0535111	-0.0617503	0.00883258	0.287861	-0.0449139	-0.0481401	-0.0572115
-0.05419	-0.0615886	0.00792116	0.335983	-0.0426094	-0.0447239	-0.0597457
-0.0545945	-0.0613878	0.00730919	0.378794	-0.0463936	-0.0486768	-0.0590912
-0.0549464	-0.0608446	0.00670528	0.427506	-0.0501674	-0.0541163	-0.0586889
-0.0557148	-0.0606756	0.00595271	0.481476	-0.0465134	-0.049195	-0.0614018
-0.0566411	-0.060192	0.00478723	0.531563	-0.0526432	-0.0543765	-0.0623
-0.0569754	-0.0601069	0.00437854	0.577847	-0.0495673	-0.0554765	-0.0634997
-0.0574059	-0.0601973	0.00388964	0.625107	-0.0498924	-0.0529115	-0.063163
-0.0580276	-0.0606106	0.00323223	0.674501	-0.0562244	-0.0587642	-0.0608577
-0.0585299	-0.0615567	0.00294178	0.722622	-0.0511613	-0.0566604	-0.0602632
-0.0587085	-0.0617042	0.00282908	0.764117	-0.0530403	-0.0557553	-0.0634911
-0.0587178	-0.0609778	0.00238734	0.805441	-0.059907	-0.0552524	-0.0624925
-0.0591398	-0.0603738	0.00146768	0.848701	-0.0575516	-0.0527347	-0.0625016
-0.0594314	-0.0602846	0.000610429	0.894621	-0.0568312	-0.055814	-0.0630011
-0.0598526	-0.0612901	0.000514454	0.938859	-0.0597477	-0.0572879	-0.062132
-0.0595551	-0.0615057	0.00100558	0.981982	-0.0602713	-0.0585332	-0.0622332
-0.0595542	-0.0611208	0.00110126	1.02726	-0.0581804	-0.0558022	-0.062765
-0.0595949	-0.0599577	0.000589816	1.07874	-0.0566035	-0.0599557	-0.0623622
-0.0598966	-0.059677	0.000568097	1.12453	-0.0546967	-0.0579641	-0.0632275
-0.0599559	-0.0598606	0.000706681	1.16632	-0.0704859	-0.0687231	-0.0735303
-0.0599675	-0.0608594	0.00104079	1.20937	-0.0836604	-0.0839096	-0.0873111
-0.0600759	-0.0610806	0.000378895	1.25664	-0.0825561	-0.0854489	-0.0869944
-0.0602123	-0.0613388	-0.000140063	1.30734	-0.0810618	-0.0855772	-0.0869998
-0.0602108	-0.0613036	-0.000458257	1.35442	-0.08225	-0.0854502	-0.0855616
-0.0599395	-0.060561	-0.00113288	1.39904	-0.0830533	-0.0818336	-0.0849669
-0.0594156	-0.0591776	-0.00140927	1.44674	-0.0844314	-0.0835152	-0.0855903
-0.0588841	-0.0586254	-0.00122618	1.49917	-0.0833165	-0.0849974	-0.0870811
-0.0587478	-0.0583513	-0.00113332	1.54817	-0.0801422	-0.0848567	-0.0889524
-0.0591239	-0.058879	-0.00169205	1.59434	-0.0851289	-0.0834488	-0.0895834
-0.0593939	-0.0575846	-0.00357109	1.64014	-0.0863132	-0.0815629	-0.0885783
-0.0592836	-0.0571931	-0.004408	1.69054	-0.0836902	-0.082422	-0.0811604
-0.0589652	-0.0569226	-0.00438803	1.7433	-0.0829458	-0.0868288	-0.0843279
-0.0585046	-0.0578282	-0.00303687	1.79298	-0.0829101	-0.0821956	-0.0866226
-0.0583131	-0.0574935	-0.00334595	1.84006	-0.0854988	-0.0799058	-0.0828583
-0.0578472	-0.0569615	-0.00315602	1.88774	-0.0818191	-0.0842016	-0.0844732
-0.0571789	-0.0543345	-0.00362298	1.94093	-0.0776244	-0.081229	-0.0800939
-0.0570412	-0.0545058	-0.00313107	1.99258	-0.0827554	-0.0844111	-0.0805324
-0.0566602	-0.0526982	-0.0039166	2.04033	-0.0817681	-0.0805333	-0.087824
