frst1	nxt1	jsub1	jlap1	platv19
-0.0648696	-0.0658832	0.00101365	-2.97585	-0.0661221
-0.0646374	-0.0661371	0.00149968	-2.90516	-0.0670408
-0.0648885	-0.0659748	0.00108631	-2.83635	-0.066418
-0.0650003	-0.0657775	0.000777184	-2.77801	-0.06417
-0.0651524	-0.0659411	0.000788775	-2.73401	-0.0656897
-0.0650928	-0.0662638	0.00117098	-2.69449	-0.0675478
-0.0644864	-0.066506	0.00201955	-2.65467	-0.0652737
-0.0640412	-0.066198	0.00215675	-2.61273	-0.0667239
-0.0633861	-0.0657524	0.00236622	-2.57047	-0.0677571
-0.0632406	-0.0655715	0.00233089	-2.52835	-0.0657492
-0.062617	-0.0650157	0.00239873	-2.48158	-0.0659775
-0.0618962	-0.0649925	0.00309632	-2.43604	-0.0657513
-0.0610412	-0.064813	0.00377174	-2.39086	-0.0661975
-0.060465	-0.0649448	0.00447982	-2.3476	-0.0668136
-0.0601484	-0.0649267	0.00477835	-2.30319	-0.0673027
-0.0597382	-0.065081	0.00534281	-2.26104	-0.0666388
-0.0597184	-0.0649505	0.00523216	-2.21945	-0.0661801
-0.0594777	-0.0646701	0.00519246	-2.17939	-0.0665428
-0.0596317	-0.064409	0.00477723	-2.13872	-0.0611718
-0.0596939	-0.063808	0.00411412	-2.10142	-0.0609575
-0.059287	-0.063281	0.00399391	-2.06379	-0.0622708
-0.0579679	-0.0630069	0.00503893	-2.02796	-0.0615599
-0.0567597	-0.063427	0.00666732	-1.99143	-0.0601325
-0.0565291	-0.0634796	0.00695046	-1.9531	-0.062041
-0.0568746	-0.0631503	0.00627569	-1.91448	-0.0668854
-0.0563264	-0.0631462	0.0068198	-1.87667	-0.0618082
-0.0550847	-0.0632653	0.0081806	-1.83866	-0.062135
-0.0545709	-0.0632719	0.00870097	-1.80221	-0.0624213
-0.054698	-0.0626713	0.00797325	-1.76397	-0.0621436
-0.0545713	-0.0626953	0.00812398	-1.7256	-0.0615319
-0.0539615	-0.0631231	0.00916158	-1.68804	-0.0617931
-0.0533606	-0.0632755	0.00991484	-1.64806	-0.0611625
-0.0532655	-0.0629842	0.00971866	-1.60883	-0.0574854
-0.0531299	-0.0628153	0.00968539	-1.5705	-0.0541162
-0.0531044	-0.0632262	0.0101219	-1.53193	-0.0588772
-0.0529277	-0.063279	0.0103514	-1.4938	-0.0610547
-0.0527069	-0.062819	0.0101121	-1.45405	-0.0579385
-0.0524015	-0.0622912	0.00988971	-1.4133	-0.0545409
-0.0521005	-0.062206	0.0101055	-1.36978	-0.0577253
-0.052109	-0.0624899	0.0103809	-1.32822	-0.0603106
-0.0517573	-0.0624667	0.0107094	-1.28699	-0.0583801
-0.0515774	-0.062577	0.0109996	-1.24747	-0.0557981
-0.0509883	-0.0627009	0.0117126	-1.20614	-0.0556379
