frst1	nxt1	jsub1	jlap1	platv30	platv29
-0.0522285	-0.0555369	0.00291926	-0.860632	-0.0481756	-0.0542181
-0.0521109	-0.0554832	0.00282523	-0.77926	-0.0470075	-0.0546281
-0.052208	-0.0555523	0.00288398	-0.712522	-0.0471931	-0.0539584
-0.0516438	-0.0562403	0.00425332	-0.646819	-0.0480967	-0.0555266
-0.0511372	-0.0570863	0.00584749	-0.563707	-0.0494065	-0.0567312
-0.0508493	-0.0577113	0.00669222	-0.495682	-0.0496199	-0.0561348
-0.0505112	-0.0575133	0.00691078	-0.44412	-0.0508626	-0.056311
-0.0501535	-0.0574578	0.00735291	-0.39065	-0.0475067	-0.0563141
-0.0498913	-0.0573083	0.0076218	-0.33664	-0.046476	-0.0551986
-0.050061	-0.0574802	0.00769844	-0.288148	-0.0470065	-0.0549702
-0.0502201	-0.0571633	0.00721351	-0.246315	-0.0470045	-0.0573096
-0.0502127	-0.0571116	0.00720219	-0.203832	-0.0492121	-0.0572448
-0.0502479	-0.0569814	0.00707066	-0.155648	-0.0106762	-0.00659835
-0.0500972	-0.0572384	0.00756513	-0.108204	0.0152979	0.0136392
-0.0500094	-0.0574883	0.00783775	-0.0677221	0.0158807	0.00811678
-0.0500199	-0.0576934	0.00792869	-0.0288472	0.0122391	0.00640312
-0.0500547	-0.0577625	0.00780659	0.0122156	0.0132009	0.00826583
-0.0504021	-0.0575538	0.00725255	0.0514753	0.0165262	0.00500064
-0.0502874	-0.0572281	0.00703458	0.0890951	0.0112093	0.00655992
-0.0502019	-0.0569857	0.00688871	0.124997	0.00869552	-0.011931
-0.0500744	-0.0568915	0.00698763	0.164062	-0.0191752	-0.0488845
-0.0503475	-0.0572031	0.00699959	0.203327	-0.043985	-0.05044
-0.05075	-0.0575159	0.0068047	0.242545	-0.0439945	-0.0502124
-0.0508046	-0.0576191	0.00664823	0.280117	-0.0487481	-0.0503185
-0.0510193	-0.0573477	0.00619845	0.317979	-0.0487055	-0.0515601
-0.0512552	-0.0572327	0.00594173	0.355492	-0.0443574	-0.050513
-0.0515563	-0.0573467	0.00594304	0.392173	-0.0466485	-0.0500538
-0.0517744	-0.0575211	0.00594942	0.428192	-0.0499089	-0.0491538
-0.0524715	-0.0572404	0.00506241	0.467072	-0.0477051	-0.0514914
-0.0524746	-0.0567311	0.00465743	0.503623	-0.0472995	-0.0503282
-0.0525109	-0.0566063	0.0044359	0.540286	-0.0489295	-0.0532295
-0.0525503	-0.0568864	0.00462074	0.575164	-0.0450619	-0.051299
-0.0528692	-0.0572609	0.00455181	0.610208	-0.0488603	-0.0511177
-0.0532816	-0.0572925	0.00418574	0.64465	-0.0505984	-0.0519376
-0.0531709	-0.0573744	0.00440614	0.680556	-0.0510046	-0.0541648
-0.0534612	-0.0575869	0.00419159	0.716094	-0.0462464	-0.0543058
-0.0535463	-0.0574427	0.00394916	0.753841	-0.0479703	-0.0542158
-0.0537955	-0.0568371	0.00319976	0.789541	-0.0528928	-0.0536987
-0.0538299	-0.056267	0.0027962	0.824649	-0.0526509	-0.0535346
-0.0540243	-0.0562077	0.00253919	0.858359	-0.0560888	-0.0562337
-0.0543766	-0.0559539	0.0019436	0.893576	-0.0689391	-0.0702841
-0.0545534	-0.0559019	0.00181747	0.927951	-0.0729717	-0.07424
-0.0547181	-0.0560134	0.00194595	0.963052	-0.0725405	-0.0755924
-0.0547288	-0.0566089	0.00248999	0.998586	-0.0718502	-0.0753769
-0.0552815	-0.0566439	0.00182271	1.03399	-0.0718212	-0.0745557
-0.0555786	-0.0560673	0.000783109	1.07126	-0.0744539	-0.0734874
-0.0557954	-0.0550629	-0.000591656	1.10725	-0.0745695	-0.0742346
-0.0558826	-0.0544814	-0.00132352	1.14465	-0.0729304	-0.0730791
-0.0559326	-0.0541239	-0.00154857	1.1821	-0.0741926	-0.0741757
-0.0562391	-0.0537335	-0.00226036	1.22143	-0.0740988	-0.0752943
-0.056153	-0.0526928	-0.00322925	1.26354	-0.0741314	-0.0745273
-0.0564026	-0.0523156	-0.00397915	1.3053	-0.0745868	-0.073284
-0.0562668	-0.0516221	-0.00428509	1.35186	-0.0743026	-0.0754096
-0.0566096	-0.0519472	-0.00440974	1.40212	-0.0742162	-0.0747018
-0.05654	-0.051939	-0.00465053	1.4538	-0.0725439	-0.0729892
-0.0565698	-0.052366	-0.00462779	1.5005	-0.0724802	-0.0737821
-0.0563214	-0.0523937	-0.00418773	1.54698	-0.0723965	-0.0733869
-0.0560388	-0.0517122	-0.00423373	1.59478	-0.0725445	-0.0731741
-0.0559194	-0.0517262	-0.00379997	1.64329	-0.0715521	-0.0724014
-0.0558827	-0.0519828	-0.00353225	1.69014	-0.0720493	-0.0743231
-0.0559356	-0.0521642	-0.00372206	1.73946	-0.0740254	-0.0729318
-0.0561175	-0.0516351	-0.00460898	1.78831	-0.0736048	-0.0740336
-0.0559874	-0.0509493	-0.0054051	1.83418	-0.0746445	-0.0746754
-0.0560638	-0.0507714	-0.00551157	1.88357	-0.0736447	-0.0732873
-0.0557072	-0.0503603	-0.00551239	1.93616	-0.0740724	-0.0744526
-0.0557112	-0.0502937	-0.00526085	1.98884	-0.0747104	-0.0740434
-0.0555368	-0.0497317	-0.00561154	2.03746	-0.0735341	-0.0733305
-0.0555471	-0.0494849	-0.00606051	2.08215	-0.0755474	-0.0710884
-0.055512	-0.0486763	-0.00678809	2.1307	-0.0732643	-0.0709033
-0.0555299	-0.0482048	-0.00738362	2.18604	-0.0753077	-0.073388
-0.0556071	-0.0478163	-0.00742196	2.23758	-0.0729264	-0.0700623
-0.0555213	-0.0480953	-0.00707563	2.28777	-0.0742369	-0.0723189
-0.055455	-0.0487693	-0.00636166	2.34261	-0.0716712	-0.0712678
-0.0549387	-0.0491799	-0.00572698	2.39814	-0.0739729	-0.0700378
-0.0547323	-0.0486852	-0.00596905	2.45165	-0.0741641	-0.0740231
-0.054252	-0.0474545	-0.00633133	2.50661	-0.0726696	-0.0707459
-0.0543242	-0.0471733	-0.00651185	2.57036	-0.0709527	-0.0731315
-0.0539589	-0.0472343	-0.00613597	2.63317	-0.0729514	-0.0707048
-0.0540157	-0.0476525	-0.00583875	2.69336	-0.0734141	-0.0713561
-0.0538814	-0.0477412	-0.0056699	2.7544	-0.0721125	-0.0723066
-0.05385	-0.0481598	-0.00499291	2.8206	-0.0737263	-0.0700137
-0.0539305	-0.0490947	-0.00419347	2.92082	-0.0737904	-0.0740792
-0.0542234	-0.0489475	-0.00419771	3.00341	-0.0752916	-0.0721402
-0.0546926	-0.0493642	-0.00433591	3.07106	-0.0733514	-0.0731447
-0.0546209	-0.0490844	-0.00453517	3.13908	-0.0751869	-0.072266
-0.0542083	-0.0503352	-0.00328342	3.21526	-0.074157	-0.0730114
-0.0541242	-0.0500364	-0.00348236	3.29131	-0.0699345	-0.0682235
-0.0546714	-0.0505317	-0.00334847	3.35611	-0.0545703	-0.0564165
-0.0552167	-0.0508095	-0.00348998	3.42013	-0.0544253	-0.0547627
-0.0552401	-0.0520326	-0.00247904	3.4904	-0.0549286	-0.0526572
-0.0548127	-0.0529912	-0.00131425	3.5666	-0.0523812	-0.049818
-0.055097	-0.0529637	-0.00168034	3.63979	-0.0556864	-0.0528098
-0.0555702	-0.0532449	-0.00178858	3.77917	-0.057524	-0.0539441
-0.055919	-0.0531919	-0.00214124	3.85957	-0.0544885	-0.0534201
-0.0556638	-0.0533145	-0.00163334	3.94616	-0.0540069	-0.0552102
-0.055522	-0.0537096	-0.00121705	4.02719	-0.0521928	-0.0550812
-0.0556741	-0.0543411	-0.000875214	4.1249	-0.0528402	-0.0546893
-0.0561784	-0.0557587	-0.000196448	4.19463	-0.0535156	-0.0540035
-0.0567873	-0.0564501	-3.75357e-05	4.29456	-0.0546898	-0.0544504
-0.0570773	-0.0568996	0.000141424	4.41887	-0.0539378	-0.0558496
