frst1	nxt1	jsub1	jlap1	platv26	platv24	ind_delta_vm	
-0.0553703	-0.0605297	0.00515946	-1.537	-0.0589243	-0.0566837	-0.000628444	-0.0566837
-0.0554659	-0.0606284	0.00516254	-1.38697	-0.0554628	-0.0547973	0.001257956	-0.0547973
-0.055303	-0.0609298	0.00562681	-1.21969	-0.0594074	-0.0550278	0.001027456	-0.0550278
-0.0550867	-0.0610163	0.00592961	-1.06584	-0.0583846	-0.0560333	2.1956E-05	-0.0560333
-0.0544468	-0.0610086	0.00656179	-0.948396	-0.0590327	-0.0556156	0.000439656	-0.0556156
-0.054767	-0.0608449	0.00607789	-0.860074	-0.0558621	-0.0543639	0.001691356	-0.0543639
-0.0548547	-0.0607713	0.00591666	-0.754672	-0.0567649	-0.0549448	0.001110456	-0.0549448
-0.0551965	-0.0607495	0.00555302	-0.635687	-0.0537995	-0.0554472	0.000608056	-0.0554472
-0.0545465	-0.0606019	0.00605533	-0.530361	-0.0535347	-0.0549981	0.001057156	-0.0549981
-0.0546857	-0.0606914	0.0060057	-0.442559	-0.0508386	-0.0542927	0.001762556	-0.0542927
-0.0547103	-0.0606137	0.00590336	-0.331679	-0.0536342	-0.0547045	0.001350756	-0.0547045
-0.0549851	-0.0603264	0.00534128	-0.227462	-0.0518562	-0.0547945	0.001260756	-0.0547945
-0.0552652	-0.0601455	0.00488025	-0.14623	0.0140039	0.0157438	0.071799056	-0.0563933
-0.0557153	-0.0600312	0.00431593	-0.0626226	0.031048	0.0312068	0.087262056	-0.0562977
-0.0564241	-0.0601009	0.00367679	0.0186784	0.0265317	0.0241611	0.080216356	-0.0552777
-0.0562736	-0.0602484	0.0039748	0.0835531	0.0348195	-0.0123258	0.043729456	-0.058348
-0.0566794	-0.0602725	0.00359306	0.145269	0.0263934	-0.049757	0.006298256	-0.0561821
-0.0569711	-0.0602908	0.0033197	0.197326	-0.0280666	-0.0495495	0.006505756	-0.0572907
-0.0582035	-0.0599537	0.00175017	0.247319	-0.0504461	-0.0522728	0.003782456	-0.0570438
-0.058997	-0.0596893	0.000692322	0.299777	-0.0515096	-0.0516433	0.004411956	-0.0565457
-0.059156	-0.0596835	0.000527426	0.352135	-0.0521181	-0.0536091	0.002446156	-0.0576445
-0.0593298	-0.059465	0.000135178	0.403066	-0.055068	-0.0521978	0.003857456	-0.0577573
-0.0597672	-0.0594059	-0.000361365	0.450466	-0.057991	-0.0534018	0.002653456	-0.055544
-0.0603249	-0.0592677	-0.00105715	0.496979	-0.0584886	-0.0526819	0.003373356	-0.0577779
-0.0605144	-0.0591606	-0.00135376	0.54411	-0.0575017	-0.0540076	0.002047656	-0.0575753
-0.0605296	-0.0588235	-0.0017061	0.591302	-0.0575738	-0.0486614	0.007393856	-0.056055256
-0.0609081	-0.0585813	-0.00232686	0.637978	-0.0563404	-0.0542956	0.001759656	
-0.0608584	-0.0582888	-0.00256963	0.683316	-0.0586769	-0.0554767	0.000578556	
-0.0607706	-0.0586931	-0.00207759	0.733617	-0.0567601	-0.0519674	0.004087856	
-0.0607667	-0.0585065	-0.00226013	0.787622	-0.0585762	-0.0536867	0.002368556	
-0.0608231	-0.0582985	-0.00252464	0.839211	-0.0573675	-0.0528758	0.003179456	
-0.0603833	-0.0573672	-0.0030161	0.893325	-0.0575971	-0.0551397	0.000915556	
-0.0599567	-0.0573677	-0.00258899	0.955124	-0.0599321	-0.0536284	0.002426856	
-0.0598686	-0.0568208	-0.00304776	1.02824	-0.0607705	-0.0540515	0.002003756	
-0.0602008	-0.0561782	-0.00402259	1.08648	-0.0565033	-0.0535733	0.002481956	
-0.0598697	-0.0557813	-0.00408841	1.13737	-0.0591943	-0.0542144	0.001840856	
-0.0599998	-0.0559084	-0.00409143	1.18316	-0.0577311	-0.0532335	0.002821756	
-0.0597306	-0.0554955	-0.0042351	1.23142	-0.0563648	-0.0535624	0.002492856	
-0.0602231	-0.0550178	-0.00520526	1.27637	-0.0556051	-0.0544379	0.001617356	
-0.0597086	-0.0548172	-0.00489134	1.32029	-0.0676208	-0.0629675	-0.006912244	
-0.0594053	-0.0546095	-0.00479582	1.3622	-0.081845	-0.07868	-0.022624744	
-0.0589678	-0.0545054	-0.00446242	1.40458	-0.0791813	-0.0719005	-0.015845244	
-0.0584015	-0.0539786	-0.00442292	1.44789	-0.0833767	-0.0772893	-0.021234044	
-0.0579837	-0.0531816	-0.00480218	1.49158	-0.082181	-0.0766688	-0.020613544	
-0.0569814	-0.0518717	-0.00510971	1.53886	-0.0779795	-0.0724217	-0.016366444	
-0.0564642	-0.0507051	-0.00575913	1.58387	-0.0806632	-0.0747212	-0.018665944	
-0.0561865	-0.0507099	-0.00547662	1.62699	-0.0772561	-0.0756719	-0.019616644	
-0.0565646	-0.0505646	-0.00600003	1.6703	-0.0809117	-0.0757331	-0.019677844	
-0.0570374	-0.0505242	-0.00651317	1.71457	-0.0819101	-0.0768748	-0.020819544	
-0.0570914	-0.05042	-0.00667139	1.76039	-0.0770409	-0.0701704	-0.014115144	
-0.0563532	-0.050298	-0.0060552	1.80583	-0.0777196	-0.0701533	-0.014098044	
-0.0556978	-0.0502701	-0.0054277	1.85353	-0.078489	-0.0710625	-0.015007244	
