frst3	nxt3	jsub3	jlap3	platv172	platv170
-0.0561758	-0.0549665	3.45232e-05	-3.39072	-0.0544877	-0.0553749
-0.0562757	-0.05465	-0.000381868	-3.29787	-0.0564463	-0.05492
-0.0571483	-0.0549404	-0.000964104	-3.23274	-0.0539847	-0.0566299
-0.0572933	-0.055301	-0.000748432	-3.17147	-0.0541487	-0.0564814
-0.0573444	-0.0558975	-0.000203082	-3.10276	-0.0546871	-0.0550127
-0.0571066	-0.0560042	0.000141427	-3.04858	-0.0547258	-0.0488379
-0.0571495	-0.0554778	-0.000427885	-2.99981	-0.0546908	-0.051182
-0.0563506	-0.0554875	0.000380771	-2.94788	-0.050343	-0.0520924
-0.0562176	-0.05553	0.000556174	-2.89669	-0.0524366	-0.0556388
-0.0554332	-0.055773	0.00158359	-2.85058	-0.0532255	-0.0524802
-0.0557068	-0.0553919	0.000928958	-2.80725	-0.0539099	-0.0534221
-0.0553178	-0.0550649	0.000990939	-2.76067	-0.0564318	-0.0514453
-0.0556954	-0.0549816	0.000530014	-2.71129	-0.0524055	-0.0540679
-0.0558262	-0.0556662	0.00108382	-2.66476	-0.0490667	-0.0517528
-0.0559606	-0.056124	0.00140723	-2.62009	-0.0544642	-0.0526902
-0.0558005	-0.0563019	0.00174521	-2.57329	-0.0562013	-0.0524486
-0.0556051	-0.0557481	0.00138681	-2.52782	-0.0555967	-0.0522293
-0.0557567	-0.055632	0.00111912	-2.48269	-0.0562357	-0.0549158
-0.0559043	-0.0558138	0.00115332	-2.43819	-0.0569528	-0.0557009
-0.0562113	-0.0560743	0.00110684	-2.39311	-0.0526546	-0.0557535
-0.0560634	-0.0563955	0.00157595	-2.34913	-0.0519291	-0.0488302
-0.0559103	-0.056543	0.00187648	-2.30722	-0.0563828	-0.0552244
-0.0559307	-0.0568159	0.002129	-2.26653	-0.0546416	-0.056364
-0.0561935	-0.0566103	0.00166065	-2.22723	-0.0568894	-0.0543396
-0.056794	-0.0564534	0.000903143	-2.18631	-0.0545942	-0.0529395
-0.0567852	-0.0565285	0.000987056	-2.15172	-0.0531364	-0.0559155
-0.0568092	-0.0564319	0.000866515	-2.11679	-0.0560255	-0.0558752
-0.0567686	-0.0568795	0.00135468	-2.08208	-0.0555726	-0.0468584
