frst1	nxt1	jsub1	jlap1	vm1
-0.0586246	-0.0510752	0.00754937	-1.56333	-0.059296254
-0.0587705	-0.0511702	0.00760038	-1.25413	-0.058829308
-0.0588959	-0.0503552	0.00854076	-1.09277	-0.053909171
-0.059262	-0.049806	0.00945599	-1.00469	-0.054925486
-0.0595081	-0.0489794	0.0105288	-0.926918	-0.056095868
-0.0598215	-0.0490696	0.0107518	-0.73826	-0.053103406
-0.0600151	-0.0484092	0.0116059	-0.63277	-0.053306799
-0.059803	-0.0481237	0.0116793	-0.558778	-0.054170508
-0.0595239	-0.0474397	0.0120842	-0.474299	-0.053099878
-0.0590235	-0.0474591	0.0115644	-0.392307	-0.050818749
-0.0590922	-0.0475061	0.0115861	-0.245078	-0.047876928
-0.0589618	-0.04745	0.0115118	-0.168553	-0.048023697
-0.0592612	-0.0476643	0.0115969	-0.105067	-0.04996971
-0.058965	-0.0470732	0.0118918	-0.0467056	-0.050909787
-0.0586406	-0.0476668	0.0109738	0.0067314	-0.046672523
-0.0582529	-0.0476573	0.0105956	0.0547985	-0.052172024
-0.0582075	-0.0479941	0.0102133	0.101598	-0.013469564
-0.0579871	-0.0480152	0.00997191	0.143906	0.037460364
-0.0577937	-0.0483592	0.00943444	0.184731	0.063298747
-0.0577964	-0.0484757	0.00932063	0.223865	0.062943459
-0.0576989	-0.0487135	0.00898541	0.262954	0.045924928
-0.0575563	-0.0491779	0.00837838	0.297389	0.017954575
-0.0573241	-0.0494511	0.00787297	0.330878	-0.013501193
-0.0573669	-0.0502665	0.00710034	0.367067	-0.039031159
-0.0573029	-0.0508529	0.00644995	0.403038	-0.052654717
-0.0571209	-0.0517471	0.00537374	0.437775	-0.054991163
-0.0566376	-0.0513331	0.0053045	0.470051	-0.050930027
-0.0563658	-0.051329	0.00503689	0.50429	-0.045993827
-0.0563454	-0.0511506	0.00519474	0.538236	-0.043709263
-0.0562226	-0.051463	0.00475961	0.570979	-0.044589523
-0.0559999	-0.0521201	0.00387981	0.601286	-0.04687994
-0.0553148	-0.0531457	0.00216911	0.632553	-0.048642699
-0.0552669	-0.0537704	0.00149648	0.662955	-0.049208604
-0.0553544	-0.054126	0.00122849	0.693946	-0.049230251
-0.0557642	-0.0544112	0.00135302	0.72446	-0.049749348
-0.05577	-0.05533	0.000439962	0.753699	-0.051165871
-0.0551878	-0.0553309	-0.000143128	0.783814	-0.052936096
-0.0547152	-0.0552518	-0.000536573	0.813695	-0.054106794
-0.0545973	-0.0557409	-0.00114368	0.843788	-0.054004461
-0.0549425	-0.056317	-0.00137446	0.873196	-0.052767046
-0.0549108	-0.0572329	-0.0023221	0.903859	-0.051399581
-0.0543132	-0.0573079	-0.00299467	0.93455	-0.051354263
-0.0534657	-0.0572336	-0.00376795	0.964699	-0.053788118
-0.053288	-0.0573101	-0.00402206	0.996057	-0.058921248
-0.0535532	-0.0577484	-0.00419526	1.02631	-0.065883599
-0.054123	-0.058216	-0.00409299	1.05733	-0.073130459
-0.0542721	-0.0575558	-0.00328376	1.08858	-0.07909774
-0.054323	-0.0567677	-0.00244472	1.11962	-0.08280278
-0.0542223	-0.0570451	-0.00282279	1.15296	-0.084126033
-0.0538858	-0.0581674	-0.0042816	1.18436	-0.083703913
-0.053673	-0.0585275	-0.00485452	1.21737	-0.082525656
-0.0535956	-0.0585299	-0.00493429	1.25167	-0.08148554
-0.0534094	-0.0586197	-0.00521023	1.28545	-0.081118628
-0.0531036	-0.0589618	-0.00585823	1.31849	-0.081496082
-0.0525426	-0.058167	-0.00562432	1.35083	-0.082288057
-0.052	-0.0580603	-0.00606029	1.38459	-0.083021142
-0.0518342	-0.0581049	-0.00627067	1.41882	-0.083370708
-0.0522602	-0.0580238	-0.00576358	1.45194	-0.083279453
