frst1	nxt1	jsub1	jlap1	platv20	platv18
-0.0588825	-0.0586009	-0.000261776	-4.02116	-0.0587865	-0.0576866
-0.0589923	-0.058692	-0.000280489	-3.9408	-0.0591248	-0.0564074
-0.0589229	-0.0588386	-6.44738e-05	-3.83308	-0.0585722	-0.0577008
-0.0588199	-0.0587601	-4.00099e-05	-3.74902	-0.0606488	-0.0585284
-0.0585544	-0.0587513	0.000216632	-3.68154	-0.0583933	-0.0576368
-0.0585612	-0.0587106	0.00016909	-3.61928	-0.0592725	-0.0563624
-0.0586394	-0.0586458	2.61301e-05	-3.55647	-0.0584283	-0.0579763
-0.0586633	-0.0586029	-4.06971e-05	-3.49478	-0.0582569	-0.0562057
-0.0586996	-0.0585599	-0.000119915	-3.43513	-0.0570342	-0.0566757
-0.058826	-0.0588892	8.29337e-05	-3.38076	-0.058823	-0.0579511
-0.0588948	-0.0589667	9.15662e-05	-3.32814	-0.0577657	-0.0574496
-0.0589044	-0.0587746	-0.000110148	-3.2728	-0.0600125	-0.0584685
-0.0586909	-0.058525	-0.000146147	-3.21536	-0.0580548	-0.0579888
-0.0586542	-0.0585048	-0.000129582	-3.15882	-0.0565446	-0.0583197
-0.0587378	-0.0587526	3.45721e-05	-3.10563	-0.0584524	-0.0576175
-0.0587867	-0.0586995	-6.73806e-05	-3.04991	-0.057787	-0.0574448
-0.0587429	-0.0584745	-0.00024869	-2.99292	-0.0575405	-0.0583766
-0.0586122	-0.0581682	-0.000424167	-2.93045	-0.0575418	-0.0589163
-0.0584997	-0.0583784	-0.0001016	-2.8696	-0.059114	-0.0599731
-0.0584957	-0.0584304	-4.55315e-05	-2.8112	-0.0591456	-0.0592665
-0.0583899	-0.0585946	0.000224455	-2.75244	-0.0600025	-0.0585993
-0.0583867	-0.0584484	8.14003e-05	-2.69611	-0.058908	-0.0579971
-0.0581829	-0.0583959	0.000232749	-2.63936	-0.0600977	-0.0562676
-0.0581816	-0.0584999	0.000338124	-2.58341	-0.0590105	-0.0577815
-0.0581433	-0.0584163	0.000292792	-2.52522	-0.0605981	-0.0588497
-0.0583085	-0.058614	0.000325226	-2.46569	-0.0614381	-0.0583334
-0.0581803	-0.0585091	0.000348499	-2.40725	-0.0596198	-0.0585075
-0.0579805	-0.0585275	0.000566736	-2.3541	-0.0587135	-0.058656
-0.0577929	-0.058476	0.000702875	-2.30337	-0.0595731	-0.057345
-0.0575727	-0.0583482	0.000795234	-2.2544	-0.059076	-0.058165
-0.0574986	-0.0582518	0.000772892	-2.20574	-0.0590232	-0.0558999
-0.057278	-0.0581389	0.000880625	-2.14987	-0.0579576	-0.0552508
-0.0571114	-0.0579684	0.000876809	-2.09115	-0.058932	-0.0576748
-0.0568793	-0.0576928	0.000833222	-2.04137	-0.0587581	-0.0549501
-0.0566726	-0.0571212	0.000468443	-1.99581	-0.0566415	-0.0536318
-0.0563971	-0.0566622	0.000284846	-1.95099	-0.0574966	-0.0555021
-0.0559005	-0.056439	0.00055827	-1.9077	-0.0575735	-0.0544709
-0.0556536	-0.0562989	0.000665	-1.86281	-0.0569294	-0.0556245
-0.055614	-0.0564688	0.000874547	-1.81852	-0.058491	-0.0543337
-0.0558074	-0.0564085	0.00062091	-1.77198	-0.0588965	-0.05369
-0.0557862	-0.0564994	0.000733041	-1.71744	-0.0581887	-0.052289
-0.0557554	-0.0560556	0.000319878	-1.66243	-0.0555922	-0.0515134
-0.0557365	-0.0561023	0.00038552	-1.61335	-0.0576011	-0.0516068
-0.055719	-0.056009	0.000309743	-1.5662	-0.0584084	-0.0527156
-0.0557715	-0.056197	0.00044531	-1.51751	-0.0586621	-0.0547865
-0.0557505	-0.0561866	0.000455842	-1.47017	-0.0572529	-0.0530221
-0.0557632	-0.0560945	0.000351075	-1.42186	-0.0571837	-0.0526841
-0.0558217	-0.0558886	8.66612e-05	-1.37344	-0.0581034	-0.0554283
-0.0559184	-0.0556621	-0.000236515	-1.32568	-0.0574107	-0.0540171
-0.0559649	-0.0558551	-9.00726e-05	-1.27965	-0.0589309	-0.0541508
-0.0557318	-0.0561074	0.000395301	-1.23186	-0.0581366	-0.0547089
