frst2	nxt2	jsub2	jlap2	platv36	platv35
-0.0572205	-0.0588825	0.00140506	-0.841791	-0.0561591	-0.0594838
-0.0571928	-0.0589923	0.00154253	-0.766137	-0.0562154	-0.0599327
-0.0570851	-0.0589229	0.00158089	-0.69544	-0.0578091	-0.0595231
-0.0568034	-0.0588199	0.00175963	-0.631938	-0.0567167	-0.059927
-0.0564497	-0.0585544	0.00184785	-0.565792	-0.0596641	-0.0606734
-0.0564188	-0.0585612	0.00188554	-0.502588	-0.0580866	-0.0594811
-0.0561727	-0.0586394	0.00220988	-0.443833	-0.0593197	-0.0594553
-0.0558866	-0.0586633	0.00251988	-0.384732	-0.0570064	-0.059202
-0.055495	-0.0586996	0.00294775	-0.325443	-0.0586445	-0.0599338
-0.0553674	-0.058826	0.00320173	-0.271261	-0.0567398	-0.0593707
-0.0555149	-0.0588948	0.00312305	-0.21939	-0.0590097	-0.0606215
-0.0555249	-0.0589044	0.00312269	-0.168982	-0.0137636	-0.0289232
-0.055394	-0.0586909	0.00304005	-0.114665	0.0536856	0.0539589
-0.0551261	-0.0586542	0.00327119	-0.0615565	0.0558145	0.053011
-0.0551106	-0.0587378	0.00337031	-0.0137178	0.0563955	0.0557542
-0.0553516	-0.0587867	0.00317821	0.0331635	0.0558893	0.0555555
-0.0556111	-0.0587429	0.00287494	0.0808086	0.0573494	0.0524236
-0.0553975	-0.0586122	0.00295779	0.128445	0.018436	0.0384594
-0.055344	-0.0584997	0.00289885	0.174686	-0.052588	-0.0469374
-0.055372	-0.0584957	0.00286679	0.218334	-0.0554783	-0.0552019
-0.0556887	-0.0583899	0.00244427	0.263912	-0.0543412	-0.0549765
-0.0557617	-0.0583867	0.00236814	0.3119	-0.0555089	-0.0536784
-0.0558933	-0.0581829	0.00203267	0.360157	-0.0546519	-0.054565
-0.0559363	-0.0581816	0.00198835	0.407289	-0.0576924	-0.0554311
-0.056253	-0.0581433	0.00163347	0.453313	-0.057544	-0.0576436
-0.0563947	-0.0583085	0.00165689	0.505235	-0.0576129	-0.0576495
-0.0565215	-0.0581803	0.00140195	0.562489	-0.0584221	-0.0583975
-0.0563046	-0.0579805	0.00141909	0.613904	-0.0561102	-0.0587804
-0.0562801	-0.0577929	0.00125591	0.664323	-0.0566116	-0.0581153
-0.0561418	-0.0575727	0.00117409	0.712594	-0.0554617	-0.0586194
-0.0561131	-0.0574986	0.00112864	0.758859	-0.0583191	-0.0579408
-0.0559694	-0.057278	0.00105169	0.805331	-0.0566484	-0.0587233
-0.0559116	-0.0571114	0.000942882	0.850484	-0.0575073	-0.0568768
-0.0559315	-0.0568793	0.000690964	0.892441	-0.0578755	-0.0579976
-0.0558507	-0.0566726	0.000564965	0.937401	-0.054153	-0.0556304
-0.0557293	-0.0563971	0.000410953	0.981247	-0.0566856	-0.0544836
-0.0557749	-0.0559005	-0.000131293	1.02422	-0.0569516	-0.0549462
-0.0557092	-0.0556536	-0.000312486	1.06778	-0.0571281	-0.0543826
-0.0557229	-0.055614	-0.000365829	1.1111	-0.0571576	-0.0570052
-0.0554922	-0.0558074	5.83163e-05	1.15654	-0.0574713	-0.0558844
-0.0553262	-0.0557862	0.00020308	1.20219	-0.0586907	-0.0546234
-0.0551778	-0.0557554	0.000320776	1.2451	-0.0552688	-0.0551723
-0.0550899	-0.0557365	0.000389717	1.28906	-0.0568467	-0.0540902
-0.0551217	-0.055719	0.000340403	1.33169	-0.0570577	-0.0564564
-0.0552547	-0.0557715	0.000259941	1.37633	-0.0577761	-0.0559311
-0.0556338	-0.0557505	-0.000140189	1.42234	-0.058818	-0.0567984
-0.0557498	-0.0557632	-0.000243499	1.46762	-0.0564244	-0.0561582
-0.0558126	-0.0558217	-0.000247789	1.51248	-0.0571129	-0.0556572
-0.0557953	-0.0559184	-0.000133826	1.55813	-0.0568273	-0.0577289
-0.0558943	-0.0559649	-0.00018626	1.60572	-0.0559136	-0.0579372
-0.0563108	-0.0557318	-0.000835858	1.65048	-0.0562756	-0.0576901
-0.0564749	-0.0552997	-0.0014321	1.69555	-0.0574864	-0.0567422
-0.0567758	-0.05486	-0.0021727	1.741	-0.0599071	-0.0560985
-0.0567639	-0.0549299	-0.00209089	1.78574	-0.0572778	-0.0563387
-0.0568958	-0.0551846	-0.00196812	1.83105	-0.0589051	-0.0543418
-0.0569114	-0.0546455	-0.00252284	1.87578	-0.057622	-0.0549375
-0.0568457	-0.0539438	-0.00315885	1.9222	-0.0570987	-0.0544188
-0.0565181	-0.0532843	-0.00349073	1.96659	-0.0574788	-0.0562275
-0.0561215	-0.053417	-0.00296132	2.01112	-0.0575856	-0.0576091
-0.0560858	-0.0532304	-0.00311229	2.05677	-0.0577711	-0.056301
-0.0561092	-0.052749	-0.00361713	2.10222	-0.0565746	-0.0559109
-0.0561841	-0.0523959	-0.00404508	2.14723	-0.0572376	-0.0547527
-0.0561226	-0.0521401	-0.00423941	2.19111	-0.0552846	-0.0561386
-0.055936	-0.0521584	-0.00403446	2.23979	-0.0555939	-0.0540386
-0.05589	-0.0519323	-0.0042146	2.29148	-0.056223	-0.0537306
-0.0555341	-0.0511308	-0.00466016	2.34401	-0.0527265	-0.0533768
-0.0554494	-0.050772	-0.00493426	2.39557	-0.0576607	-0.0507207
-0.0553048	-0.0507565	-0.00480515	2.44897	-0.0550968	-0.0532514
-0.0552551	-0.0513905	-0.00412143	2.50426	-0.0552617	-0.0518413
-0.0553986	-0.051828	-0.00382751	2.55862	-0.054728	-0.0539916
-0.0554622	-0.0517299	-0.00398917	2.61303	-0.0558343	-0.0531414
-0.0552818	-0.0514384	-0.00410033	2.66588	-0.0559572	-0.0533484
-0.054589	-0.0507187	-0.0041271	2.71741	-0.0561467	-0.0549442
-0.0539072	-0.0505337	-0.00363035	2.77049	-0.0558443	-0.053513
-0.0535493	-0.0503627	-0.00344345	2.82387	-0.0570591	-0.0531077
-0.0534906	-0.0502757	-0.00347175	2.88406	-0.0555506	-0.0504539
-0.0537701	-0.0501372	-0.00388976	2.95405	-0.0569613	-0.0524806
-0.0539676	-0.0501513	-0.0040732	3.02448	-0.0556698	-0.0546102
-0.0540949	-0.0506101	-0.00374163	3.08749	-0.0586053	-0.0538195
-0.0543734	-0.051035	-0.00359521	3.1446	-0.0589939	-0.0548951
-0.0545343	-0.0519663	-0.00282491	3.20308	-0.0575598	-0.0497641
-0.0549169	-0.0527119	-0.00246189	3.26564	-0.0569228	-0.0540818
-0.0548985	-0.0534724	-0.001683	3.33595	-0.0582951	-0.0518184
-0.0553798	-0.0540604	-0.00157623	3.41262	-0.0557944	-0.0559358
-0.0558733	-0.0546197	-0.00151048	3.48339	-0.0549079	-0.0527215
-0.056376	-0.0551434	-0.00148947	3.55075	-0.0560245	-0.0559379
-0.0566244	-0.0555065	-0.00137474	3.61704	-0.0566064	-0.0569974
-0.0566396	-0.0557758	-0.00112071	3.68506	-0.056287	-0.0578261
-0.0567924	-0.0560063	-0.00104301	3.74979	-0.055977	-0.0572161
-0.0570393	-0.0561617	-0.00113444	3.81059	-0.0579148	-0.0580776
-0.0572271	-0.0563751	-0.00110894	3.87187	-0.0574087	-0.0597755
-0.0573986	-0.0567503	-0.000905167	3.94372	-0.0592328	-0.0591515
-0.0574723	-0.056927	-0.000802209	4.01947	-0.0581096	-0.0594531
-0.0577136	-0.0571331	-0.000837331	4.09359	-0.0584462	-0.0590342
-0.0578283	-0.057153	-0.000932245	4.16679	-0.0585167	-0.0602656
-0.0578998	-0.0575126	-0.000644027	4.2395	-0.0601766	-0.0590024
-0.0580572	-0.0577464	-0.000567695	4.30946	-0.059338	-0.0595775
-0.0580782	-0.0578197	-0.000515383	4.37935	-0.0598109	-0.057099
-0.0580717	-0.0577939	-0.000534632	4.42575	-0.0595586	-0.0594965
-0.0579279	-0.0576233	-0.000561471	4.56875	-0.0603129	-0.0600124
