sub444	tbasej3	rp6883c	rp2747c
0.000307864	-1.3979	-0.0645962	-0.0632435
0.0026786	-1.23985	-0.0641965	-0.0633497
0.00304122	-1.09449	-0.0598928	-0.0602006
0.00369855	-0.977663	-0.0564647	-0.0591433
0.00428695	-0.878986	-0.0550467	-0.0580879
0.00283429	-0.785859	-0.052586	-0.0562845
0.000710548	-0.698916	-0.0512098	-0.0554968
0.0012768	-0.621635	-0.0513158	-0.05415
0.00276117	-0.551942	-0.0514163	-0.0521269
0.00220322	-0.488373	-0.0501812	-0.051458
0.00110416	-0.42833	-0.0489119	-0.0516731
0.000740513	-0.367476	-0.0489822	-0.0511854
0.000564079	-0.30318	-0.0487502	-0.0498543
0.000549263	-0.239533	-0.0482268	-0.0489673
9.32977e-05	-0.179176	-0.048247	-0.0488111
-0.000785027	-0.118477	-0.0488127	-0.049362
-0.00109679	-0.0562944	-0.0492769	-0.0493702
-0.000713559	0.00157834	-0.0499737	-0.0491886
-0.000623804	0.0547975	-0.0504867	-0.0493899
-0.000693662	0.108398	-0.0506879	-0.0499743
6.84551e-06	0.164086	-0.0509365	-0.0503127
0.00114938	0.217129	-0.0511627	-0.0504691
0.00129764	0.266605	-0.0511251	-0.0511319
0.000737831	0.31627	-0.0511474	-0.0522968
0.000431558	0.367468	-0.0518157	-0.0531133
0.000380759	0.416707	-0.0525478	-0.0532856
0.000622886	0.462726	-0.0527839	-0.0532155
0.0012575	0.508307	-0.0528223	-0.053203
0.00193852	0.555676	-0.0530352	-0.0536581
0.00195961	0.603331	-0.0533406	-0.0545981
0.00126999	0.649149	-0.0536574	-0.0555959
0.000395114	0.694037	-0.0543343	-0.0562939
-5.59964e-05	0.739661	-0.0553651	-0.056635
0.000196345	0.785933	-0.0563384	-0.0567335
0.000765825	0.831817	-0.0568102	-0.0567542
0.000845041	0.877483	-0.0566969	-0.0568932
0.000478929	0.923755	-0.0564654	-0.0572312
-3.99633e-06	0.970238	-0.0568698	-0.0577148
-0.000430482	1.01593	-0.0576443	-0.0581232
-0.000923373	1.06132	-0.0582206	-0.0582166
-0.00152312	1.10779	-0.058484	-0.0580535
-0.00200987	1.1559	-0.0587962	-0.0578728
-0.00220741	1.20473	-0.0593704	-0.0578473
-0.00205586	1.25336	-0.0600153	-0.0580055
-0.00154348	1.3022	-0.0604732	-0.0582658
-0.00119506	1.35213	-0.060648	-0.0585922
-0.00166458	1.40264	-0.0604612	-0.0589177
-0.00282569	1.4522	-0.0601449	-0.0589498
-0.00374253	1.50049	-0.0601222	-0.0584576
-0.00367778	1.54876	-0.0604734	-0.0576477
-0.00301913	1.5986	-0.0607944	-0.0570518
-0.00260791	1.65001	-0.0607673	-0.0570895
-0.00262132	1.70152	-0.0606349	-0.0576158
-0.00282514	1.75281	-0.0607296	-0.0581217
-0.00300779	1.80521	-0.060765	-0.0581437
-0.00329406	1.85973	-0.0604802	-0.0576551
-0.00367417	1.91413	-0.0601095	-0.0571017
-0.00403307	1.96631	-0.0599713	-0.0566773
-0.00440993	2.01782	-0.0599457	-0.0562716
-0.00466563	2.0706	-0.0598624	-0.0558294
-0.00471609	2.12398	-0.0598258	-0.0554158
-0.00463168	2.17657	-0.0597731	-0.0551074
-0.0049498	2.22899	-0.0595343	-0.0548182
-0.00559862	2.2826	-0.0589841	-0.0543524
-0.00567829	2.33816	-0.0585082	-0.0535584
-0.00494457	2.39428	-0.0583828	-0.0527842
-0.00402843	2.44925	-0.0582198	-0.0525415
-0.00383693	2.50376	-0.0576832	-0.0527386
-0.00416462	2.55992	-0.0569547	-0.0529262
-0.00430012	2.61861	-0.0565216	-0.0526847
-0.00396412	2.67787	-0.0563188	-0.0521541
-0.00388115	2.73597	-0.0560016	-0.0517015
-0.00441895	2.79332	-0.055526	-0.0515619
-0.00460984	2.85176	-0.0555533	-0.0516722
-0.00404762	2.91169	-0.0559671	-0.0515482
-0.00309944	2.97118	-0.0559933	-0.0513835
-0.00276087	3.03093	-0.055646	-0.0515984
-0.00305533	3.09394	-0.0553655	-0.0522661
-0.00313758	3.15858	-0.0555318	-0.0527709
-0.0021555	3.22073	-0.0558676	-0.0528123
-0.00119897	3.28108	-0.0563968	-0.0532592
-0.00137183	3.34447	-0.0568499	-0.0546944
-0.00241869	3.41478	-0.0572055	-0.0560065
-0.00344277	3.48644	-0.0576695	-0.0562977
-0.00373803	3.55415	-0.0585102	-0.0560915
-0.00330794	3.62196	-0.0596827	-0.0562399
-0.00271621	3.69159	-0.0605582	-0.0568202
-0.00272974	3.76105	-0.06081	-0.0575021
-0.00283069	3.83092	-0.060928	-0.0582118
-0.00220547	3.9076	-0.0615447	-0.058815
-0.00159779	3.9939	-0.0623997	-0.059569
-0.00221182	4.08073	-0.0626963	-0.0604909
-0.00290716	4.16723	-0.0627524	-0.0611546
-0.00242654	4.25332	-0.0629916	-0.0607798
-0.00193895	4.33618	-0.0632075	-0.0603004
-0.00221998	4.41836	-0.0637452	-0.0613187
-0.00190834	4.49967	-0.063853	-0.0619141
-0.00125606	4.77441	-0.0636576	-0.0614377
-0.00135277	4.9	-0.0637765	-0.0618681
-0.000846818	5	-0.0644128	-0.0631568
