rp1214	rp2232	sub1	lap1_20_samp	lap1_19_samp	lap1_18_samp	lap1_17_samp	cur1_21_samp	cur1_20_samp	cur1_19_samp	cur1_18_samp	cur1_17_samp	lap1_21_samp
-0.0507569	-0.056205	-0.00107093	0.000121386	0.000159574	0.000205486	0.00016153	-0.00072988	-0.000539351	-0.00074412	-0.000370429	-0.000803347	0.000154476
-0.0500502	-0.0570535	-3.27118e-05	0.00171471	0.00227023	0.00290277	0.00228182	-0.000709679	-0.000975198	-0.000841205	-0.000863884	-0.000870598	0.00218211
-0.0503223	-0.0568754	0.000936072	0.00342943	0.00466869	0.0058055	0.00456368	-0.000777836	-0.000779183	-0.000699987	-0.000757911	-0.000632881	0.00436417
-0.051274	-0.0568923	0.00266954	0.00514422	0.00707405	0.00870823	0.00684552	-0.000932151	-0.000949619	-0.000679429	-0.0007275	-0.000818461	0.00654624
-0.0509771	-0.0584902	0.00442936	0.00685907	0.00947951	0.0116109	0.00910917	-0.000870789	-0.000934693	-0.000666886	-0.000853613	-0.000744892	0.00872834
-0.0547021	-0.0592391	0.00526392	0.00857386	0.011885	0.0145135	0.0112818	-0.000651582	-0.000833973	-0.000568335	-0.000761875	-0.0008076	0.0109105
-0.0553893	-0.0593709	0.00584453	0.0102887	0.0142904	0.0174163	0.0134521	-0.000785573	-0.000923735	-0.000946154	-0.000911284	-0.00080995	0.0130926
-0.0563511	-0.0595343	0.00667183	0.0120026	0.0166958	0.0203191	0.0156225	-0.000885676	-0.000778397	-0.00102179	-0.00102024	-0.00100935	0.0152747
-0.058835	-0.0596103	0.00721641	0.0135237	0.0191012	0.0232218	0.0177928	-0.000533863	-0.000716354	-0.000908648	-0.00089704	-0.000644771	0.0174568
-0.0591931	-0.0593708	0.00738232	0.0149695	0.0215067	0.0261243	0.0199633	-0.000806254	-0.000844394	-0.000718717	-0.000441805	-0.000882303	0.0196389
-0.0579206	-0.0589916	0.00797658	0.0164153	0.0239121	0.0289541	0.0221336	-0.00085522	-0.000800418	-0.00103632	-0.000715539	-0.000693662	0.0218209
-0.0592298	-0.0592625	0.00920098	0.0178612	0.0263176	0.0317524	0.024304	-0.000803862	-0.00084773	-0.00118048	-0.000750263	-0.000766882	0.024003
-0.0600999	-0.0591638	0.0103224	0.0193071	0.0287231	0.0345506	0.0264743	-0.000804683	-0.0010246	-0.0008274	-0.000914574	-0.000558334	0.0261852
-0.0605907	-0.0579212	0.0113125	0.020753	0.0311286	0.0373488	0.0286447	-0.000750946	-0.000845604	-0.00056338	-0.000739441	-0.000853728	0.0283673
-0.0610615	-0.0566321	0.012505	0.0221986	0.033553	0.040147	0.030815	-0.000646256	-0.000719657	-0.000555668	-0.000717652	-0.000739247	0.0305493
-0.0610419	-0.055778	0.0134787	0.0236445	0.0360394	0.0429452	0.0329854	-0.000658232	-0.000620467	-0.000719397	-0.00080425	-0.000929026	0.032723
-0.0609127	-0.0550682	0.0141787	0.0250903	0.0385264	0.0457434	0.0351559	-0.000818863	-0.000915783	-0.000622691	-0.000975456	-0.000770644	0.0347922
-0.0611607	-0.0544889	0.014621	0.026536	0.0410135	0.0485417	0.0373264	-0.000771666	-0.000762459	-0.00062604	-0.000800312	-0.000935521	0.0368523
-0.0615427	-0.0543263	0.014431	0.0279818	0.0435006	0.05134	0.0394968	-0.000774637	-0.00103653	-0.000525391	-0.000785507	-0.000848424	0.0389124
-0.0616199	-0.0542376	0.0138189	0.0294275	0.0459876	0.0541383	0.0416672	-0.00100262	-0.00071475	-0.000650895	-0.000571985	-0.000876845	0.0409725
-0.0614844	-0.0535078	0.0134012	0.0308734	0.0484746	0.0569365	0.0438033	-0.000871317	-0.000672057	-0.000610097	-0.000864372	-0.00056842	0.0430326
-0.0613202	-0.0521192	0.0135517	0.0323192	0.0509617	0.0597308	0.0458089	-0.000744312	-0.000806312	-0.00083503	-0.000630218	-0.000936582	0.0450927
-0.0611204	-0.050798	0.0142805	0.0337651	0.0534488	0.0624555	0.0478126	-0.00112388	-0.000763687	-0.000678704	-0.000970921	-0.000877245	0.0471527
-0.0612415	-0.049929	0.0151752	0.0352109	0.0559359	0.0651718	0.0498163	-0.000882875	-0.000752667	-0.000955396	-0.000951796	-0.00085621	0.0492127
-0.0617728	-0.0492678	0.0155829	0.0366568	0.058423	0.0678881	0.05182	-0.0011178	-0.000725149	-0.000756232	-0.000844482	-0.000703313	0.0512728
-0.0622443	-0.0487656	0.0154886	0.0381026	0.0609101	0.0706044	0.0538237	-0.000753943	-0.000607121	-0.000866754	-0.000938017	-0.000752878	0.0533329
-0.0625022	-0.0483234	0.0152814	0.0395484	0.0633971	0.0733206	0.0558275	-0.00077686	-0.00088968	-0.00064096	-0.000700064	-0.000751592	0.0553929
-0.0626184	-0.0479974	0.014925	0.0409943	0.0658935	0.0760369	0.0578313	-0.000979509	-0.000765742	-0.000922594	-0.00115672	-0.000994109	0.0574529
-0.0625652	-0.0481342	0.0144743	0.0424403	0.0684	0.0787531	0.059835	-0.000722865	-0.000770305	-0.000582547	-0.000871916	-0.000708893	0.0595131
-0.0621992	-0.0483803	0.0140975	0.0438862	0.0709064	0.0814692	0.0618387	-0.000743038	-0.000936019	-0.000786101	-0.000800067	-0.000833631	0.0615731
-0.0616401	-0.048239	0.0137335	0.0453319	0.0734129	0.0841854	0.0638424	-0.000774719	-0.000844713	-0.000995157	-0.000871049	-0.000636964	0.0636334
