cur1_63	cur1_64	cur1_65	cur1_66	cur1_67	jlap1_63	jlap1_64	jlap1_65	jlap1_66	jlap1_67	rp5462	rp6367	rp6878	sub	sub3	tbasej3
-0.00491498	-0.00279741	-0.00473434	-0.00653589	-0.00476146	-0.00104922	0.000129673	-0.00308326	0.00754158	0.00964062	-0.0570926	-0.0555181	-0.0560073	0.0010853	0.000841036	-1.3979
-0.00702259	-0.00494543	-0.00345936	-0.00421021	-0.00415513	0.000322254	-0.000812964	0.0197763	0.0162581	0.00638264	-0.0564813	-0.0550652	-0.0562933	0.000188	0.00288562	-1.23985
-0.00579701	-0.00585217	-0.00351577	-0.00666939	-0.00623972	-0.000450267	0.00149369	0.00233362	0.00667046	0.0133633	-0.0514385	-0.051713	-0.0505975	0.000841	0.00178825	-1.09449
-0.00615775	-0.00626221	-0.00610381	-0.00349331	-0.00715987	0.00293578	0.0114502	0.00129977	0.00252585	0.00337428	-0.0486013	-0.049186	-0.0457156	0.0028857	0.00290798	-0.977663
-0.00721763	-0.00464753	-0.00428755	-0.0060295	-0.0052091	-0.00870814	-0.00368245	0.00721808	0.00346677	0.0040434	-0.0452736	-0.0473653	-0.0434854	0.0017882	0.00185816	-0.878986
-0.0083875	-0.00567799	-0.00490719	-0.00604217	-0.00702541	0.00530793	0.0061729	0.00113615	0.0119118	-0.00192471	-0.0437369	-0.0449042	-0.040829	0.0029079	0.00245506	-0.785859
-0.00503629	-0.00531056	-0.00585557	-0.00520968	-0.00448113	0.0111072	0.00616733	0.000321126	-0.0110815	0.00206745	-0.0419382	-0.0402033	-0.0400801	0.0018581	0.00302295	-0.698916
-0.00717875	-0.0063122	-0.00555178	-0.00513236	-0.00440247	0.00168219	0.00544745	-0.000687787	0.00409116	0.00681811	-0.0414717	-0.0396025	-0.0390167	0.002455	0.000772517	-0.621635
-0.00923262	-0.00653288	-0.00608787	-0.00630244	-0.0049784	0.00267567	0.00236044	0.00435682	-0.00146281	-0.00617066	-0.041158	-0.0400847	-0.038135	0.003023	-0.000265744	-0.551942
-0.00654433	-0.0045891	-0.00706966	-0.00396641	-0.00608614	-0.00281508	0.00616002	-0.00528537	0.00891344	-0.00693814	-0.0385739	-0.0383212	-0.0378014	0.0007725	0.000386965	-0.488373
-0.00602298	-0.006559	-0.0042366	-0.00572768	-0.00396482	0.0206538	0.00310379	-0.000840736	0.00745495	-0.0057032	-0.0377549	-0.0387968	-0.0380207	-0.0002658	0.000497118	-0.42833
-0.00869239	-0.00561965	-0.00353189	-0.00595376	-0.0049176	0.00405984	-0.00885831	0.00243151	0.00434332	-0.0081051	-0.0376902	-0.0386927	-0.0373032	0.000387	0.00129234	-0.367476
-0.00643405	-0.00358751	-0.00544795	-0.00742733	-0.00572204	0.00192122	0.0107896	0.00402762	-0.0015652	0.000832287	-0.0371009	-0.0350715	-0.0366038	0.0004971	0.00252805	-0.30318
-0.00596188	-0.00662085	-0.00689928	-0.00436117	-0.00567365	0.014004	0.00332246	-0.00569909	0.022243	-0.00778935	-0.0372948	-0.0366085	-0.0360025	0.0012923	0.00268062	-0.239533
-0.00709287	-0.00601562	-0.0038015	-0.0049034	-0.00507269	0.0164475	0.00595542	-0.00522646	0.00623051	-0.00710287	-0.0382172	-0.0446854	-0.0356891	0.0025281	0.0026416	-0.179176
-0.00756598	-0.00707486	-0.00770453	-0.00394603	-0.00434864	0.0104507	0.00440973	-0.000594881	-5.69E-07	0.0117099	-0.038517	-0.0376849	-0.0358363	0.0026807	0.00332925	-0.118477
-0.0064221	-0.0038846	-0.00612158	-0.0060994	-0.00625523	-0.00700898	0.00495754	0.00310699	0.0136514	0.00509319	-0.0386073	0.00114196	-0.0359657	0.0026416	0.00324702	-0.0562944
-0.00554751	-0.00300551	-0.00621363	-0.00485068	-0.00319544	0.00169626	0.016325	0.00396102	0.0218332	0.00226776	-0.0394144	0.048148	-0.0360852	0.0033292	0.00253587	0.00157834
-0.00725064	-0.00398374	-0.00421905	-0.00520078	-0.00548408	0.014624	-0.0002795	0.00427637	0.00382414	0.00432564	-0.0396864	0.0751626	-0.0364394	0.003247	0.0025502	0.0547975
-0.00926769	-0.00639983	-0.00624921	-0.00710283	-0.00747106	0.00501839	-0.00236675	-0.0175433	0.00464635	-0.00157053	-0.0394561	0.0774154	-0.0369202	0.0025359	0.00253796	0.108398
-0.0104516	-0.00457419	-0.00749568	-0.00448121	-0.00524993	0.00484871	0.000600432	0.004358	0.008091	0.0153587	-0.0397981	0.0596743	-0.0372479	0.0025502	0.00200145	0.164086
-0.00716936	-0.00585798	-0.00699829	-0.00438474	-0.00486622	0.000367742	-0.00397426	-0.000326552	0.00651548	0.00215632	-0.0402706	0.0288979	-0.0377326	0.002538	0.00172234	0.217129
-0.00663378	-0.00553769	-0.00443152	-0.00356434	-0.00527861	0.00605012	0.00641662	0.000635379	0.0169683	0.0127935	-0.0405392	-0.00536699	-0.0385377	0.0020015	0.00231494	0.266605
-0.00785514	-0.00576637	-0.00627866	-0.00691802	-0.00732177	0.00528365	0.00221631	-0.00313503	-0.000121898	0.0114116	-0.0409322	-0.0321067	-0.0392099	0.0017223	0.00260957	0.31627
-0.0086913	-0.00682941	-0.00714786	-0.00364173	-0.00693632	0.0197283	0.0101935	-0.0105661	0.015637	-0.00047666	-0.0417235	-0.0433405	-0.0394086	0.0023149	0.00185131	0.367468
-0.00571101	-0.00693068	-0.00635466	-0.00608875	-0.00407687	0.00396246	0.00410638	-0.00637079	0.0105308	0.00378822	-0.0420027	-0.0420572	-0.0393931	0.0026096	0.000888053	0.416707
-0.00725699	-0.00619748	-0.00625048	-0.0079226	-0.00409874	0.00659824	0.00866834	0.0109379	0.00520064	0.00705267	-0.0415074	-0.0380872	-0.0396561	0.0018513	0.000563513	0.462726
-0.00518917	-0.00526972	-0.00526042	-0.00681766	-0.00371168	-0.000279259	0.010865	-0.00236138	0.0123218	0.00223658	-0.0412802	-0.0373875	-0.0403921	0.0008881	0.000569593	0.508307
-0.00870585	-0.00463876	-0.00923587	-0.00559996	-0.00703631	0.00464929	0.00405697	-0.00407527	-0.012831	-0.012371	-0.0419342	-0.0396481	-0.0413707	0.0005635	0.000528004	0.555676
-0.00787377	-0.00687268	-0.00616141	-0.0054631	-0.00406957	-0.00051694	-0.00921849	0.00811426	0.00258249	-0.0130042	-0.0428407	-0.0417817	-0.0422711	0.0005696	0.000737667	0.603331
