jlap1_66	jlap1_67	cur1_66	cur1_67
-0.00262767	0.00579577	-0.103279	-0.103949
0.0138635	0.00217289	-0.102388	-0.10078
0.0081467	0.00716991	-0.101894	-0.101522
0.00803428	0.0017604	-0.104215	-0.102605
0.0175101	0.0103035	-0.103017	-0.102912
0.00692369	0.00839518	-0.102903	-0.102013
0.000188037	0.00218973	-0.105403	-0.101713
0.00890015	0.00616509	-0.103982	-0.101198
0.00840834	0.0179581	-0.106267	-0.10091
0.0199099	0.0180369	-0.101812	-0.101516
0.0175113	0.0188464	-0.102969	-0.100476
0.0185985	0.013144	-0.103639	-0.102787
0.0114877	-0.00408963	-0.102722	-0.102334
0.00616716	0.012491	-0.102662	-0.102835
0.00965671	0.0167645	-0.101317	-0.101865
0.0152326	0.00283764	-0.101829	-0.101404
0.00579721	0.0120605	-0.105504	-0.10196
0.0128343	0.000195853	-0.102806	-0.102081
0.00467072	0.0127986	-0.105518	-0.102725
0.00547283	0.0262498	-0.101559	-0.100388
0.0162941	0.00123463	-0.101229	-0.102778
0.000520485	0.00725606	-0.103128	-0.101122
0.0247332	0.00475924	-0.104133	-0.102996
0.0217629	0.00993078	-0.102374	-0.10321
-0.00255945	-0.00520903	-0.103544	-0.101701
0.0108231	0.0108901	-0.101194	-0.103083
-0.000247624	0.0145576	-0.10415	-0.10198
0.00470551	0.000159807	-0.105075	-0.100856
0.0107724	0.0184785	-0.100484	-0.103869
0.0112069	0.000952961	-0.103629	-0.0997889
0.0184804	0.00940016	-0.104109	-0.100686
0.0130867	0.0108193	-0.104043	-0.101076
-0.000229687	0.0114771	-0.103464	-0.102897
0.00957579	0.013635	-0.104905	-0.100933
0.00102676	0.0144476	-0.103559	-0.103432
0.00390716	0.00382067	-0.101741	-0.101783
0.00104302	0.00916408	-0.104114	-0.0999539
-0.00306421	0.00565921	-0.103056	-0.102652
0.0120564	0.00929741	-0.10309	-0.101941
0.00697899	-0.00655185	-0.101244	-0.102124
0.0110276	-0.00235653	-0.102848	-0.102063
0.0191353	-0.00152832	-0.103194	-0.100887
-0.00403759	0.00814254	-0.10634	-0.103396
1.72811e-05	0.0169443	-0.103983	-0.102846
-0.00438875	0.0092949	-0.105493	-0.10172
0.00775467	0.00757746	-0.102308	-0.102851
0.000671555	0.000858369	-0.103409	-0.102257
0.0113837	-0.000454343	-0.103322	-0.10128
0.00549576	-0.00312845	-0.104017	-0.103005
-0.00242143	0.000637379	-0.102601	-0.09907
0.00683901	0.0101583	-0.103577	-0.100326
0.0072293	-0.000379381	-0.103764	-0.101649
0.00472338	0.00460157	-0.103289	-0.100433
0.0195866	0.0124233	-0.104101	-0.100172
0.00972155	-0.00141627	-0.104356	-0.101617
0.00281916	0.00741414	-0.102339	-0.102314
0.0196671	-0.00267083	-0.105417	-0.101677
-0.00584405	0.00289259	-0.104845	-0.103207
0.00422329	0.0203425	-0.101363	-0.101412
0.00301185	0.00195422	-0.104744	-0.102937
-0.000729317	0.00419051	-0.104632	-0.101566
-0.00287471	0.00208059	-0.102858	-0.101554
0.0144763	0.0115767	-0.103416	-0.101107
0.000677454	0.00107241	-0.104091	-0.102648
0.00946248	0.00100074	-0.100218	-0.102675
-0.00548904	0.00531461	-0.103249	-0.104024
0.00540796	0.00430723	-0.104841	-0.100725
0.00484251	0.00117112	-0.102709	-0.101566
0.0135523	0.00475654	-0.103009	-0.103301
0.00880206	-0.00203846	-0.104335	-0.104359
0.0228337	0.0104274	-0.104262	-0.101654
0.00830019	0.00728763	-0.102804	-0.103083
0.0088971	0.0111684	-0.104277	-0.102245
0.00104241	-0.000576497	-0.103456	-0.101989
0.00341761	-0.00101967	-0.103087	-0.103162
0.00128783	0.00275429	-0.106376	-0.102543
0.00776742	-0.00949747	-0.102199	-0.10041
0.0095679	0.00218172	-0.103055	-0.100008
0.0123892	0.0100695	-0.102563	-0.103204
0.0107025	0.00431078	-0.102547	-0.101504
0.0231264	-0.00277709	-0.103446	-0.101396
0.0233139	-0.00158088	-0.103629	-0.102855
0.0213727	0.011495	-0.102214	-0.102523
0.00958641	0.00519111	-0.103884	-0.101858
0.0207347	0.00367107	-0.102101	-0.101295
0.0201381	0.0146446	-0.103026	-0.101951
0.0154546	0.0184447	-0.104621	-0.101631
0.0257673	0.00480975	-0.10363	-0.101664
0.0203141	0.00339027	-0.104589	-0.102114
0.0252801	0.00683472	-0.10564	-0.101289
0.0384135	0.016775	-0.102332	-0.103212
0.0346012	0.0177067	-0.104195	-0.0993958
0.0315221	0.0107842	-0.103748	-0.101973
0.0302274	0.00915103	-0.104114	-0.102264
0.030498	0.0138833	-0.105272	-0.100925
0.0357306	0.0140017	-0.104154	-0.103082
0.0278243	0.0166726	-0.104572	-0.102338
0.0394581	0.026487	-0.103493	-0.103119
0.0359301	0.027951	-0.104038	-0.101198
0.0448854	0.00802423	-0.104078	-0.100495
0.0355477	0.01809	-0.102823	-0.101261
0.0526817	0.0306704	-0.103638	-0.102989
0.0577058	0.0224343	-0.103312	-0.102777
0.0607562	0.0319642	-0.102071	-0.102705
0.0613209	0.0243972	-0.103887	-0.103351
0.0552779	0.0275198	-0.104544	-0.100849
0.047838	0.0308487	-0.103829	-0.101838
0.0468068	0.0196267	-0.103313	-0.102196
0.0578872	0.0312099	-0.105293	-0.102106
0.0534076	0.0285286	-0.102593	-0.102119
0.0666119	0.0354741	-0.105523	-0.103351
0.0705823	0.0432992	-0.103919	-0.102929
0.0635533	0.0217372	-0.103622	-0.103719
0.0623733	0.0299326	-0.107004	-0.103002
0.0568218	0.0284417	-0.102062	-0.10121
0.067945	0.0457671	-0.106946	-0.101964
0.0758274	0.0399838	-0.105838	-0.103001
0.0753931	0.0222492	-0.103333	-0.103533
0.0724621	0.0312878	-0.104962	-0.103319
0.0779783	0.0363923	-0.103552	-0.101159
0.0690634	0.0254979	-0.102432	-0.100908
0.0810847	0.0430777	-0.105724	-0.104462
0.0832272	0.035976	-0.105722	-0.101294
0.0870979	0.0408422	-0.102446	-0.100914
0.0744315	0.0381592	-0.103087	-0.103576
0.0678761	0.0366655	-0.103146	-0.101153
0.0800375	0.0373449	-0.106826	-0.102507
0.0821507	0.0370781	-0.10674	-0.101289
0.0914161	0.0416039	-0.102977	-0.101991
0.0939643	0.0391335	-0.103584	-0.102631
0.105712	0.0434039	-0.10295	-0.10359
0.0994453	0.0487389	-0.103051	-0.102416
0.0890946	0.0492071	-0.104909	-0.106052
0.0904395	0.059424	-0.10559	-0.101692
0.101114	0.0590175	-0.101976	-0.103737
0.102494	0.0609151	-0.104874	-0.100512
0.106058	0.046048	-0.103103	-0.101799
