sub4	tbasej4	rp131140	rp115124b	rp125126	jlap1_125	jlap1_126	cur2_125	cur2_126
0.00190244	-0.953274	-0.0558442	-0.0570434	-0.0612283	0.0255157	0.0112836	-0.0551526	-0.0512065
0.00339768	-0.843228	-0.0556709	-0.0560868	-0.0601814	0.030953	0.0215337	-0.0552261	-0.0521154
0.00385354	-0.765	-0.0544445	-0.056347	-0.0598203	-0.00913374	0.0225768	-0.0568988	-0.0522138
0.00470788	-0.697194	-0.0529912	-0.0563889	-0.0591881	0.0173489	0.027213	-0.0551418	-0.0527288
0.00615594	-0.628266	-0.0523967	-0.0562502	-0.0600551	0.017805	0.0201451	-0.0519282	-0.054681
0.00534185	-0.552863	-0.0516705	-0.0563784	-0.0585884	0.000757614	0.0144763	-0.0539675	-0.0523126
0.00615178	-0.485141	-0.0507117	-0.0568677	-0.0575424	0.00194102	0.0181322	-0.0526268	-0.0533693
0.00807409	-0.42937	-0.0504242	-0.055766	-0.058358	0.0217004	0.0195248	-0.0524335	-0.0520107
0.00850562	-0.37992	-0.0498234	-0.0559752	-0.0583061	-0.00541243	0.0208648	-0.0552318	-0.0512753
0.0070962	-0.333876	-0.0487377	-0.0568118	-0.055511	0.00750743	0.0182312	-0.0548926	-0.0539144
0.00593922	-0.290604	-0.0480543	-0.0565599	-0.0534485	0.0240783	0.0120141	-0.0554754	-0.0524069
0.00632891	-0.249713	-0.0484338	-0.05553	-0.0549545	0.00197751	0.0138797	-0.056664	-0.0537973
0.00757706	-0.210274	-0.048825	-0.0547642	-0.0590015	0.00699408	0.0251733	-0.054267	-0.0538628
0.00869645	-0.171435	-0.0488968	-0.0552258	-0.0615988	0.0155556	-0.00234653	-0.0544103	-0.0517527
0.00886081	-0.133045	-0.0484556	-0.0560327	-0.0586433	0.0222055	0.0201976	-0.0550221	-0.050971
0.00805436	-0.0956398	-0.0474245	-0.056121	-0.0485016	0.0227116	0.0079725	-0.054861	-0.0523702
0.00686456	-0.0597431	-0.0469467	-0.0558075	-0.0327193	0.0209903	0.0307666	-0.0544682	-0.0511471
0.00645207	-0.0250887	-0.0475407	-0.0555951	-0.0150999	0.00709564	0.0133139	-0.0553697	-0.0549637
0.00667622	0.0087615	-0.0487133	-0.0555778	0.000349454	0.0131122	0.012066	-0.0544849	-0.0513383
0.0065668	0.0421823	-0.0491667	-0.0556188	0.0110344	0.0243163	0.00834516	-0.0549701	-0.0533303
0.00636017	0.0751958	-0.0489534	-0.0556297	0.0164113	0.0133961	0.0132819	-0.055368	-0.0524293
0.00638233	0.107857	-0.0490725	-0.0556393	0.0167385	0.00904185	0.0227844	-0.0557803	-0.0515185
0.00666903	0.14039	-0.0493433	-0.0557035	0.0124361	0.0174279	0.00949883	-0.0534313	-0.0522726
0.00692154	0.173035	-0.0494195	-0.0558019	0.00400071	0.00867198	0.0205007	-0.0556733	-0.0532042
0.00688629	0.20594	-0.0491975	-0.0558665	-0.00781646	0.0247326	0.0236367	-0.0553627	-0.0532846
0.00657886	0.239073	-0.0489225	-0.0558441	-0.0217804	0.00700297	0.0142595	-0.0533618	-0.053111
0.00620942	0.272471	-0.0488459	-0.0557322	-0.0360524	0.0233872	0.0159251	-0.0562553	-0.0517796
0.00605053	0.306189	-0.0490002	-0.0555791	-0.0481427	0.0181972	0.0153455	-0.055583	-0.0533627
0.00568247	0.340382	-0.0492785	-0.0554879	-0.0560643	0.0299736	0.0231443	-0.0534788	-0.052359
0.00537559	0.375183	-0.0495115	-0.055562	-0.0591811	0.01893	0.0186664	-0.0541798	-0.0525201
0.00541372	0.410772	-0.0496238	-0.0553063	-0.0582877	0.0157428	0.027	-0.0542292	-0.0534296
0.00527985	0.447483	-0.0497327	-0.0551083	-0.0554399	0.0128965	0.0148155	-0.0541739	-0.0520308
0.00503333	0.485573	-0.0499153	-0.055329	-0.0529493	0.0188588	0.0134552	-0.0534407	-0.0533884
0.0047784	0.525221	-0.0501098	-0.0553897	-0.0524172	0.00388299	0.0127376	-0.0549232	-0.0520224
