jlap1_35	jlap1_36	jlap1_42	jlap1_44	cur1_35	cur1_36	cur1_42	cur1_44
0.0115652	0.0169072	0.013277	0.0168932	-0.169477	-0.16701	-0.169701	-0.167388
0.0233434	0.0195987	0.0285041	0.00438445	-0.170997	-0.167583	-0.167875	-0.16696
0.0194301	0.0196738	0.0212433	0.0194013	-0.16955	-0.168192	-0.170296	-0.16697
0.019407	0.03632	0.0193955	0.018278	-0.167401	-0.166032	-0.169164	-0.165863
0.0227765	0.0259385	0.0295922	0.0281754	-0.168915	-0.166771	-0.170036	-0.165685
0.022863	0.019464	0.0291262	0.0271849	-0.167625	-0.166683	-0.166897	-0.168323
0.017168	0.031995	0.032119	0.0211226	-0.16963	-0.168328	-0.165935	-0.16841
0.0201725	0.0202156	0.0234783	0.0158652	-0.168163	-0.167524	-0.167825	-0.168175
0.0241464	0.0249122	0.0188656	0.0142789	-0.169193	-0.16865	-0.169265	-0.168501
0.0188312	0.0152719	0.02068	0.0218034	-0.171002	-0.168691	-0.169205	-0.167333
0.0151316	0.0262265	0.0243845	0.0141449	-0.170826	-0.167616	-0.164989	-0.167783
0.0277631	0.0253123	0.0149101	0.0341673	-0.171158	-0.166104	-0.169206	-0.168323
0.01069	0.0265498	0.0234268	0.0222851	-0.170257	-0.168501	-0.170801	-0.167661
0.0214048	0.0184896	0.0249717	0.0102756	-0.168774	-0.166041	-0.170236	-0.166842
0.0182653	0.0196514	0.0263092	0.0187565	-0.167463	-0.165725	-0.168542	-0.167022
0.0402525	0.0241412	0.0277337	0.0334436	-0.168391	-0.171133	-0.170767	-0.167211
0.0213041	0.0267733	0.021344	0.017126	-0.171046	-0.168338	-0.171473	-0.168089
0.0209491	0.0145288	0.0135293	0.017907	-0.169906	-0.167741	-0.168046	-0.16673
0.0289704	0.0194004	0.0317718	0.015218	-0.170349	-0.168005	-0.169675	-0.168085
0.0194529	0.0167246	0.0226497	0.0205751	-0.169459	-0.167937	-0.167577	-0.167642
0.0224607	0.0291819	0.0281634	0.0111098	-0.16873	-0.167993	-0.169475	-0.167164
0.020781	0.0170518	0.020588	0.0222546	-0.170056	-0.166554	-0.169689	-0.16839
0.0210049	0.0197554	0.0195672	0.0235344	-0.168565	-0.166746	-0.166902	-0.167287
0.016075	0.0190325	0.0171277	0.0377526	-0.170897	-0.168512	-0.168242	-0.167321
0.0223869	0.0320443	0.0163995	0.0393322	-0.171153	-0.167038	-0.16863	-0.165873
0.0251631	0.0268432	0.0179534	0.0265476	-0.169132	-0.16797	-0.168865	-0.165189
0.0158236	0.0118097	0.0171043	0.0367382	-0.169864	-0.167107	-0.169376	-0.167778
0.0242707	0.00502197	0.0172099	0.0400477	-0.170539	-0.17005	-0.169605	-0.167662
0.0220886	0.0274868	0.0340203	0.0660485	-0.169472	-0.168982	-0.170895	-0.168453
0.0205883	0.0252546	0.0274366	0.0579244	-0.169279	-0.165402	-0.170001	-0.168703
0.021676	0.0103794	0.0177918	0.0563345	-0.169328	-0.169254	-0.169445	-0.165931
0.0300234	0.025066	0.0176671	0.0699733	-0.168959	-0.165324	-0.16784	-0.16744
0.0205367	0.0170101	0.0205064	0.0605097	-0.168877	-0.169377	-0.169728	-0.168557
0.0248426	0.0294949	0.0335963	0.0703007	-0.16989	-0.167198	-0.170082	-0.169196
