sub2	tbasej2	rp2033	rp3664b	rp3435	jlap1_34	jlap1_35	cur1_34	cur1_35	rp6778	rp6566	jlap1_65	jlap1_66	cur1_65	cur1_66
0.000642688	-1.08395	-0.0582172	-0.0583352	-0.0592582	0.0231614	0.0300342	0.0138407	0.015453	-0.0574169	-0.0574037	0.0367033	0.0339427	0.0113708	0.0141952
0.00173012	-0.968479	-0.0583899	-0.0584083	-0.0588397	0.0326886	0.0284732	0.0118278	0.01331	-0.0582177	-0.058165	0.0448739	0.0278219	0.0109802	0.0147659
0.00226885	-0.889663	-0.0589373	-0.0582946	-0.0583493	0.0235287	0.0307095	0.0119546	0.0141799	-0.0573036	-0.0564886	0.0251889	0.034768	0.00924223	0.0152172
0.00216656	-0.817986	-0.0594864	-0.0577563	-0.0583564	0.0403683	0.0314954	0.0121723	0.0145823	-0.0562727	-0.0546733	0.0391133	0.0313441	0.0140287	0.013049
0.00190297	-0.746225	-0.0595429	-0.0572741	-0.0580697	0.0300962	0.0336678	0.0115068	0.0127773	-0.0550365	-0.0549587	0.029967	0.0210149	0.0146876	0.0138012
0.00187122	-0.676683	-0.059291	-0.0571244	-0.0586618	0.0221954	0.0315687	0.0119956	0.0154529	-0.0531637	-0.0550648	0.024643	0.0332814	0.013757	0.0132153
0.002182	-0.609567	-0.0590623	-0.0571593	-0.0607052	0.0260725	0.0392446	0.0119202	0.0145816	-0.0527994	-0.0556948	0.0269865	0.0251372	0.0120134	0.0139042
0.00247064	-0.545994	-0.0590781	-0.0572069	-0.0608502	0.0299002	0.0256299	0.0116437	0.0158304	-0.0532702	-0.0547659	0.0328504	0.0244339	0.0110996	0.0151137
0.0025971	-0.486168	-0.0591788	-0.0569968	-0.0569489	0.0318888	0.0432268	0.0112051	0.0138331	-0.0532388	-0.0534243	0.0319894	0.0351306	0.0106875	0.0135806
0.00294546	-0.427555	-0.0591949	-0.0567243	-0.0558637	0.0323777	0.0337883	0.0135787	0.0152214	-0.0523307	-0.0542326	0.0404176	0.0269701	0.0150394	0.014854
0.00367973	-0.369808	-0.0591817	-0.0565846	-0.062596	0.0332467	0.0243319	0.0123499	0.0164877	-0.0516406	-0.0554471	0.0182926	0.0285754	0.014804	0.0113594
0.0041503	-0.314437	-0.0592599	-0.0563144	-0.0670151	0.0328246	0.0290682	0.0117806	0.0159082	-0.0519412	-0.0522973	0.0398891	0.0291507	0.0128796	0.0143651
0.00397766	-0.261502	-0.0593879	-0.0557082	-0.054329	0.0300634	0.0323774	0.00928909	0.0163283	-0.052611	-0.0478728	0.0305794	0.0402676	0.0132117	0.0144628
0.00364828	-0.209569	-0.0593692	-0.0552189	-0.020856	0.0338752	0.0207336	0.0111561	0.0144056	-0.0525191	-0.0501881	0.0260504	0.0332284	0.01109	0.0155652
0.00367695	-0.156654	-0.05913	-0.0551524	0.0215162	0.0374389	0.0346028	0.0133351	0.0143181	-0.0516168	-0.0563445	0.0340471	0.0280306	0.0128344	0.0133365
0.00395611	-0.103979	-0.0590024	-0.0553541	0.0546334	0.0465375	0.0327029	0.0110563	0.0146618	-0.0508404	-0.0502762	0.0453398	0.0286877	0.0105952	0.0140329
0.00411292	-0.0540386	-0.0591044	-0.0554275	0.0698146	0.0299537	0.0213761	0.0102674	0.0149611	-0.050744	-0.0186773	0.0267314	0.0198205	0.0134809	0.0144993
0.00403677	-0.00599412	-0.0591455	-0.0551894	0.0671886	0.0337382	0.0253629	0.0119308	0.0131483	-0.0511821	0.0249962	0.0401135	0.0329499	0.0121532	0.0150661
0.00378785	0.0416532	-0.0590127	-0.0548998	0.048383	0.0264991	0.0295016	0.01192	0.0135357	-0.0517776	0.0569434	0.0266709	0.0356724	0.0132313	0.0115911
0.00353393	0.0890626	-0.058874	-0.0548372	0.0172644	0.0367878	0.0350609	0.011994	0.0143446	-0.0521239	0.0696974	0.0357054	0.0190364	0.0112847	0.0121358
0.00334735	0.135385	-0.0588232	-0.0550354	-0.0176368	0.0293285	0.0294811	0.0116732	0.0131229	-0.0521782	0.0649575	0.0268951	0.0215549	0.0129684	0.013552
0.00321687	0.18046	-0.0588001	-0.0552662	-0.0461836	0.0228771	0.0305241	0.0119395	0.0119109	-0.0522961	0.0449613	0.0370594	0.0238756	0.0134227	0.0134224
0.0030855	0.225601	-0.0587194	-0.055372	-0.0606976	0.0180602	0.0279037	0.0133854	0.0146868	-0.0527064	0.0135579	0.0355411	0.0234954	0.0128291	0.0148937
0.00295748	0.272074	-0.0586102	-0.0553933	-0.0608773	0.0353203	0.0312131	0.011383	0.0146733	-0.0532702	-0.0203315	0.0285277	0.020335	0.0125079	0.0121565
0.00290275	0.319632	-0.0585338	-0.0554483	-0.055421	0.0222041	0.0374786	0.0124865	0.0154332	-0.0536844	-0.0456659	0.0188241	0.0260791	0.0130609	0.0131678
0.00287406	0.367176	-0.0585115	-0.055554	-0.0533122	0.0430339	0.0449997	0.0104169	0.0154482	-0.0537757	-0.0563434	0.0261791	0.0353811	0.0135699	0.0142667
0.00264015	0.41535	-0.0585372	-0.0556345	-0.0559912	0.0296886	0.0349037	0.0133873	0.0141778	-0.05369	-0.05489	0.036571	0.0296144	0.0114584	0.0123145
0.00222966	0.466571	-0.0585746	-0.0557006	-0.0592141	0.0365423	0.0335521	0.0127194	0.0146929	-0.0536746	-0.0494999	0.0344769	0.0271478	0.012814	0.0153282
0.00175123	0.521525	-0.0585445	-0.0559044	-0.0594948	0.0298648	0.0233637	0.0118924	0.0143394	-0.0537064	-0.0470412	0.0303524	0.0310065	0.0114295	0.01292
0.00139573	0.575988	-0.0584027	-0.056173	-0.0578023	0.0435826	0.0262476	0.0124611	0.0153779	-0.0536784	-0.0489532	0.0287616	0.0369798	0.0117243	0.0138317
0.00134278	0.626787	-0.058184	-0.0564328	-0.0567749	0.0499624	0.0351392	0.012722	0.0126389	-0.0537823	-0.0526476	0.022154	0.0345757	0.0115509	0.0134694
0.00144573	0.675124	-0.0579746	-0.0565789	-0.0572281	0.0463745	0.0300211	0.00985056	0.0144705	-0.0540334	-0.054824	0.0412138	0.0297713	0.0131143	0.0157015
0.00139712	0.722702	-0.0578331	-0.0564904	-0.0581873	0.0411046	0.0236533	0.0119939	0.0142487	-0.0542496	-0.0542486	0.022886	0.0290884	0.0109279	0.0100852
0.00113887	0.769453	-0.0577375	-0.0562918	-0.0585369	0.0393198	0.0354271	0.0106481	0.0150917	-0.0543272	-0.052304	0.0317223	0.0304059	0.0116875	0.013159
