jlap1_34	jlap1_35	cur1_34	cur1_35
0.0231614	0.0300342	0.0138407	0.015453
0.0326886	0.0284732	0.0118278	0.01331
0.0235287	0.0307095	0.0119546	0.0141799
0.0403683	0.0314954	0.0121723	0.0145823
0.0300962	0.0336678	0.0115068	0.0127773
0.0221954	0.0315687	0.0119956	0.0154529
0.0260725	0.0392446	0.0119202	0.0145816
0.0299002	0.0256299	0.0116437	0.0158304
0.0318888	0.0432268	0.0112051	0.0138331
0.0323777	0.0337883	0.0135787	0.0152214
0.0332467	0.0243319	0.0123499	0.0164877
0.0328246	0.0290682	0.0117806	0.0159082
0.0300634	0.0323774	0.00928909	0.0163283
0.0338752	0.0207336	0.0111561	0.0144056
0.0374389	0.0346028	0.0133351	0.0143181
0.0465375	0.0327029	0.0110563	0.0146618
0.0299537	0.0213761	0.0102674	0.0149611
0.0337382	0.0253629	0.0119308	0.0131483
0.0264991	0.0295016	0.01192	0.0135357
0.0367878	0.0350609	0.011994	0.0143446
0.0293285	0.0294811	0.0116732	0.0131229
0.0228771	0.0305241	0.0119395	0.0119109
0.0180602	0.0279037	0.0133854	0.0146868
0.0353203	0.0312131	0.011383	0.0146733
0.0222041	0.0374786	0.0124865	0.0154332
0.0430339	0.0449997	0.0104169	0.0154482
0.0296886	0.0349037	0.0133873	0.0141778
0.0365423	0.0335521	0.0127194	0.0146929
0.0298648	0.0233637	0.0118924	0.0143394
0.0435826	0.0262476	0.0124611	0.0153779
0.0499624	0.0351392	0.012722	0.0126389
0.0463745	0.0300211	0.00985056	0.0144705
0.0411046	0.0236533	0.0119939	0.0142487
0.0393198	0.0354271	0.0106481	0.0150917
0.0428871	0.0327056	0.0106663	0.0152703
0.0534054	0.0275175	0.00998748	0.0141544
0.0440688	0.0343506	0.00966207	0.0120564
0.0552832	0.0404923	0.0107822	0.0120538
0.0625044	0.0448749	0.0136704	0.0152787
0.0648042	0.0331577	0.0112589	0.0125248
0.0610612	0.0282252	0.0112558	0.0119981
0.0677772	0.0316162	0.0124425	0.01648
0.05872	0.0354732	0.0115992	0.0142061
0.0718415	0.0432897	0.0125013	0.0174144
0.0688539	0.0384938	0.0111696	0.0164221
0.0709378	0.0337812	0.0107558	0.01395
0.0819311	0.0353917	0.0105719	0.015893
0.0873078	0.050938	0.012006	0.0140685
0.091097	0.0413207	0.0096564	0.0138516
0.0905766	0.0654216	0.0124222	0.0139237
0.08875	0.0672833	0.0113142	0.0137285
0.0860489	0.070412	0.0144998	0.012987
0.0886911	0.0617958	0.0108293	0.0129696
0.104021	0.0683651	0.0132558	0.0139756
0.106885	0.0677911	0.0118744	0.0144383
0.105615	0.070608	0.0127667	0.0152272
0.10699	0.0714921	0.00948464	0.0123682
0.106451	0.0748592	0.0126349	0.0141763
0.11446	0.0634243	0.0128194	0.0147214
0.116811	0.0689372	0.009017	0.0138539
0.120533	0.0708236	0.0135125	0.0150187
0.114557	0.0780099	0.013102	0.0138313
0.129029	0.0688986	0.0131736	0.0139925
0.12157	0.074727	0.011001	0.0136131
0.119926	0.0830703	0.00988125	0.0131933
0.124206	0.0894137	0.0124062	0.0136903
0.129859	0.0892992	0.0107698	0.0129962
0.133989	0.0848086	0.0114341	0.0118163
0.145035	0.084635	0.0117358	0.0142682
0.142917	0.08601	0.0125271	0.0153638
0.146014	0.10701	0.0135713	0.0153852
0.136356	0.0976356	0.0149939	0.0111405
0.156145	0.105136	0.0108699	0.014913
0.146707	0.108568	0.0143885	0.0150582
0.152448	0.109395	0.0115112	0.0154548
0.15892	0.116811	0.010259	0.016873
0.154411	0.104844	0.0120525	0.0142244
0.154196	0.111575	0.0109459	0.0141262
0.160259	0.116257	0.0129161	0.0138967
0.160749	0.1101	0.0113946	0.0139517
0.168378	0.113543	0.0118374	0.0132745
0.168022	0.125112	0.0115357	0.0128618
0.165104	0.118372	0.0126278	0.0145994
0.168093	0.120214	0.0101709	0.014261
0.165617	0.118382	0.0110753	0.0138284
0.170083	0.118126	0.0119354	0.0123846
0.183208	0.116803	0.0105941	0.0132855
0.186751	0.114563	0.0118759	0.0133368
0.184611	0.122681	0.0118055	0.0150515
0.193526	0.127757	0.0111575	0.0146303
0.192759	0.120365	0.0106607	0.0123679
0.190093	0.123032	0.0128475	0.0141161
0.189617	0.13333	0.0120867	0.0165127
0.191453	0.152847	0.0121327	0.0135856
0.199954	0.143741	0.0122472	0.0153962
0.200591	0.154022	0.0114892	0.0143164
0.20314	0.146295	0.0138771	0.0129907
0.204551	0.14938	0.0134525	0.0116311
0.209277	0.138249	0.0114801	0.0116575
0.208126	0.144792	0.0130905	0.0142557
0.210486	0.140605	0.0106865	0.012545
0.208373	0.147282	0.0120772	0.0161835
0.209302	0.136202	0.0137945	0.0125473
0.207285	0.139612	0.00949143	0.0113673
0.214425	0.147502	0.0117231	0.0162095
0.213585	0.146834	0.0127368	0.0116623
0.215251	0.150045	0.0127989	0.0120856
0.21818	0.159526	0.0126718	0.0119142
0.216711	0.151743	0.0123557	0.0136832
0.213941	0.160768	0.0111194	0.0166105
0.232248	0.154997	0.0151872	0.0164761
0.236816	0.153904	0.0106719	0.0130413
0.224515	0.167894	0.0140559	0.0131584
0.241297	0.163345	0.0141456	0.0128463
0.246665	0.153034	0.0106694	0.013184
0.24981	0.163003	0.010861	0.012423
0.234164	0.161121	0.0122425	0.0135111
0.24342	0.158558	0.011148	0.0130817
0.237187	0.159279	0.0117686	0.0166295
0.236786	0.160965	0.0135607	0.0131098
0.253195	0.160468	0.0125842	0.0122176
0.258491	0.158108	0.0121437	0.0142106
0.259095	0.16201	0.0110885	0.0135937
0.248221	0.16811	0.0111226	0.0136505
0.256659	0.166425	0.0141323	0.0141366
0.25867	0.164543	0.0101275	0.0145737
0.260115	0.164328	0.0113224	0.0142462
0.253536	0.167057	0.0132533	0.0147395
0.258617	0.168349	0.0110475	0.0143034
0.253323	0.169899	0.0113248	0.0145612
0.261195	0.16643	0.0106731	0.0126469
0.250946	0.165022	0.0131756	0.0122369
0.264202	0.16616	0.0137961	0.0139701
0.280892	0.167484	0.0124644	0.0156935
0.269719	0.167281	0.0112439	0.0159809
0.278775	0.166224	0.0139827	0.0152796
0.271258	0.166727	0.0150343	0.0153842
0.274663	0.167914	0.0137253	0.0159142
0.280192	0.169293	0.0131928	0.0150514
0.276072	0.166883	0.0113527	0.0161393
0.277081	0.165831	0.0142801	0.0139962
0.277698	0.165731	0.0128822	0.0152385
0.283822	0.167699	0.0118328	0.0138148
0.282292	0.169156	0.0103657	0.016768
0.287769	0.166709	0.0138394	0.015879
0.286464	0.187083	0.0133625	0.0151547
0.273413	0.184469	0.0140532	0.0141653
0.273608	0.184729	0.0148077	0.0137845
0.295394	0.18335	0.0123583	0.0169462
0.278489	0.182913	0.0128691	0.0140663
0.302169	0.187622	0.0120696	0.0151955
0.289582	0.193588	0.0133102	0.0127181
0.286648	0.19086	0.0132814	0.0138545
0.285787	0.179007	0.0123706	0.0130285
0.299429	0.182374	0.0113722	0.0134234
0.285871	0.180539	0.0128343	0.0120077
0.278784	0.181931	0.0128835	0.0171484
0.299607	0.181038	0.0120044	0.0155432
0.289795	0.192788	0.0112395	0.0156429
0.285873	0.183269	0.0102518	0.016783
0.296975	0.190375	0.0120404	0.0135125
0.293613	0.181006	0.0131155	0.0158499
0.304451	0.180717	0.0138064	0.0160892
0.294938	0.186948	0.0131464	0.0139463
0.312497	0.180929	0.0138553	0.0135495
0.288869	0.189245	0.0131844	0.0129007
0.299698	0.190284	0.0127228	0.0134099
0.299838	0.180276	0.0131661	0.0123532
0.304255	0.183662	0.0141489	0.0147031
0.291532	0.183871	0.0129398	0.0135928
0.315001	0.178084	0.012476	0.013345
0.318853	0.171855	0.0151774	0.012927
0.328165	0.18806	0.00811079	0.016489
0.310795	0.185225	0.0141958	0.0151694
0.326204	0.178016	0.0124262	0.0160425
0.309569	0.18671	0.0131289	0.0142087
0.306163	0.183504	0.0105083	0.0168026
0.31629	0.183148	0.0113359	0.0152702
0.316855	0.176194	0.0124357	0.0153555
0.313033	0.179623	0.0119858	0.0153105
0.318359	0.166248	0.0141713	0.0135115
0.330263	0.173116	0.0134128	0.0136838
0.317999	0.166686	0.0121737	0.0139081
0.313497	0.15658	0.0134975	0.013189
0.315728	0.163663	0.0128107	0.0153067
0.303181	0.163317	0.0119549	0.0144958
