sub11	rp811	rp1316	lap1_11	cur1_11	lap1_12	cur1_12
-0.00464344	-0.0573681	-0.0616551	0.0295235	0.0154247	0.0303146	0.0162787
-0.00450824	-0.0562602	-0.0611849	0.0295232	0.0133677	0.0303132	0.0134635
-0.00533513	-0.0538709	-0.0585143	0.029522	0.0142808	0.030311	0.0173054
-0.00603498	-0.0517501	-0.0562584	0.0295203	0.019263	0.0303104	0.0168955
-0.00492475	-0.0498143	-0.0551495	0.0295161	0.0144957	0.0303087	0.0162234
-0.00422898	-0.0481014	-0.0541364	0.0295124	0.0130067	0.0303069	0.0157911
-0.00478046	-0.0496375	-0.0545622	0.0295068	0.0117969	0.0303064	0.0176584
-0.00617326	-0.0487856	-0.0530146	0.0295003	0.013717	0.0303054	0.0157738
-0.00470562	-0.0485117	-0.0532921	0.0294939	0.0137329	0.0303024	0.0151155
-0.0036518	-0.0472637	-0.053437	0.0294868	0.0119794	0.0303001	0.016342
-0.00422113	-0.0467297	-0.0514353	0.0294795	0.0149104	0.0302996	0.0171124
-0.00318232	-0.0471455	-0.0507973	0.0294724	0.0144388	0.0302982	0.017574
-0.00208703	-0.0466757	-0.0508968	0.0294638	0.0142876	0.0302981	0.0148286
-0.00283184	-0.0468595	-0.0500418	0.0294548	0.0125086	0.0303011	0.0149744
-0.0036334	-0.0467548	-0.0488418	0.0294418	0.0140129	0.0303069	0.0145127
-0.00264358	-0.046217	-0.0490489	0.0294278	0.0142672	0.0303115	0.0156376
-0.000610989	-0.0466283	-0.0502617	0.0294119	0.0140001	0.0303134	0.0142161
0.000846371	-0.048263	-0.0509066	0.029397	0.0137577	0.0303153	0.0171115
0.000806772	-0.0500179	-0.0506289	0.0293811	0.0170126	0.0303173	0.0139268
-7.55E-05	-0.0509907	-0.0501443	0.0293676	0.0134098	0.0303181	0.0157062
-0.000907806	-0.0511406	-0.0503338	0.029357	0.0144213	0.0303163	0.018473
-0.00160574	-0.0511758	-0.0512513	0.0293495	0.012047	0.0303128	0.0164775
-0.00217872	-0.0515737	-0.0524815	0.0293433	0.0174463	0.0303116	0.0167884
-0.00172375	-0.0520303	-0.053636	0.0293358	0.0133232	0.0303073	0.0149479
0.000287839	-0.0521498	-0.0543286	0.0293303	0.0137966	0.0303031	0.0151697
0.00241558	-0.0523843	-0.054108	0.0293256	0.013648	0.0302992	0.0163105
0.00234509	-0.0533183	-0.0530305	0.0293218	0.0131963	0.0302954	0.0149431
0.000256506	-0.0545703	-0.0521547	0.0293187	0.0159802	0.0302884	0.016103
-0.000836841	-0.0552288	-0.0528837	0.0293181	0.0124818	0.030281	0.0159652
0.00059084	-0.0550221	-0.0547656	0.0293179	0.0139331	0.0302724	0.0154283
0.00268335	-0.0547786	-0.0556155	0.0293176	0.0137504	0.0302652	0.0171817
0.00272734	-0.0552347	-0.0546438	0.029318	0.0134787	0.030257	0.0135904
0.00200645	-0.0561076	-0.0534243	0.0293183	0.0148123	0.0302478	0.0140159
0.00261016	-0.0564871	-0.0537597	0.0293177	0.0146981	0.0302391	0.0159325
