sub1	tbasej	rp25b	rp610	rp56	jlap1_5	cur1_5
0.000403862	-7.71415	-0.0584994	-0.0583343	-0.0564409	0.0434636	0.0141368
0.000197083	-7.53827	-0.0581765	-0.0580717	-0.0562155	0.0387719	0.0130814
0.000156276	-7.41782	-0.0582111	-0.0585956	-0.0557388	0.0269451	0.0138055
0.000993375	-7.30488	-0.0588291	-0.058847	-0.0572988	0.0361429	0.0145178
0.000241388	-7.16674	-0.0587642	-0.0588634	-0.0577704	0.0331493	0.0146937
-0.000178542	-7.01643	-0.0584962	-0.0586519	-0.0573737	0.0298847	0.0132316
-0.000374936	-6.90372	-0.0585085	-0.0586362	-0.0573102	0.0397861	0.0138917
-0.000130534	-6.79429	-0.0587379	-0.0588989	-0.0579191	0.0421548	0.014267
0.000160217	-6.69933	-0.058814	-0.0586621	-0.0581699	0.0362903	0.0126616
-0.000132509	-6.61837	-0.0587484	-0.0582832	-0.0580803	0.0369173	0.0151229
-0.000307508	-6.52637	-0.0582987	-0.058817	-0.0585544	0.0439334	0.0133577
0.000186954	-6.41442	-0.0584236	-0.0591792	-0.058877	0.0372312	0.0155855
0.00041208	-6.30911	-0.0592849	-0.0589299	-0.0583688	0.0320979	0.0161183
0.000439934	-6.22618	-0.0594454	-0.0590559	-0.0580843	0.0323358	0.01598
0.000568096	-6.1411	-0.0592282	-0.0589754	-0.0577379	0.0365615	0.0146838
0.000262152	-6.04479	-0.0592006	-0.0588139	-0.0578825	0.0234111	0.0124582
0.000232007	-5.95155	-0.059149	-0.0586211	-0.0586306	0.0306444	0.0123883
0.000286676	-5.86308	-0.0589091	-0.0585439	-0.0584342	0.0318331	0.0153709
0.000295233	-5.76929	-0.0586188	-0.0588038	-0.0583414	0.0493062	0.0151139
0.000246581	-5.67475	-0.0585126	-0.0589873	-0.0588042	0.0317621	0.0154684
0.000179358	-5.59388	-0.05863	-0.0590278	-0.0587336	0.0190425	0.012976
0.0003548	-5.5085	-0.0588681	-0.0589968	-0.0579868	0.0258436	0.0130912
0.000308018	-5.38641	-0.0590815	-0.0594197	-0.0573217	0.0384692	0.0118072
0.000128321	-5.23206	-0.0591274	-0.0591959	-0.0573287	0.03883	0.0121913
-0.000349801	-5.11812	-0.0589876	-0.0586084	-0.0573428	0.0312539	0.0155722
-5.58E-05	-5.0187	-0.0588961	-0.0585404	-0.0572698	0.0310556	0.0144599
0.000570416	-4.93508	-0.0590483	-0.0587652	-0.0578227	0.0284877	0.0163247
0.000951301	-4.86168	-0.0593675	-0.0589533	-0.0585392	0.0316437	0.0135227
0.00092122	-4.78203	-0.0593806	-0.0586725	-0.0587099	0.0369894	0.0142873
0.000465494	-4.68436	-0.0591251	-0.0585405	-0.0582703	0.0290587	0.014563
0.000558231	-4.57016	-0.0590269	-0.0583551	-0.0581428	0.026058	0.0126797
0.000719134	-4.46913	-0.0588407	-0.0583733	-0.0584283	0.0289306	0.0152366
0.000244226	-4.36184	-0.058585	-0.0584018	-0.0581917	0.0284045	0.0152923
0.000117932	-4.24543	-0.05882	-0.0580883	-0.057928	0.0297643	0.0152623
0.000509694	-4.15454	-0.0587813	-0.0575385	-0.0582115	0.039315	0.0157475
0.000549097	-4.06981	-0.0584425	-0.0569536	-0.0578053	0.0470754	0.0132526
0.000616197	-3.97575	-0.0581677	-0.0566323	-0.0578212	0.0356134	0.0142323
0.00125018	-3.88376	-0.0581861	-0.0567942	-0.0581662	0.0323394	0.0139074
0.00189877	-3.80156	-0.0583936	-0.057159	-0.0573556	0.0386754	0.0146112
0.00188671	-3.70829	-0.0583732	-0.0570801	-0.0570382	0.0264489	0.0108008
0.00172419	-3.59158	-0.0583718	-0.0565289	-0.0573137	0.0341128	0.0145974
0.00148693	-3.48728	-0.0581268	-0.0561523	-0.0571201	0.0417223	0.013675
0.00162558	-3.39354	-0.0579481	-0.0563827	-0.0568267	0.0307504	0.0152691
0.00194129	-3.29395	-0.0580471	-0.0566844	-0.0565509	0.0307771	0.013557
0.00114044	-3.20205	-0.0575508	-0.05672	-0.0561073	0.03777	0.01185
0.00064211	-3.1237	-0.0574974	-0.0562232	-0.055432	0.035458	0.0134416
-0.000276953	-3.04774	-0.0569498	-0.0554416	-0.0543937	0.0341289	0.0150577
-0.000196118	-2.96735	-0.0564344	-0.0553505	-0.0542938	0.0476219	0.0142478
0.00117889	-2.87817	-0.0566738	-0.0552872	-0.0548039	0.0329957	0.0138005
0.00139545	-2.79222	-0.0569534	-0.0543936	-0.0550029	0.0339903	0.0152347
0.000929866	-2.70469	-0.0566779	-0.0538578	-0.0549115	0.0412835	0.0143117
0.00180008	-2.61598	-0.0565592	-0.0539913	-0.0543595	0.033473	0.0156561
0.00265685	-2.53193	-0.0568788	-0.053839	-0.0537339	0.0303603	0.0125533
0.00244857	-2.45579	-0.0569832	-0.053086	-0.054347	0.0357605	0.0141975
0.00261966	-2.37593	-0.0569022	-0.0520855	-0.0551866	0.0274727	0.0144769
0.00334074	-2.28655	-0.0565687	-0.0527548	-0.0546267	0.0312781	0.0156365
0.00425728	-2.19393	-0.0563074	-0.0536595	-0.0542298	0.0324522	0.0149709
0.00293939	-2.09193	-0.0557209	-0.0525511	-0.0549663	0.0460659	0.0147836
0.00222892	-1.97962	-0.055835	-0.0522065	-0.055535	0.0329632	0.0139009
0.0043103	-1.87915	-0.056814	-0.0523491	-0.0550614	0.0419541	0.0122157
0.00427904	-1.79719	-0.0567146	-0.0515332	-0.0536794	0.0267148	0.015701
0.00337047	-1.72	-0.0561611	-0.0515202	-0.0532621	0.0450833	0.0161667
0.00437943	-1.63496	-0.0562573	-0.0522285	-0.0534841	0.035802	0.0168464
0.00447484	-1.54297	-0.0561827	-0.0524235	-0.0534579	0.0465416	0.0148022
0.00422638	-1.459	-0.0564375	-0.0526227	-0.0540813	0.0372073	0.013169
0.00301487	-1.36883	-0.055765	-0.051866	-0.0538313	0.0393253	0.0138415
0.00229111	-1.26842	-0.0552824	-0.0517814	-0.0532946	0.0397184	0.0153931
0.00279677	-1.1309	-0.0551189	-0.0528022	-0.0529965	0.0345767	0.0137758
0.00366318	-0.948367	-0.0555857	-0.0526161	-0.0526049	0.0358371	0.0148043
0.00281502	-0.823871	-0.0558307	-0.0519432	-0.0529296	0.0303422	0.0115095
0.0011466	-0.722483	-0.0534062	-0.0527013	-0.0533166	0.0220706	0.0144261
0.00111158	-0.614864	-0.0543584	-0.0530902	-0.052927	0.0346306	0.0142063
0.00189476	-0.519023	-0.0543584	-0.0532313	-0.0522041	0.0392242	0.0150823
0.0031862	-0.430436	-0.0534062	-0.0537434	-0.053301	0.0422532	0.014928
0.00352301	-0.337143	-0.0543584	-0.0536555	-0.0521726	0.0321674	0.0148803
0.00210917	-0.235493	-0.0556563	-0.0533206	-0.0546308	0.0328202	0.0142675
0.00202663	-0.115389	-0.0543584	-0.0550604	-0.0493839	0.0327328	0.0138422
0.00335563	-0.00504153	-0.0566795	-0.055375	-0.0237652	0.026322	0.0131811
0.00213953	0.0896263	-0.0556563	-0.0556604	-0.00599281	0.0351881	0.012565
0.002041	0.191177	-0.0566675	-0.0561281	-0.0108068	0.0268746	0.014027
0.00199473	0.318168	-0.057288	-0.0567151	-0.0367055	0.0297707	0.0132841
0.000528451	0.424012	-0.0565496	-0.0571934	-0.0538736	0.038005	0.0122427
0.000606749	0.52552	-0.0570176	-0.0576136	-0.0518897	0.0370744	0.0142696
0.00010296	0.63587	-0.057089	-0.0577294	-0.0532723	0.0283213	0.013068
-0.000685144	0.742723	-0.0570438	-0.0575957	-0.0539873	0.027799	0.0144374
-0.00109993	0.839241	-0.0567586	-0.0573426	-0.0550473	0.0376424	0.0163444
-0.00150789	0.954531	-0.0563686	-0.0578404	-0.0551859	0.0281536	0.0153183
-0.00179347	1.06855	-0.0560712	-0.0582029	-0.0557049	0.0436746	0.0136859
-0.00180263	1.16384	-0.0564865	-0.05771	-0.0564195	0.0336154	0.0139438
-0.00234035	1.27003	-0.056229	-0.0578843	-0.0564816	0.0356475	0.0139828
-0.00233524	1.39682	-0.0560144	-0.0580849	-0.0567047	0.0123306	0.0152881
-0.00257956	1.50214	-0.0559928	-0.0581947	-0.0563576	0.0281059	0.0128591
-0.00265589	1.60152	-0.0559578	-0.0582132	-0.0565132	0.0346413	0.0125509
-0.00292864	1.71579	-0.0559968	-0.0577194	-0.0572489	0.0390486	0.0156486
-0.00340059	1.81454	-0.0554867	-0.0581653	-0.0565998	0.0312248	0.0131029
-0.00372391	2.06789	-0.0548553	-0.0582038	-0.0571691	0.0351581	0.0121155
-0.00322371	2.2	-0.0547599	-0.0573872	-0.0571135	0.0283346	0.0119732
-0.00278965	2.6	-0.0550518	-0.057987	-0.0576	0.0282387	0.0159633
-0.00149743	2.9	-0.0559252	-0.0581673	-0.0570703	0.0379759	0.0159785
-0.00174839	3.3	-0.056482	-0.058327	-0.0569257	0.0382827	0.0166056
					0.0380075	0.0143701
					0.0345364	0.013737
