sub2e	tbasej22	rp610	rp1220	rp1112	jlap1_11	cur1_11
-4.48E-05	-4.46146	-0.0583343	-0.0583791	-0.0548107	0.0299553	0.0140967
-1.96E-05	-3.64522	-0.0580717	-0.0580912	-0.0545217	0.0492956	0.0126703
0.00076095	-2.59125	-0.0585956	-0.0578346	-0.0553094	0.0387085	0.0145923
0.0012806	-2.26375	-0.058847	-0.0575664	-0.0558716	0.0363066	0.0134464
0.00126846	-2.09663	-0.0588634	-0.0575949	-0.0557999	0.0348561	0.0163026
0.00114037	-1.84072	-0.0586519	-0.0575115	-0.0544813	0.0318419	0.0145781
0.00182687	-1.6435	-0.0586362	-0.0568093	-0.0537363	0.0272313	0.0147722
0.00254708	-1.48805	-0.0588989	-0.0563518	-0.0533804	0.0370056	0.0150833
0.00276533	-1.34423	-0.0586621	-0.0558968	-0.0530145	0.0432645	0.0134114
0.00279536	-1.2331	-0.0582832	-0.0554879	-0.0536265	0.0383155	0.013815
0.00390138	-1.12015	-0.058817	-0.0549156	-0.0540331	0.0462086	0.0137599
0.00406288	-1.00265	-0.0591792	-0.0551163	-0.0544627	0.0418377	0.0147608
0.00353531	-0.889129	-0.0589299	-0.0553945	-0.0541716	0.0402479	0.0136141
0.00411422	-0.800321	-0.0590559	-0.0549417	-0.0542943	0.0373695	0.0143127
0.00487787	-0.711812	-0.0589754	-0.0540975	-0.0542612	0.0404789	0.0134097
0.0053537	-0.605139	-0.0588139	-0.0534601	-0.0536775	0.0340931	0.0135678
0.00505467	-0.502519	-0.0586211	-0.0535665	-0.0536506	0.0363005	0.0147677
0.00509023	-0.41273	-0.0585439	-0.0534537	-0.0514273	0.0361522	0.0136011
0.00562424	-0.310453	-0.0588038	-0.0531796	-0.0548407	0.0463332	0.0160376
0.00573143	-0.21435	-0.0589873	-0.0532559	-0.0520932	0.0297234	0.0153246
0.00537154	-0.132026	-0.0590278	-0.0536562	-0.0296416	0.0362753	0.0141917
0.00515174	-0.0403016	-0.0589968	-0.0538451	-0.0100302	0.0349557	0.0151804
0.00602749	0.0710694	-0.0594197	-0.0533922	-0.0116862	0.0367236	0.0157475
0.00650639	0.15906	-0.0591959	-0.0526895	-0.0338186	0.032279	0.014634
0.00598006	0.240624	-0.0586084	-0.0526283	-0.0522182	0.0355265	0.0151976
0.00542989	0.323749	-0.0585404	-0.0531105	-0.0546644	0.0326598	0.0119766
0.00530249	0.401366	-0.0587652	-0.0534627	-0.0513311	0.0368307	0.0155833
0.00561982	0.47484	-0.0589533	-0.0533335	-0.0520008	0.0409903	0.0176447
0.00561306	0.553553	-0.0586725	-0.0530594	-0.0527074	0.0318669	0.0127048
0.00540014	0.64187	-0.0585405	-0.0531403	-0.0520023	0.0389055	0.0145337
0.00496366	0.723648	-0.0583551	-0.0533914	-0.0528623	0.0381929	0.015381
0.00495408	0.797016	-0.0583733	-0.0534192	-0.0535085	0.0383049	0.0127485
0.00501585	0.873518	-0.0584018	-0.0533859	-0.0531048	0.0441382	0.0137946
0.00449693	0.951881	-0.0580883	-0.0535914	-0.0530743	0.0281383	0.0132015
0.00366079	1.0202	-0.0575385	-0.0538777	-0.0533735	0.0304486	0.0137841
0.00298359	1.0851	-0.0569536	-0.05397	-0.0535136	0.0356583	0.0133474
0.00280045	1.15621	-0.0566323	-0.0538318	-0.0533131	0.0351237	0.0146009
0.0032026	1.23148	-0.0567942	-0.0535916	-0.052909	0.0400221	0.0132805
0.00369726	1.29935	-0.057159	-0.0534617	-0.0526959	0.038612	0.0165404
0.00327676	1.36304	-0.0570801	-0.0538033	-0.052894	0.0358	0.0146802
0.00219257	1.43058	-0.0565289	-0.0543363	-0.0532456	0.0369293	0.0130745
0.00157804	1.50625	-0.0561523	-0.0545743	-0.0534461	0.0292713	0.0166108
0.00196247	1.57651	-0.0563827	-0.0544202	-0.0536469	0.0532405	0.0137653
0.00242831	1.64295	-0.0566844	-0.054256	-0.0541447	0.0285663	0.0140441
0.00225804	1.71801	-0.05672	-0.054462	-0.0544023	0.0243959	0.0146308
0.00119992	1.79823	-0.0562232	-0.0550233	-0.05406	0.0385491	0.0150973
-5.66E-05	1.86529	-0.0554416	-0.0554982	-0.0539334	0.032225	0.0134973
-0.000303209	1.92595	-0.0553505	-0.0556537	-0.0546945	0.0291586	0.0156645
-0.000692181	1.99114	-0.0552872	-0.0559794	-0.0550117	0.0351478	0.0153751
-0.00207743	2.06641	-0.0543936	-0.056471	-0.0545132	0.0200803	0.0144867
-0.00278343	2.13959	-0.0538578	-0.0566412	-0.0539269	0.0278075	0.0147606
-0.00248777	2.21183	-0.0539913	-0.056479	-0.0540989	0.0304629	0.0152516
-0.0023061	2.29832	-0.053839	-0.0561452	-0.0541885	0.0388833	0.0152455
-0.00292746	2.39058	-0.053086	-0.0560135	-0.0535179	0.0333625	0.0146692
-0.00408849	2.46593	-0.0520855	-0.056174	-0.0531107	0.0370707	0.0155235
-0.00368918	2.53667	-0.0527548	-0.056444	-0.0536694	0.0271707	0.0121891
-0.00281988	2.61232	-0.0536595	-0.0564793	-0.0540292	0.036245	0.0129099
-0.00379272	2.68914	-0.0525511	-0.0563438	-0.0531373	0.0364798	0.0135582
-0.00414243	2.75969	-0.0522065	-0.056349	-0.0524169	0.0255914	0.0149473
-0.0037029	2.83249	-0.0523491	-0.056052	-0.0527321	0.0467463	0.0146296
-0.00383542	2.92461	-0.0515332	-0.0553686	-0.0525366	0.035496	0.0152706
-0.00341627	3.03453	-0.0515202	-0.0549365	-0.0523645	0.0323226	0.0139204
-0.00257733	3.1243	-0.0522285	-0.0548059	-0.0527009	0.0287986	0.014419
-0.00264723	3.20451	-0.0524235	-0.0550708	-0.0529934	0.0269099	0.0138926
-0.00285344	3.29217	-0.0526227	-0.0554762	-0.0523819	0.0388395	0.0161233
-0.00322171	3.39024	-0.051866	-0.0550877	-0.0514851	0.0414579	0.0143501
-0.00256987	3.47921	-0.0517814	-0.0543513	-0.0509149	0.0347663	0.0137537
-0.00227935	3.56903	-0.0528022	-0.0550816	-0.0515694	0.0291386	0.0120474
-0.00235758	3.67227	-0.0526161	-0.0549737	-0.0525344	0.0332056	0.0147453
-0.00255187	3.79389	-0.0519432	-0.0544951	-0.0518739	0.0427041	0.0159869
-0.00233192	3.88485	-0.0527013	-0.0550332	-0.0515141	0.0447169	0.0153496
-0.00138492	3.96884	-0.0530902	-0.0544751	-0.0520782	0.0275163	0.0160314
-0.00056015	4.06681	-0.0532313	-0.0537915	-0.0521905	0.0316823	0.0130216
8.01E-05	4.16674	-0.0537434	-0.0536632	-0.0530269	0.0232874	0.0141653
-0.000390019	4.25944	-0.0536555	-0.0540455	-0.0532162	0.037551	0.0142562
-0.00112964	4.36828	-0.0533206	-0.0544503	-0.0523105	0.037791	0.0139375
-0.00147704	4.48054	-0.0530604	-0.0545375	-0.0530128	0.0267708	0.0148493
-0.000307098	4.57274	-0.053375	-0.0536821	-0.0527962	0.0427675	0.0138295
0.000247326	4.66734	-0.0536604	-0.0534131	-0.0523489	0.0341706	0.0126992
0.000194684	4.78251	-0.0541281	-0.0539334	-0.0536359	0.0304746	0.0130506
0.000739131	4.9079	-0.0547151	-0.053976	-0.0547474	0.0317943	0.0164393
0.00101047	5.0256	-0.0551934	-0.054183	-0.0540741	0.0321759	0.0121857
0.000355702	5.16867	-0.0556136	-0.0552579	-0.0539759	0.0350533	0.0151383
3.90E-06	5.33583	-0.0557294	-0.0557255	-0.0544498	0.0435641	0.015936
-0.000126477	5.46547	-0.0555957	-0.0557221	-0.0558837	0.029501	0.0146303
0.0010372	5.62695	-0.0573426	-0.0563054	-0.0556391	0.035236	0.0164061
0.00133479	5.8082	-0.0578404	-0.0565056	-0.0559876	0.0390863	0.0154918
0.00147444	5.95628	-0.0582029	-0.0567285	-0.0563191	0.0343527	0.0136791
0.000212718	6.19962	-0.05771	-0.0574973	-0.0564275	0.0345675	0.0138475
-0.000328787	6.5119	-0.0578843	-0.0582131	-0.0557218	0.0377874	0.0127955
-5.05E-05	7.0399	-0.0580849	-0.0581354	-0.0565164	0.0360051	0.0133643
9.19E-05	10.0155	-0.0581947	-0.0581029	-0.0555195	0.0447029	0.0144928
-0.000201229	10.3183	-0.0582132	-0.0584144	-0.0559733	0.0335197	0.0141688
-5.97E-05	10.5478	-0.0577194	-0.0577791	-0.055474	0.0268625	0.0159013
0.000971071	10.6875	-0.0581653	-0.0571943	-0.0563552	0.0292032	0.0141268
0.00100753	10.8248	-0.0582038	-0.0571963	-0.0562387	0.0334728	0.0134204
-5.73E-05	11.0194	-0.0573872	-0.0574446	-0.0559864	0.047412	0.0128991
0.000197973	11.1	-0.057987	-0.057789	-0.0572803	0.0288274	0.0138234
0.000471301	11.2	-0.0581673	-0.057696	-0.0591917	0.0247592	0.0131217
0.000586402	11.3	-0.058327	-0.0577406	-0.0584242	0.041971	0.0125635
					0.0319658	0.0134216
					0.0388438	0.0131613
					0.0340618	0.0136709
					0.028478	0.0121684
					0.0310785	0.0142463
					0.0301526	0.0140959
					0.031867	0.0123699
					0.02917	0.0128324
					0.0416315	0.0154942
					0.0409761	0.0134756
					0.0249282	0.0170024
					0.0329871	0.0113432
					0.0324233	0.012463
					0.0340195	0.013513
					0.0332652	0.0127165
					0.0436413	0.0147582
					0.0368716	0.0134579
					0.0282312	0.0138787
					0.0216167	0.0129167
					0.0424827	0.0138964
					0.0291802	0.0157822
					0.0241588	0.0148357
					0.0317954	0.0154495
					0.0497421	0.0135283
					0.0211147	0.015514
					0.0286639	0.0178072
					0.036875	0.0123464
					0.0160175	0.0132996
					0.0415596	0.0136936
					0.0386095	0.0149848
					0.0281932	0.0140323
					0.0369198	0.0132249
					0.0216896	0.0152991
					0.0306888	0.0111402
					0.0240405	0.0147121
					0.0325198	0.0135391
					0.0297453	0.0140855
					0.0367093	0.0142953
					0.0323839	0.0146072
					0.0265089	0.0147829
					0.0490497	0.0161127
					0.0243757	0.0151423
					0.033871	0.0162238
					0.0306453	0.015306
					0.0249666	0.0148126
					0.0369317	0.0142032
					0.036766	0.0147229
					0.0262627	0.0131074
					0.030886	0.0138823
					0.0333278	0.0158762
					0.0231834	0.0144144
					0.0266457	0.0145167
					0.0423638	0.0177212
					0.0237642	0.0169633
					0.0242788	0.0161662
					0.0320386	0.0164495
					0.0359624	0.0140625
					0.0272048	0.0160159
					0.0204112	0.0138897
					0.0392602	0.0123262
					0.0326848	0.0140707
					0.0304821	0.0154546
					0.0232414	0.0151922
					0.0276603	0.013018
					0.0243699	0.0135398
					0.0377804	0.0151746
					0.0430894	0.0163414
					0.0290195	0.0138949
					0.0412518	0.0130277
					0.0323921	0.0157729
					0.0249022	0.0146652
					0.0332929	0.0163143
					0.0324723	0.0138143
					0.0309993	0.0120725
					0.0415667	0.0147759
					0.031165	0.0135689
					0.0339327	0.0145249
					0.0397706	0.0137832
					0.0352622	0.0154438
					0.0296416	0.015386
					0.0231766	0.0154462
					0.0366875	0.0118525
					0.0345525	0.0141761
					0.0341107	0.0150333
					0.0395152	0.0144877
					0.0354133	0.0150812
					0.0191411	0.0148449
					0.034025	0.0125625
					0.0318749	0.0148402
					0.0372756	0.0141755
					0.0407666	0.0131318
					0.0327098	0.0124456
					0.0233027	0.0148237
					0.0269809	0.0141837
					0.032153	0.015916
					0.0266956	0.0123196
					0.0342712	0.013968
					0.0290169	0.016128
					0.0395319	0.0142282
					0.0354497	0.0114943
					0.0310769	0.0115892
					0.0246657	0.0147104
					0.0321509	0.0128686
					0.0281845	0.0147932
					0.0376699	0.0157087
					0.0308207	0.0160345
					0.0296644	0.0119706
					0.0317961	0.0141574
					0.0370876	0.0145767
					0.0216004	0.0123848
					0.0388965	0.014074
					0.0187026	0.0132968
					0.0312167	0.0132159
					0.0441469	0.0138115
					0.0321354	0.014482
					0.0287252	0.0143114
					0.0257196	0.0156701
					0.0320836	0.0143028
					0.0272609	0.013601
					0.0346838	0.0127466
					0.0367297	0.0134934
					0.0353827	0.0159839
					0.0399574	0.0148157
					0.0355372	0.0123149
					0.038689	0.0149777
					0.0331419	0.0129083
					0.0321629	0.0142657
					0.035948	0.0135882
					0.0429756	0.0144062
					0.0297249	0.0161849
					0.035932	0.0112328
					0.0243241	0.0139475
					0.0405691	0.0132915
					0.0264561	0.0124029
					0.0354636	0.0154467
					0.0232213	0.0154674
					0.0343233	0.0132691
					0.0210867	0.0156479
					0.0315192	0.01406
					0.0352231	0.0132586
					0.0309151	0.0139097
					0.0409725	0.0162889
					0.05035	0.0149995
					0.0376338	0.0155368
					0.0397598	0.0143944
					0.0330383	0.0158989
					0.0295979	0.0156801
					0.0327895	0.0135807
					0.0421508	0.015077
					0.0386023	0.0159897
					0.0347743	0.0126902
					0.0337134	0.0146322
					0.035349	0.015136
					0.0337458	0.0151093
					0.0323228	0.0137139
					0.0407217	0.0128334
					0.0335801	0.0151507
					0.0371038	0.014703
					0.0282474	0.0146692
					0.0378848	0.0156348
					0.0370393	0.0153352
					0.0384042	0.0157613
					0.0250608	0.013162
					0.031536	0.0155561
					0.0272107	0.0120949
					0.0247619	0.0137104
					0.0316813	0.0138988
					0.0266924	0.0133878
					0.0311099	0.0133998
					0.0297726	0.0155358
					0.030451	0.0155762
					0.0183315	0.0148243
					0.0359143	0.0129367
					0.0366633	0.0135366
					0.0407256	0.0137411
					0.0374933	0.014836
					0.0211629	0.0153004
					0.0379336	0.0141717
					0.0360795	0.0134533
					0.0343735	0.0118161
					0.0296419	0.0159023
					0.0323463	0.0141868
					0.0416108	0.0154065
					0.0494938	0.0141598
					0.0291077	0.0141465
					0.0407864	0.0139435
					0.0374253	0.0135055
					0.0367117	0.0139992
					0.033346	0.0157792
					0.0260727	0.0148898
					0.0483328	0.0147417
					0.0281698	0.0124055
					0.0466491	0.0120353
					0.0299624	0.0136988
					0.0352614	0.0129627
					0.0394458	0.0134934
					0.026838	0.0130778
					0.0213536	0.0170307
					0.0336763	0.011899
					0.0359175	0.0136616
					0.0296841	0.0131317
					0.0268832	0.0113974
					0.0279886	0.0133415
					0.0376289	0.0151806
					0.0356809	0.0132064
					0.0278366	0.0155261
					0.0285607	0.0150349
					0.0351714	0.0148044
					0.0349789	0.0142725
					0.0343619	0.0154978
					0.0328088	0.0148976
					0.0211142	0.013334
					0.0351935	0.0136048
					0.0368196	0.0141518
					0.0451703	0.0134329
					0.037553	0.0137094
					0.022019	0.01373
					0.0260832	0.0142852
					0.0422368	0.0148685
					0.0359857	0.0183615
					0.0354487	0.0140911
					0.0251453	0.0149541
					0.0440231	0.0143656
					0.0406645	0.0152024
					0.0295292	0.0146061
					0.0386036	0.0161327
					0.0336016	0.0152185
					0.0253521	0.0133597
					0.0361679	0.0148004
					0.0287061	0.0145293
					0.0386128	0.0134188
					0.0245465	0.0157928
					0.0376543	0.0134781
					0.0419686	0.0139082
					0.0398462	0.0170363
					0.0340402	0.0132332
					0.0297227	0.0140425
					0.0255429	0.0136221
					0.0499908	0.0149421
					0.0434153	0.0139304
					0.0350784	0.0159147
					0.0415949	0.0146709
					0.050887	0.0127804
					0.0423948	0.013502
					0.0451249	0.0146007
					0.0385616	0.0134681
					0.0422237	0.0140567
					0.0386489	0.0131067
					0.052197	0.0120334
					0.0354265	0.0133199
					0.037743	0.0140074
					0.0407561	0.0164079
					0.0511253	0.0153351
					0.0527081	0.0161331
					0.0428241	0.0140447
					0.0489487	0.0141953
					0.0408612	0.0137685
					0.049424	0.016357
					0.0474561	0.0155749
					0.0622827	0.0119095
					0.0632751	0.0132997
					0.0630223	0.011765
					0.066694	0.0124589
					0.0601855	0.0136344
					0.0614316	0.0139749
					0.0704476	0.0128018
					0.0719129	0.0143752
					0.0595182	0.0155561
					0.0627644	0.0137861
					0.0596235	0.0159996
					0.0618	0.0144906
					0.0598096	0.0128634
