sub2	tbasej2	lap1_32	lap1_33	cur1_32	cur1_33	rp2431	rp3445
-0.00103014	-1.48139	0.117246	0.119049	0.0145175	0.0149048	-0.053939	-0.0544338
0.000861079	-1.26506	0.117246	0.119049	0.0150659	0.0156495	-0.0548646	-0.0558947
0.00470495	-0.901938	0.117244	0.119048	0.0141704	0.017702	-0.055265	-0.0544039
0.00769901	-0.73793	0.117242	0.119046	0.0146462	0.0173079	-0.057705	-0.053
0.00913292	-0.592128	0.117241	0.119045	0.0132037	0.0166988	-0.0581487	-0.0504497
0.0103322	-0.504276	0.117243	0.119041	0.016259	0.0173648	-0.0581881	-0.0490552
0.0108566	-0.429984	0.117245	0.119038	0.0149413	0.0189329	-0.0580414	-0.0477093
0.0104287	-0.353024	0.117248	0.119034	0.0158354	0.018933	-0.0578472	-0.0469906
0.0102221	-0.279832	0.117251	0.119029	0.0133923	0.0175263	-0.0578316	-0.0474028
0.0108394	-0.218877	0.117253	0.119025	0.0151557	0.0181308	-0.0580152	-0.0477931
0.0115085	-0.164179	0.117257	0.119019	0.0136856	0.0194432	-0.0583052	-0.0474658
0.0114106	-0.110766	0.117259	0.119012	0.0165402	0.015353	-0.0585288	-0.0470204
0.0106503	-0.0566299	0.117262	0.119005	0.0149282	0.0188613	-0.0585445	-0.0471339
0.00995792	-0.00148534	0.117265	0.118998	0.0128177	0.0200566	-0.0583691	-0.0477187
0.00963633	0.0531744	0.117268	0.118988	0.0122764	0.019622	-0.0581621	-0.0482042
0.00928342	0.106079	0.117272	0.11898	0.0169167	0.0172808	-0.0580967	-0.0484604
0.00910197	0.159008	0.117274	0.118972	0.0151897	0.0200026	-0.058219	-0.0489356
0.00934904	0.215748	0.117276	0.118963	0.0139703	0.0176485	-0.058417	-0.0493151
0.00966257	0.276405	0.117277	0.118952	0.0163613	0.0179383	-0.0585477	-0.0491986
0.00924778	0.33533	0.117278	0.118941	0.0167241	0.0179712	-0.0585452	-0.0488826
0.00818568	0.390604	0.117279	0.118931	0.0166116	0.0179127	-0.0584348	-0.049187
0.00727274	0.443433	0.11728	0.118923	0.0153029	0.0207793	-0.0582893	-0.0501037
0.00689404	0.494667	0.117282	0.118914	0.0135837	0.0165987	-0.0581713	-0.0508985
0.00691818	0.543734	0.117283	0.118906	0.0162195	0.0183976	-0.0581127	-0.0512187
0.0069597	0.590271	0.117284	0.118898	0.0135044	0.0173604	-0.0581167	-0.0511985
0.00675731	0.635086	0.117283	0.118892	0.0160346	0.018564	-0.0581704	-0.0512107
0.00634143	0.67922	0.117283	0.118887	0.0164586	0.0187097	-0.0582326	-0.0514753
0.0060542	0.723708	0.117286	0.118882	0.0127713	0.017723	-0.0582416	-0.0519002
0.0061719	0.769094	0.117287	0.118875	0.0144355	0.0176219	-0.0581673	-0.0521131
0.00650816	0.815229	0.117287	0.118868	0.0168994	0.0193785	-0.0580329	-0.051861
0.00663835	0.861664	0.117288	0.118863	0.0162749	0.0196052	-0.0578937	-0.0513855
0.00627463	0.908091	0.117288	0.118857	0.0151713	0.0174482	-0.0577879	-0.0511496
0.00546211	0.954448	0.117291	0.11885	0.0110206	0.0185072	-0.0577122	-0.0514375
0.00454947	1.00008	0.117294	0.118843	0.0152703	0.0172306	-0.0576491	-0.052187
0.00391854	1.04402	0.117294	0.118837	0.0123389	0.0156313	-0.057609	-0.0530595
0.00370963	1.08646	0.117293	0.118832	0.0141912	0.0164243	-0.0576215	-0.053703
0.00377692	1.12803	0.117295	0.118826	0.0141783	0.016848	-0.0576822	-0.0539726
0.00391232	1.16909	0.117298	0.11882	0.0139343	0.016515	-0.0577378	-0.0539608
0.00402239	1.20979	0.117298	0.118815	0.01254	0.0173647	-0.0577892	-0.0538769
0.00407969	1.25031	0.117297	0.118806	0.0165074	0.0171626	-0.0578698	-0.0538474
0.00407629	1.29072	0.117297	0.118797	0.014269	0.0184902	-0.0579838	-0.0539041
0.00391586	1.33118	0.117297	0.118789	0.014936	0.0159561	-0.0581396	-0.0540633
0.00344515	1.37244	0.117296	0.118781	0.0122573	0.0171482	-0.058292	-0.0543761
0.00273953	1.41483	0.117294	0.118771	0.0163562	0.01799	-0.0582958	-0.0548507
0.00202011	1.45803	0.117294	0.118761	0.0139706	0.0192343	-0.0580162	-0.0552767
0.00143029	1.5021	0.117297	0.11875	0.0132914	0.0169669	-0.0574578	-0.0554377
0.00103427	1.54874	0.117297	0.118741	0.0160438	0.0178039	-0.056785	-0.0553547
0.000835862	1.60175	0.1173	0.118734	0.0134666	0.0209056	-0.0562519	-0.0552176
0.000725672	1.66588	0.117303	0.118727	0.0161651	0.0190173	-0.0560753	-0.0552395
0.000533041	1.74177	0.117307	0.118719	0.0146175	0.0161803	-0.0562257	-0.0555001
9.98E-05	1.8263	0.117311	0.118711	0.0135901	0.0171296	-0.0563776	-0.0558446
-0.000614148	1.91643	0.117316	0.118702	0.0160317	0.0193059	-0.0561403	-0.0560404
-0.0013847	2.01497	0.11732	0.118695	0.0139785	0.0172885	-0.0553637	-0.0559778
-0.00185537	2.1096	0.117323	0.118689	0.016164	0.0171314	-0.0543006	-0.0556852
-0.0017665	2.19448	0.117324	0.118683	0.0119964	0.019272	-0.0534299	-0.0552853
-0.00112971	2.28531	0.117324	0.118677	0.0138283	0.0190271	-0.0531566	-0.0549231
-0.00031117	2.37861	0.117323	0.118669	0.0134684	0.0201826	-0.0535661	-0.0546959
0.000147168	2.4651	0.117322	0.118657	0.0161857	0.019137	-0.0543443	-0.0546555
-0.000189688	2.5434	0.117319	0.118645	0.01466	0.017766	-0.0549438	-0.0547966
-0.00136692	2.61411	0.117315	0.118634	0.015237	0.0180225	-0.0548788	-0.0550685
-0.00302574	2.68011	0.11731	0.118624	0.0142762	0.0172417	-0.0540171	-0.055384
-0.00459382	2.74486	0.117307	0.118614	0.0167215	0.0165285	-0.052617	-0.0556427
-0.00541238	2.81075	0.117304	0.118603	0.0138223	0.0165972	-0.0511583	-0.0557521
-0.00513091	2.87496	0.1173	0.118592	0.0173799	0.0173595	-0.05022	-0.0556324
-0.00396027	2.93636	0.117298	0.118582	0.0143542	0.016987	-0.0501836	-0.0553145
