sub3	tbasej3	rp3444	rp6275b	lap2_61	lap2_62	cur2_61	cur2_62
-0.000679584	-4.05606	-0.0560574	-0.0567288	0.122509	0.123427	0.00406399	0.00672377
-0.00309193	-3.94611	-0.0571903	-0.0565648	0.12251	0.123427	0.00404453	0.0071453
-0.00467997	-3.86497	-0.0560978	-0.0567774	0.122512	0.12343	0.00494146	0.00480879
-0.00522227	-3.79595	-0.0539638	-0.0570557	0.122514	0.123435	0.00472166	0.00327552
-0.00510889	-3.73772	-0.0517216	-0.0564016	0.122515	0.123442	0.00348106	0.00497555
-0.00446795	-3.684	-0.0504617	-0.0556839	0.122514	0.123451	0.00361637	0.00370109
-0.00292421	-3.63305	-0.0492483	-0.0543572	0.122513	0.123461	0.00621995	0.00536198
-0.00241321	-3.58609	-0.0483505	-0.0528184	0.122511	0.123473	0.00590003	0.00584639
-0.00312453	-3.54355	-0.0485611	-0.0514853	0.122509	0.123488	0.00519772	0.00511667
-0.00382012	-3.50371	-0.0489648	-0.051378	0.12251	0.123503	0.00215805	0.00423216
-0.00380468	-3.46509	-0.0487973	-0.0519219	0.122513	0.123521	0.00354438	0.0071445
-0.00344853	-3.42709	-0.0485192	-0.0523393	0.122517	0.123542	0.00489708	0.00589314
-0.00343384	-3.38973	-0.0486482	-0.0524529	0.122523	0.123569	0.00445144	0.00594076
-0.00378093	-3.35294	-0.0490799	-0.0525284	0.122529	0.123597	0.00329061	0.00309333
-0.0038591	-3.31643	-0.0494192	-0.052853	0.122538	0.123628	0.00387694	0.00397303
-0.00383996	-3.28039	-0.04964	-0.0534209	0.122548	0.123663	0.00366153	0.00468736
-0.00410207	-3.24481	-0.0501626	-0.0540217	0.12256	0.123702	0.00502959	0.0063539
-0.00450737	-3.20975	-0.050593	-0.054433	0.122573	0.123746	0.00517097	0.00427049
-0.0044327	-3.17466	-0.0505212	-0.0546232	0.122588	0.123794	0.00693023	0.00538633
-0.00399596	-3.13965	-0.0502337	-0.0547411	0.122604	0.123844	0.00536219	0.00419658
-0.00383294	-3.10496	-0.0505308	-0.0549635	0.122622	0.123898	0.00404969	0.00302483
-0.00406644	-3.071	-0.0513901	-0.0553861	0.122641	0.123956	0.00552138	0.00483131
-0.00439683	-3.03738	-0.0521108	-0.0559437	0.12266	0.124019	0.00294102	0.00485287
-0.00446091	-3.00356	-0.0523851	-0.0564516	0.122683	0.124085	0.00699529	0.00582482
-0.00416115	-2.9694	-0.0523698	-0.0567666	0.122711	0.124154	0.00490706	0.00291275
-0.00369539	-2.93553	-0.0524177	-0.0568786	0.122742	0.124228	0.00329303	0.00399959
-0.00348023	-2.90253	-0.0527085	-0.0568696	0.122778	0.124306	0.0045063	0.00558106
-0.00372727	-2.8703	-0.0531467	-0.0568421	0.122819	0.124391	0.00356914	0.00611937
-0.00413927	-2.83833	-0.0533747	-0.0568549	0.122863	0.124482	0.00451309	0.00338041
-0.00426805	-2.80642	-0.053166	-0.0568932	0.12291	0.12458	0.00407348	0.00403371
-0.00392302	-2.7746	-0.0527539	-0.0568932	0.122959	0.124681	0.00546293	0.00644494
-0.00325357	-2.74288	-0.0525577	-0.0568257	0.123014	0.124789	0.00312493	0.0029911
-0.00258687	-2.71076	-0.0528355	-0.0567585	0.123071	0.124902	0.0041553	0.00581672
-0.00218337	-2.67763	-0.0535254	-0.056779	0.123134	0.125019	0.00534624	0.00178309
-0.00211213	-2.64337	-0.0543168	-0.0569037	0.1232	0.12514	0.00592645	0.00237744
-0.00223058	-2.60865	-0.0548909	-0.0570743	0.123272	0.125268	0.00382463	0.00333513
-0.00230125	-2.57418	-0.0551039	-0.057216	0.123349	0.125403	0.00626261	0.00682538
-0.00223062	-2.53983	-0.0550549	-0.0572855	0.123432	0.125543	0.00468021	0.00381228
-0.00205877	-2.5051	-0.0549891	-0.0572903	0.12352	0.125692	0.0042654	0.00599058
-0.00183655	-2.46982	-0.0550582	-0.0572888	0.123614	0.125846	0.00452883	0.00454086
-0.00159175	-2.43436	-0.0552565	-0.0573153	0.123712	0.126004	0.00413444	0.00394032
-0.00133956	-2.39894	-0.0555147	-0.0573513	0.123817	0.126168	0.00379651	0.00581202
-0.00118382	-2.3632	-0.0558154	-0.0574071	0.123924	0.126337	0.00448283	0.00569177
-0.00119761	-2.32677	-0.0561666	-0.0575062	0.124039	0.126512	0.00486556	0.00444815
-0.00127922	-2.2898	-0.0564255	-0.0576093	0.124159	0.126694	0.0051413	0.00602598
-0.00129597	-2.25283	-0.0564743	-0.057672	0.124284	0.126882	0.00438077	0.00743454
-0.00116331	-2.21566	-0.0563985	-0.0576777	0.124412	0.127078	0.00483454	0.00349148
-0.000871913	-2.17764	-0.0563698	-0.0576658	0.124546	0.12728	0.00506541	0.00557314
-0.000463221	-2.13811	-0.0565016	-0.0576649	0.124685	0.12749	0.00535431	0.00481573
3.23E-05	-2.09759	-0.0567786	-0.0576506	0.124831	0.127706	0.00604911	0.00278965
0.000547864	-2.0569	-0.0570656	-0.0575288	0.124983	0.12793	0.00523668	0.00531254
0.000899739	-2.01626	-0.0572195	-0.0571872	0.125143	0.128163	0.00527119	0.00516656
0.00094798	-1.975	-0.0571821	-0.0566342	0.12531	0.128404	0.00776563	0.00649518
0.00075068	-1.93287	-0.0569596	-0.0560599	0.125489	0.128652	0.00458844	0.00535941
0.000565213	-1.89096	-0.0566102	-0.0556623	0.125674	0.128908	0.00338799	0.00199455
0.00073251	-1.85035	-0.0562284	-0.0554778	0.125869	0.129172	0.00328823	0.00479386
0.00134137	-1.81099	-0.0559187	-0.0553535	0.126072	0.129445	0.00551652	0.00412358
0.00214254	-1.77166	-0.0557969	-0.0550644	0.126285	0.129726	0.00549276	0.00340712
0.00279893	-1.73142	-0.0559175	-0.0545761	0.126507	0.130017	0.00453439	0.00403129
0.00309207	-1.68981	-0.0562313	-0.0540888	0.126739	0.130316	0.00451542	0.00328755
0.0030741	-1.64691	-0.0566033	-0.0538044	0.126978	0.13062	0.00488122	0.00687444
0.00301851	-1.60233	-0.0568888	-0.0537968	0.127228	0.130934	0.00343145	0.00577328
0.00326027	-1.5552	-0.0569876	-0.0539135	0.127487	0.131256	0.00398796	0.00246847
0.00381092	-1.50588	-0.0568336	-0.0538151	0.127755	0.131587	0.00452272	0.00478298
0.00416566	-1.45655	-0.0564743	-0.0532141	0.128033	0.131928	0.00354737	0.004668
0.00381355	-1.40802	-0.0560412	-0.0522303	0.128319	0.132275	0.00444473	0.00467288
0.00298264	-1.3585	-0.055601	-0.0514353	0.128614	0.132632	0.00522574	0.0052463
0.00246504	-1.30682	-0.0552034	-0.0513899	0.128918	0.132997	0.00534101	0.00405827
0.00283582	-1.25465	-0.0549455	-0.0519628	0.129231	0.133372	0.00730156	0.00641584
0.00392123	-1.20297	-0.0549942	-0.0525292	0.129554	0.133756	0.00349032	0.00623085
0.00481794	-1.15032	-0.0554335	-0.0525977	0.129886	0.134152	0.00489298	0.00674905
0.00492873	-1.09516	-0.0560453	-0.0521241	0.130229	0.134557	0.00439104	0.00397186
0.00439547	-1.03821	-0.0563695	-0.0515516	0.130581	0.13497	0.00385788	0.00563876
0.00406464	-0.981849	-0.056181	-0.0512523	0.130945	0.135394	0.00502646	0.00337108
0.00474791	-0.927078	-0.0558041	-0.0514086	0.13132	0.135826	0.00705859	0.00639132
0.00580209	-0.869993	-0.0556761	-0.0516114	0.131705	0.136266	0.0051314	0.00622765
0.00692357	-0.804506	-0.0558612	-0.0511133	0.132098	0.136714	0.00542056	0.00565636
