sub2	tbasej2	rp2837	rp4150b	cur2_38	cur2_39	lap2_38	lap2_39
0.00130381	-0.695622	-0.0590911	-0.0593747	0.0133211	0.0170739	0.109537	0.109546
0.00330381	-0.602178	-0.0597215	-0.0596119	0.0135871	0.0172103	0.109536	0.109546
0.00596967	-0.532056	-0.058843	-0.0589144	0.0157981	0.0162183	0.109535	0.109545
0.0072629	-0.468892	-0.0589878	-0.055684	0.0134328	0.0203001	0.109536	0.109544
0.00755789	-0.409245	-0.0581606	-0.0521909	0.0151209	0.0174937	0.109538	0.109544
0.0075488	-0.35588	-0.0579307	-0.0506678	0.014358	0.0183784	0.10954	0.109545
0.00792575	-0.308213	-0.0579393	-0.0503814	0.0151186	0.0167769	0.109542	0.109547
0.00819894	-0.263449	-0.0579631	-0.0504143	0.0162522	0.0168067	0.109544	0.109547
0.0079759	-0.219779	-0.058188	-0.0502622	0.0125058	0.0152854	0.109543	0.109547
0.00736673	-0.176733	-0.058436	-0.050237	0.0129493	0.0187505	0.109543	0.109548
0.00675145	-0.134298	-0.0584776	-0.0505017	0.015127	0.0165162	0.109542	0.109551
0.00661434	-0.0922897	-0.0583329	-0.0509662	0.0160983	0.0180767	0.109542	0.109556
0.00690476	-0.0502529	-0.0581799	-0.0514284	0.0127395	0.0183762	0.109541	0.10956
0.00720107	-0.00738988	-0.0582522	-0.0516379	0.0154706	0.0188314	0.109541	0.109566
0.00713684	0.0369149	-0.0585138	-0.051609	0.0135523	0.0179657	0.109542	0.109571
0.0064627	0.083841	-0.0587345	-0.0515334	0.0176232	0.0188033	0.109542	0.109578
0.00528136	0.136979	-0.0587579	-0.0516211	0.0153889	0.0153559	0.109542	0.109587
0.00416556	0.199523	-0.0585287	-0.052066	0.0150716	0.0168879	0.109543	0.109599
0.0037726	0.265625	-0.058143	-0.0528616	0.0148383	0.0180853	0.109543	0.109612
0.00431183	0.332509	-0.0577888	-0.0536233	0.0145156	0.0197692	0.109544	0.109626
0.00526823	0.402408	-0.0576334	-0.0538608	0.0132761	0.0184127	0.109545	0.109643
0.00597576	0.47493	-0.0577131	-0.0534013	0.0139799	0.0186873	0.109545	0.109663
0.00609358	0.544197	-0.0579151	-0.0526469	0.0167752	0.0181554	0.109545	0.109685
0.00548279	0.609191	-0.0580816	-0.0521058	0.0140057	0.0176756	0.109546	0.109711
0.00423651	0.672729	-0.0581329	-0.0520393	0.0160567	0.0158446	0.109548	0.109737
0.00328382	0.735706	-0.0580431	-0.0525603	0.0161292	0.0170004	0.109551	0.109767
0.00302016	0.799775	-0.0577417	-0.0535052	0.0145526	0.0181176	0.109553	0.109799
0.00292999	0.862686	-0.0577127	-0.0544289	0.0143721	0.0199479	0.109554	0.109835
0.0027616	0.92491	-0.0580342	-0.055014	0.0152926	0.0181957	0.109554	0.109873
0.00250512	0.984853	-0.0581955	-0.0552655	0.0160863	0.018061	0.109554	0.109914
0.00231503	1.04101	-0.0580853	-0.0553237	0.014999	0.0185953	0.109553	0.109959
0.00214104	1.09409	-0.0577968	-0.0552917	0.0148097	0.0166843	0.109553	0.11001
0.00192419	1.14338	-0.0575698	-0.0552548	0.0134393	0.0184574	0.109553	0.110066
0.00185609	1.18917	-0.0574627	-0.0553217	0.0137485	0.0186033	0.109553	0.110126
0.00179831	1.23295	-0.0574302	-0.055506	0.013322	0.0179237	0.109553	0.110191
0.00162084	1.27505	-0.0574788	-0.0556227	0.0162354	0.0182927	0.109552	0.110258
0.00136524	1.31526	-0.0574285	-0.0556302	0.0143265	0.0173418	0.109551	0.11033
0.00120248	1.35394	-0.0572625	-0.0556417	0.0153669	0.0189759	0.109548	0.110404
0.00120102	1.39186	-0.0570471	-0.0556819	0.015016	0.0145546	0.109544	0.110485
0.00121906	1.42942	-0.0568495	-0.055647	0.0138021	0.0178667	0.109539	0.110571
0.00112088	1.46664	-0.0567087	-0.0555077	0.0153302	0.0172632	0.109534	0.11066
0.000931088	1.50357	-0.056613	-0.055394	0.0143619	0.0188986	0.109531	0.110753
0.000669588	1.54039	-0.0565228	-0.0554019	0.0152953	0.0194069	0.109527	0.110851
0.000484258	1.57742	-0.0564034	-0.0554723	0.0127001	0.0193335	0.109522	0.110952
0.00053108	1.61493	-0.0562373	-0.0555677	0.0134059	0.0171845	0.109517	0.111058
0.000825191	1.65293	-0.0560538	-0.0555696	0.0143875	0.0185279	0.109512	0.111168
