t,initial_ramp,delta_ramp
-2.885,0.0,0.45679276234061206
-2.583,0.0,0.6498622621771588
-2.512,0.0,0.8873110362863414
-2.447,0.0,1.1497931546256694
-2.386,0.0,1.4049715462569168
-2.328,0.0,1.6448338542006766
-2.275,0.0,1.8815812880025788
-2.218,0.0,2.0713855704478163
-2.164,0.0,2.265319633867229
-2.115,0.0,2.4300733115396724
-2.068,0.0,2.556965171624668
-2.021,0.0,2.7024124419744524
-1.975,0.0,2.9211913239620273
-1.932,0.0,3.1727921412225726
-1.891,0.0,3.4104350310558402
-1.852,0.0,3.628554154952539
-1.814,0.0,3.829860137299704
-1.776,0.0,4.014814501471001
-1.739,0.0,4.1950553318077155
-1.7,0.0,4.3901986793068914
-1.66,0.0,4.609768407976389
-1.617,0.0,4.844720581889433
-1.575,0.0,5.081097110166638
-1.531,0.0,5.314083772474582
-1.489,0.0,5.542986976135907
-1.443,0.0,5.756012115070192
-1.4,0.0,5.929884916639331
-1.358,0.0,6.049853762667439
-1.317,0.0,6.130118587773687
-1.277,0.0,6.212676809414745
-1.24,0.0,6.338330029421286
-1.204,0.0,6.516281157240826
-1.167,0.0,6.72074608041833
-1.132,0.0,6.915386714612509
-1.096,0.0,7.080518228179031
-1.06,0.0,7.222100706112997
-1.025,0.0,7.361787924158122
-0.987,0.0,7.522970042497441
-0.948,0.0,7.718512376593544
-0.909,0.0,7.937806590388895
-0.87,0.0,8.148217835893966
-0.828,0.0,8.320156018306513
-0.784,0.0,8.455487204968819
-0.739,0.0,8.578631173586011
-0.696,0.0,8.6918650408629
-0.652,0.0,8.75278027459941
-0.608,0.0,8.722119208891662
-0.567,0.0,8.650642844066567
-0.528,0.0,8.65487975155267
-0.49,0.0,8.768657522065908
-0.452,0.0,8.909872788492848
-0.412,0.0,9.028863537103497
-0.374,0.0,9.158301294540564
-0.336,0.0,9.306288283752728
-0.295,0.0,9.445374128800125
-0.251,0.0,9.584227446877932
-0.208,0.0,9.743208617195023
-0.165,0.0,9.89360567505706
-0.12,0.0,10.013252324288835
-0.07,0.0,10.1289539261195
-0.015,0.0,10.22113068322966
0.04,0.0,10.251111526642546
0.091,0.0,10.236655626021417
0.144,0.0,10.181663962078964
0.2,0.0,10.071733396534668
0.256,0.0,9.921620941484
0.312,0.0,9.752077528603976
0.38,0.0,9.583181745668384
0.449,0.0,9.393392893102188
0.518,0.0,9.110170794377112
0.582,0.0,8.738288447204837
0.649,0.0,8.370446799607592
0.72,0.0,8.030141340307168
0.786,0.0,7.654646766917182
0.858,0.0,7.241349055246708
0.938,0.0,6.83262179143501
1.007,0.0,6.411109401765188
1.069,0.0,5.941609597907714
1.135,0.0,5.4594826283098215
1.203,0.0,5.0173851127818665
1.271,0.0,4.566162752533437
1.342,0.0,4.057344903563184
1.415,0.0,3.537731238966927
1.484,0.0,3.0403196011767974
1.548,0.0,2.591441732592301
1.611,0.0,2.201034573389954
1.67,0.0,1.8577308139914663
1.734,0.0,1.4603647793396277
1.812,0.0,1.056565400457643
1.907,0.0,0.7005431382804659
2.02,0.0,0.4049198953906341
2.113,0.0,0.1467273161163618
2.212,0.0,-0.05814064727035628
2.383,0.0,-0.1890168159529395
2.505,0.0,-0.24066111147435265
2.589,0.0,-0.22841743707094508
2.681,0.0,-0.16535967309579291
2.78,0.0,-0.051055652173928934
2.877,0.0,0.10304336711342188
2.985,0.0,0.2779607584177697
-3.193,9.713786420398677,-4.793703890160117
-3.144,9.306301000326776,-4.28484798953901
-3.095,8.856321104936129,-3.7703508009152884
-3.045,8.379505478914567,-3.2501133703824507
-2.99,7.835527741091745,-2.7381143184046692
-2.932,7.245151572409185,-2.18017139588099
-2.87,6.620532121608271,-1.5766286368093958
-2.809,5.991933658058102,-1.0314506701536317
-2.746,5.3622193396534,-0.5133602811376221
-2.677,4.751728166067267,0.038828767571104095
-2.604,4.1939726250408,0.5622339326577332
-2.536,3.6365366655769265,1.1786803530565422
-2.467,3.065934867603744,1.7750697940503102
-2.399,2.509669061784848,2.409112389669801
-2.329,2.009364485125815,2.9855171624713677
-2.25,1.5633995946387387,3.5620855181431423
-2.172,1.2173247008826138,3.980081431840418
-2.101,0.8957077345537385,4.524799999999956
-2.038,0.5840134880679742,5.0604834259561216
-1.972,0.2387077672441862,5.604691663942383
-1.897,-0.08770870872835701,6.067692448512517
-1.821,-0.3432552925792862,6.574101732592268
-1.752,-0.4967762144491772,7.065415560640652
-1.675,-0.5720072049689549,7.4888537103627755
-1.571,-0.6292542137953703,7.93456632886555
-1.439,-0.6164253481530011,8.450612356979299
-1.313,-0.5290882772147825,8.874412356979299
-0.431,-0.356295403726719,9.137831873161048
-0.31,-0.15088654462244477,9.389280581889388
-0.146,0.0530061981039438,9.68734491663929
-0.038,0.27395428571426805,9.925322458319584
0.042,0.5019289833278577,10.110516541353263
0.104,0.7281068192219493,10.221394965674925
0.156,0.9162797188623415,10.351593331153843
0.207,1.0816842955213843,10.348316279829874
0.256,1.222437025171594,10.304945962732795
0.304,1.3423694867603473,10.175110460934818
0.348,1.3794014906831933,10.169407747629819
0.389,1.3888633082706434,9.99041108205283
0.43,1.3665985158548182,9.742827558025382
0.47,1.3739789669826408,9.46402546583839
0.513,1.4517872703497545,9.240972899640283
0.558,1.6009953448839198,8.875424321673627
0.6,1.7722587643020162,8.415346649231665
0.64,1.9544674926446177,7.928934717227747
0.681,2.164547322654421,7.416134782608587
0.721,2.393919241582168,6.786004576658954
0.762,2.644218685844997,6.079865707747558
0.8,2.9150067538410696,5.353456979404967
0.838,3.1950013926119,4.6222614906831865
0.875,3.468189297155874,3.8984763975154806
0.911,3.733469682902843,3.186989277541649
0.947,4.0101952141221915,2.512805197777027
0.98,4.329529440993724,1.7923681268388023
1.014,4.701586812683807,1.0571717881660518
1.05,5.093533167701786,0.3896671461261789
1.084,5.448535259888764,-0.18757695325269452
1.119,5.733420778031949,-0.6764952598888456
1.154,5.981864419744923,-1.119406538084327
1.19,6.256601654135238,-1.5286843739784004
1.23,6.593378934292147,-1.9181586466165115
1.271,6.980987335730525,-2.3303659692709715
1.313,7.359358273945624,-2.749035665250041
1.356,7.667557554756343,-3.0915509970578228
1.402,7.865661183393151,-3.3426296175220216
1.45,7.947219306962943,-3.4795581235697455
1.496,7.9569536319057335,-3.568101536449774
1.541,7.94810783262492,-3.6580958483163926
1.587,7.951438398169216,-3.7475853873814415
1.63,7.9769940045765395,-3.822525465838453
1.673,8.039915580254863,-3.8772332461588235
1.714,8.165385799280685,-3.975796600196084
1.755,8.370964419744901,-4.1906635828701795
1.798,8.645422837528471,-4.521926381170253
1.842,8.945495998692259,-4.911307486106516
1.885,9.221985930042365,-5.282206243870476
1.928,9.45504601503746,-5.616113239620724
1.976,9.654993285387242,-5.9245006864987815
2.029,9.862774455704333,-6.214025760052216
2.083,10.123078476626205,-6.494692219679557
2.138,10.444650689767748,-6.772452991173495
2.197,10.778938136645813,-7.0157652500816425
2.254,11.057265890813838,-7.210688689114008
2.302,11.234273932657572,-7.296282674076409
