lap6_3_samp	lap6_4_samp	lap6_5_samp	cur6_3_samp	cur6_4_samp	cur6_5_samp	rp621
0.000312521	0.000290255	0.000252604	0.0104079	0.00201077	0.00203895	-0.053562
0.0044147	0.00414668	0.0035683	0.0517311	0.0294415	0.00197533	-0.0515027
0.00882936	0.00831109	0.00725763	0.0518307	0.0518574	0.0512334	-0.0516188
0.013244	0.0124756	0.011045	0.0519179	0.0516543	0.0516621	-0.0518747
0.0176578	0.0166401	0.0148325	0.0517538	0.0516984	0.0515816	-0.0522446
0.021892	0.0208046	0.01862	0.0516215	0.0517528	0.0517062	-0.0531264
0.0260608	0.024969	0.0224076	0.0516723	0.0517464	0.0517557	-0.0542519
0.0302295	0.0291336	0.0261953	0.0519214	0.0518139	0.0519006	-0.0550276
0.0343982	0.033295	0.0299828	0.0519541	0.051838	0.0516666	-0.0553375
0.0385669	0.0374017	0.0337704	0.0517701	0.0516818	0.0517149	-0.0554586
0.0427356	0.0415019	0.03771	0.0518219	0.0517278	0.051745	-0.0557998
0.0469043	0.045602	0.0417399	0.0514905	0.0517291	0.0516869	-0.0563151
0.0511196	0.0497022	0.0457698	0.0517202	0.0516807	0.0517623	-0.0567444
0.0554293	0.0538023	0.0497999	0.0518362	0.0517731	0.0517639	-0.0568739
0.0597393	0.0579025	0.0538299	0.0515467	0.0517772	0.0517635	-0.0571201
0.0640493	0.0620027	0.0578599	0.0516182	0.0515867	0.0518978	-0.0573886
0.0683592	0.0660973	0.0618899	0.0518749	0.0516542	0.051678	-0.0574638
0.0726692	0.0701405	0.0659573	0.0516697	0.0519088	0.051578	-0.0575277
0.0769791	0.0741806	0.070218	0.0516859	0.0516963	0.0516496	-0.0577363
0.0812895	0.0782207	0.074484	0.0519314	0.0517133	0.0516456	-0.0578205
0.0856077	0.0822607	0.0787501	0.0517381	0.0516411	0.0516635	-0.0579745
0.0899269	0.0863007	0.0830162	0.0515688	0.0517279	0.0517272	-0.0583889
0.0942461	0.0903407	0.0872823	0.0516366	0.0517946	0.0517958	-0.0586929
0.0985654	0.0943807	0.0915485	0.0516798	0.0518836	0.0516878	-0.0587725
0.102885	0.0984184	0.0958224	0.0519844	0.0518057	0.0516372	-0.0586989
0.107204	0.102441	0.100246	0.0516959	0.0515959	0.0516243	-0.0585169
0.111523	0.106462	0.104687	0.0517747	0.0517415	0.0515848	-0.0582737
0.115862	0.110484	0.109129	0.0517633	0.051736	0.0516551	-0.0582894
0.120214	0.114506	0.113571	0.0518984	0.0517665	0.0515231	-0.0585187
0.124566	0.118527	0.118013	0.0518471	0.0516269	0.0518327	-0.0588297
0.128918	0.122549	0.122455	0.0518261	0.0516108	0.0516521	-0.0591042
0.133271	0.126571	0.126898	0.0515835	0.0517409	0.0518626	-0.0591578
0.137623	0.130587	0.131401	0.0518629	0.0517083	0.0516805	-0.0590993
0.141975	0.13456	0.135915	0.051818	0.0516494	0.0516683	-0.0590163
0.146346	0.13853	0.14043	0.0517113	0.0517875	0.0515899	-0.0588041
0.150753	0.1425	0.144944	0.051686	0.0516528	0.0517245	-0.058636
0.15516	0.14647	0.149459	0.0516629	0.0515518	0.0516346	-0.0585928
0.159567	0.15044	0.153973	0.0516703	0.0517303	0.0517237	-0.0586542
0.163975	0.15441	0.158488	0.0518426	0.051757	0.0516188	-0.0587285
0.168382	0.15838	0.163032	0.051752	0.0516039	0.051789	-0.0587514
0.172789	0.162349	0.167582	0.0516525	0.0515563	0.0517248	-0.0586753
0.177216	0.166294	0.172132	0.0516729	0.0516544	0.0516542	-0.0585502
0.181709	0.170237	0.176682	0.0517048	0.0517747	0.0517932	-0.0584403
0.186203	0.17418	0.181232	0.0516171	0.0516589	0.0516883	-0.0584193
0.190697	0.178122	0.185783	0.0517902	0.0517661	0.0517819	-0.0585162
0.195192	0.182065	0.190333	0.0515636	0.0519964	0.0518213	-0.0585986
0.199685	0.186007	0.194896	0.0519549	0.0517051	0.0517686	-0.0585183
0.20418	0.18995	0.199462	0.0517608	0.051787	0.0517579	-0.0583703
0.208674	0.193893	0.204028	0.0517803	0.0518513	0.0515981	-0.0581745
0.21317	0.197792	0.208594	0.0517372	0.0518722	0.0516948	-0.0579265
0.217667	0.201671	0.21316	0.0517629	0.0517219	0.0518934	-0.0576563
0.222164	0.205551	0.217726	0.0517686	0.0517175	0.0518735	-0.0573715
0.22666	0.20943	0.222292	0.0516736	0.0517397	0.0517026	-0.0570577
0.231157	0.213309	0.226844	0.0517163	0.0516904	0.0518584	-0.0567738
0.235653	0.217189	0.231391	0.0515703	0.0515773	0.0519606	-0.0565743
0.240284	0.221068	0.235939	0.0516358	0.0516964	0.0517798	-0.0564654
0.245083	0.224948	0.240487	0.0514898	0.0516205	0.0517077	-0.0564028
0.249881	0.228803	0.245034	0.0515916	0.0516412	0.0517776	-0.0563065
0.25468	0.232556	0.249582	0.051697	0.0519278	0.051794	-0.0561695
0.259479	0.236308	0.254129	0.0517982	0.0517984	0.0518142	-0.0560199
0.264277	0.24006	0.258632	0.0519798	0.0518715	0.0516583	-0.0558579
0.269077	0.243812	0.263114	0.0517105	0.0515503	0.0517074	-0.0556966
0.273917	0.247564	0.267595	0.0518025	0.0516	0.0517517	-0.0555339
0.278765	0.251315	0.272077	0.0518897	0.0517293	0.0520344	-0.0553476
0.283613	0.255067	0.276558	0.0515554	0.0516337	0.0517863	-0.055115
0.288461	0.258819	0.28104	0.0517915	0.0516653	0.0517733	-0.0548347
0.29331	0.262533	0.285521	0.0517765	0.0514663	0.0519077	-0.0545393
