cur3_37_samp	cur3_38_samp	cur3_39_samp	cur3_40_samp	lap3_37_samp	lap3_38_samp	lap3_39_samp	lap3_40_samp	rp11
-2.66231e-05	-1.50444e-06	-0.000236467	-1.27255e-05	0.000238586	0.000170405	0.000239782	0.000235506	0.000208827
-9.75707e-05	-0.000247053	-0.000171293	-9.63624e-05	0.00337013	0.00240759	0.00338726	0.00329245	0.000236185
-7.93362e-05	-2.25566e-05	-8.15824e-05	-0.000145846	0.00674015	0.00488337	0.00677449	0.00651461	0.000276907
-0.000222197	-0.000231873	-0.000232649	-0.000282056	0.0101102	0.00738224	0.0101617	0.00973655	8.53149e-05
-0.000318579	6.63774e-05	-2.01864e-05	-0.000198756	0.0134804	0.00988115	0.0135489	0.0129587	-0.000450877
-1.68138e-05	1.08031e-05	-0.000256657	-0.000219034	0.0168503	0.01238	0.0169361	0.0161807	-0.00105693
-0.00017517	-0.000124957	-1.46554e-05	-6.32043e-05	0.0202203	0.0148789	0.0203232	0.0194025	-0.00146559
-0.000155647	-8.51288e-05	-0.000318584	-0.000130647	0.0235816	0.0173777	0.0237103	0.0226244	-0.00164899
-0.000360429	-0.000268314	-0.000230085	-3.02941e-05	0.0269404	0.0198765	0.0270933	0.0258463	-0.00187541
-9.0423e-05	-9.2892e-05	-4.7649e-05	-0.000153566	0.0302992	0.0223754	0.0304748	0.0290683	-0.00193007
-4.28028e-05	-6.74456e-05	-2.57468e-05	-5.75192e-05	0.0336581	0.0248744	0.0338563	0.0322902	-0.00187487
1.46602e-05	-0.000253307	-1.61419e-05	-4.83806e-06	0.0370169	0.0273732	0.0372379	0.0355108	-0.002135
-3.35194e-05	8.05557e-06	-0.000189706	-0.000104661	0.0403757	0.0298722	0.0406194	0.0385825	-0.00185344
-0.000139595	-0.000138935	3.43732e-06	-0.000191838	0.0437345	0.0323711	0.044001	0.0416087	-0.00147379
6.01174e-05	-0.00026548	-1.38967e-05	-0.000153978	0.0470933	0.0349322	0.0473825	0.0446348	-0.00150557
-9.32296e-05	-0.000231375	-5.16735e-05	-0.000122472	0.0504522	0.037546	0.050764	0.047661	-0.00143244
-0.00024036	-0.000187723	-0.000164178	7.3081e-05	0.0538055	0.04016	0.0541455	0.0506871	-0.00167638
-0.00019198	-0.000114034	-0.000100569	-1.32305e-05	0.0571378	0.0427739	0.0575389	0.0537132	-0.00158023
-4.25891e-05	-0.000158872	-0.000164751	-0.00015275	0.06047	0.0453879	0.0609509	0.0567394	-0.00133259
-0.000143598	-5.97653e-05	-0.000139687	-9.29737e-05	0.0638021	0.048002	0.064363	0.0597655	-0.00134494
-2.7699e-05	-0.000246932	-0.000169009	-0.0002125	0.0671342	0.0506159	0.0677751	0.0627919	-0.00136534
-4.73697e-05	5.48913e-05	-7.83798e-05	-0.000139316	0.0704663	0.0532298	0.0711871	0.065818	-0.00109596
-0.000285556	-6.37413e-05	-0.000125453	-0.000290167	0.0737983	0.0558436	0.0745991	0.0688441	-0.00105276
-0.000285844	-0.000228464	-0.000110986	-8.87774e-05	0.0771304	0.0584576	0.0780111	0.0718555	-0.00123978
-0.000132936	-0.000230705	-1.14175e-05	-8.74286e-05	0.0804625	0.0610716	0.0814231	0.0745914	-0.00191336
-0.000188237	-0.000237525	-8.28892e-05	-5.40283e-05	0.0837946	0.0636857	0.0848352	0.0772933	-0.00145529
-0.000118581	-0.00015316	-0.000115315	-0.000275001	0.0870973	0.0663213	0.0882459	0.0799953	-0.00132641
-0.00011904	-5.96719e-05	-4.54223e-05	-6.24781e-05	0.0903547	0.0689774	0.0916343	0.0826972	-0.0016407
-9.41682e-06	-0.000129106	-0.000111616	-0.000145683	0.093612	0.0716336	0.09502	0.0853991	-0.00156933
5.55721e-06	-9.44625e-05	-7.368e-05	3.40986e-05	0.0968693	0.0742897	0.0984058	0.0881009	-0.00177732
-3.71816e-05	-6.05928e-06	4.72253e-05	3.8154e-06	0.100127	0.0769457	0.101792	0.0908027	-0.00169245
-0.000204053	-8.63226e-05	-7.32486e-05	0.000169384	0.103384	0.0796019	0.105177	0.0935046	-0.00126969
-4.81988e-05	-9.42208e-05	-0.000266647	-0.000230565	0.106641	0.0822579	0.108563	0.0962065	-0.00159699
-0.000190523	9.81456e-05	-0.000148198	-0.0001022	0.109898	0.084914	0.111949	0.0989083	-0.00134813
-8.40292e-05	7.49484e-05	-0.000280141	-0.000120699	0.113156	0.08757	0.115335	0.10161	-0.00129436
-0.000178533	-0.000146832	-0.00020197	-0.000213901	0.116413	0.0902262	0.11872	0.104312	-0.00105679
-4.18441e-06	-8.76546e-05	-0.000123672	-0.000172248	0.119642	0.0928823	0.122082	0.107014	-0.00107388
-0.000248882	-5.26464e-05	-0.000122144	-0.000273221	0.122803	0.0955402	0.125367	0.10957	-0.000690576
-8.67092e-05	1.50208e-07	-0.0001039	-7.95344e-05	0.125964	0.0982676	0.128651	0.111932	-0.000149738
-0.000183159	-0.000157182	-0.000204609	-0.000108362	0.129125	0.101009	0.131936	0.114295	0.000137191
-0.000113441	-0.000285249	-0.000416671	-0.000155101	0.132285	0.103751	0.13522	0.116657	-0.000103798
-5.29664e-05	-0.000104015	-0.00021017	-4.44758e-05	0.135446	0.106492	0.138504	0.119019	8.43142e-05
-0.000290045	8.16166e-05	-0.000141252	2.61239e-05	0.138607	0.109234	0.141789	0.121381	0.000839729
-8.33602e-05	-9.13052e-05	-0.000153661	-0.000164744	0.141767	0.111975	0.145073	0.123743	0.000887084
-6.92909e-05	-9.67056e-05	7.11835e-05	5.48726e-05	0.144928	0.114717	0.148357	0.126105	0.000949826
-0.000178571	-0.000251838	8.51085e-05	-6.52784e-05	0.148089	0.117459	0.151642	0.128467	0.00115399
-0.000142531	-0.000139468	-0.000120515	-9.66338e-05	0.151246	0.1202	0.154905	0.13083	0.00133305
-5.80462e-05	-4.10732e-05	-0.000270218	-0.000106469	0.154339	0.122942	0.158105	0.133192	0.000367664
-8.66554e-05	-0.000148716	-1.4377e-05	2.73157e-05	0.157425	0.125683	0.161305	0.135554	0.00117375
-7.61927e-05	-1.55319e-05	-4.96596e-05	-3.34453e-05	0.16051	0.128465	0.164504	0.137916	0.00195663
3.10962e-05	-0.000293759	-0.000135454	-0.000374428	0.163595	0.131283	0.167704	0.140278	0.003075
-0.000207092	-0.000201073	-0.000159712	-0.000353758	0.16668	0.134101	0.170904	0.142636	0.00376263
7.07112e-05	-7.77939e-05	-0.000177226	-6.48912e-05	0.169765	0.136919	0.174103	0.144856	0.00413698
-0.000127388	-3.7973e-05	-0.000131016	-4.31325e-06	0.17285	0.139737	0.177303	0.147053	0.00432179
-0.000118459	0.000169902	-0.000172034	-0.000263399	0.175935	0.142555	0.180503	0.14925	0.00530849
-0.000291966	-0.000121163	-0.000252033	-0.000228447	0.17902	0.145373	0.183702	0.151447	0.0057463
-0.00035547	-0.000219572	-9.21723e-05	-7.8702e-05	0.182104	0.148191	0.186896	0.153643	0.00651985
-0.000229597	-0.00024766	-0.000123112	-9.62671e-05	0.185178	0.151009	0.190062	0.15584	0.00776883
-0.000104055	-0.000189625	-0.000146395	-0.000104921	0.18824	0.153827	0.193228	0.158036	0.00878075
-7.97301e-05	-0.000283072	7.66366e-05	2.57354e-05	0.191302	0.156645	0.196393	0.160233	0.00894394
