lap3_7_samp	lap3_8_samp	lap3_9_samp	lap3_10_samp	lap3_11_samp	lap3_12_samp	rp1	cur3_8_samp	cur3_9_samp	cur3_10_samp	cur3_11_samp	cur3_12_samp
9.10E-05	8.91E-05	0.000202558	3.97E-08	3.69E-08	0.000137401	-0.0597721	-0.000920831	-0.000832007	-0.00101138	-0.000843325	-0.000763734
0.00128539	0.0011542	0.00286152	4.44E-07	4.44E-07	0.00194083	-0.0593575	-0.000779335	-0.000949041	-0.000739977	-0.000643836	-0.000872886
0.00257074	0.00217769	0.00572296	9.06E-07	8.67E-07	0.00388164	-0.0586427	-0.000987019	-0.000965073	-0.000900403	-0.000716528	-0.00078074
0.00385614	0.00320123	0.00858441	1.37E-06	1.35E-06	0.00582252	-0.0595113	-0.000659181	-0.000896422	-0.000653174	-0.000840637	-0.00088894
0.00514143	0.00422472	0.0114458	1.83E-06	1.88E-06	0.00776333	-0.0593809	-0.000880511	-0.000903968	-0.000875348	-0.000944689	-0.00100282
0.00642678	0.00524831	0.0143073	2.29E-06	2.32E-06	0.00970421	-0.0592807	-0.000990054	-0.000886208	-0.000883924	-0.00079056	-0.000996897
0.00771217	0.00627181	0.0171673	2.69E-06	2.63E-06	0.011645	-0.0587506	-0.00102895	-0.000826409	-0.000688881	-0.000689891	-0.000911313
0.00899764	0.00729527	0.0200224	3.11E-06	2.97E-06	0.0135858	-0.058031	-0.00100201	-0.00103768	-0.00095443	-0.000734344	-0.000904818
0.010283	0.00831877	0.0228776	3.63E-06	3.35E-06	0.0155266	-0.0587072	-0.000907748	-0.000795509	-0.00068942	-0.000677683	-0.000608653
0.0115683	0.00934227	0.0257328	4.11E-06	3.79E-06	0.0174674	-0.0581641	-0.000823783	-0.000810245	-0.000752282	-0.000868994	-0.000818472
0.0128537	0.0103657	0.028588	4.58E-06	4.17E-06	0.0194083	-0.0580146	-0.000791266	-0.000771434	-0.000996581	-0.000739852	-0.000660166
0.0141391	0.0113892	0.0314432	4.97E-06	4.54E-06	0.0213491	-0.0576917	-0.000960661	-0.000821267	-0.000839957	-0.000849146	-0.000796386
0.0154243	0.0124127	0.0342983	5.39E-06	4.96E-06	0.0232901	-0.0558293	-0.000848794	-0.000994652	-0.000875982	-0.00117246	-0.000891538
0.0167096	0.0134361	0.0371535	5.85E-06	5.35E-06	0.0252117	-0.0550492	-0.000910934	-0.00100258	-0.000881799	-0.000904447	-0.000725358
0.0179951	0.0144596	0.0400086	6.31E-06	5.88E-06	0.0269894	-0.0550267	-0.000932847	-0.000839844	-0.000887227	-0.000711743	-0.000744022
0.0192805	0.0154831	0.0428639	6.74E-06	6.24E-06	0.02876	-0.0541486	-0.000886309	-0.00061364	-0.000569728	-0.00102285	-0.00088808
0.0205659	0.0165067	0.045719	7.22E-06	6.54E-06	0.0305306	-0.0529522	-0.000765254	-0.00101619	-0.000820881	-0.000929518	-0.000942034
0.0218514	0.0175302	0.0485729	7.70E-06	6.91E-06	0.0323012	-0.05156	-0.00076963	-0.00104447	-0.000636134	-0.000630812	-0.000925507
0.0231368	0.0185537	0.0513966	8.10E-06	7.32E-06	0.0340718	-0.0505846	-0.000707232	-0.000880148	-0.000776577	-0.00115626	-0.000781719
