lap2_9_samp	lap2_9b_samp	lap2_10_samp	lap2_11_samp	lap2_12_samp	lap2_13_samp	cur2_9_samp	cur2_9b_samp	cur2_10_samp	cur2_11_samp	cur2_12_samp	cur2_13_samp	rp48	rp1423
5.88E-05	0.00E+00	9.19E-05	2.49E-05	0.00026494	8.41E-05	-0.000639781	-0.000524064	-0.000189711	-0.000825926	-2.21E-05	-0.000358144	-0.0543275	-0.0543355
0.000830145	0.0013	0.0012981	0.000352007	0.00374256	0.00118794	-0.000405557	-0.000428499	-0.000467026	-0.000343331	-0.000411687	-0.000187072	-0.053538	-0.0526619
0.00166044	0.0025	0.00259617	0.000703986	0.00748509	0.00237587	-0.00023906	-0.00026577	-0.000594644	-0.000470515	-0.000435917	-0.000379246	-0.0540868	-0.0543345
0.00249066	0.0037	0.00389424	0.00105606	0.0112277	0.00356381	-0.000446355	-0.000464694	-0.000433733	-0.000402895	-0.00051606	-0.000373691	-0.054191	-0.053923
0.00332093	0.0049	0.00519241	0.00140802	0.0149702	0.00475176	-0.000293895	-0.000531647	-0.000303111	-0.000474212	-0.000538177	-0.00032524	-0.054917	-0.0544851
0.00415108	0.0061	0.00649054	0.00176006	0.0187128	0.00593969	-0.000433146	-0.000340138	-0.000407267	-0.000356527	-0.000458539	-0.000503676	-0.0546597	-0.0559283
0.00498132	0.0074	0.00778856	0.00211209	0.0224516	0.00712761	-0.000370237	-0.000591939	-0.000374597	-0.000625216	-0.00039888	-0.000532259	-0.0570881	-0.0570695
0.0058116	0.0086	0.00908658	0.00246414	0.0260572	0.00831545	-0.00059055	-0.000473103	-0.000332384	-0.000342885	-0.000298446	-0.000581587	-0.0578325	-0.0574846
0.00664182	0.0098	0.0103847	0.00281621	0.0296374	0.0095032	-0.000493339	-0.000579607	-0.000413053	-0.000444433	-0.000276642	-0.000493368	-0.0581538	-0.0575413
0.00747204	0.011	0.0116827	0.00316827	0.0332175	0.0106911	-0.000706049	-0.000431799	-0.000401067	-0.000445913	-0.000617724	-0.00043508	-0.0590093	-0.0582633
0.0083023	0.0122	0.0129808	0.00352027	0.0367976	0.011879	-0.00051008	-0.000554896	-0.000555176	-0.000429484	-0.00046249	-0.000477087	-0.0595583	-0.0579757
0.00913251	0.0135	0.014279	0.00387226	0.0403777	0.0130669	-0.000485358	-0.000418347	-0.00027948	-0.000435796	-0.000251662	-0.000286284	-0.0589721	-0.0580114
0.00996275	0.0147	0.0155774	0.00442576	0.0439579	0.0142547	-0.000282601	-0.000261266	-0.000427338	-0.000224759	-0.000428048	-0.000234113	-0.0598613	-0.058021
0.0107931	0.0159	0.0170163	0.0052932	0.0475379	0.0154426	-0.000410772	-0.000596959	-0.000293244	-0.000464886	-0.000410118	-0.000281731	-0.0599726	-0.0576537
0.0116233	0.0171	0.01852	0.00616074	0.0511179	0.0166305	-0.000268855	-0.000355904	-0.000727724	-0.000438381	-0.000367507	-0.000544112	-0.0592011	-0.0578807
