lap3_47_samp	lap3_48_samp	lap3_49_samp	lap3_50_samp	cur3_47_samp	cur3_48_samp	cur3_49_samp	cur3_50_samp	rp2
7.19984e-05	7.47617e-05	7.30621e-05	3.58316e-05	-0.00144128	-0.00150709	-0.00140016	-0.0014391	-0.0612996
0.00198571	0.00206187	0.0020153	0.000988414	-0.00135627	-0.00133088	-0.00139267	-0.00136466	-0.0612654
0.00397145	0.00412376	0.00403065	0.0019768	-0.00129992	-0.00132537	-0.00139571	-0.00127959	-0.061272
0.00595723	0.00618553	0.00604594	0.00296518	-0.00146683	-0.0013076	-0.00136726	-0.00157104	-0.060685
0.00794283	0.00824737	0.00806124	0.00395344	-0.00131181	-0.00150953	-0.00140923	-0.00139234	-0.0597366
0.0099286	0.0103092	0.0100765	0.00494189	-0.00129459	-0.00125184	-0.00145755	-0.0014229	-0.0594698
0.0119143	0.0123709	0.0120917	0.00593028	-0.00126809	-0.00115484	-0.00138548	-0.00130886	-0.0595267
0.0138582	0.0144327	0.0141069	0.00691879	-0.00133816	-0.00145485	-0.00133585	-0.00146259	-0.0593485
0.0157228	0.0164945	0.0161223	0.00790709	-0.00140022	-0.00130382	-0.00122922	-0.00140314	-0.0591488
0.0175875	0.0185564	0.0181375	0.00889547	-0.00137779	-0.00135655	-0.00138125	-0.00117399	-0.059164
0.0194521	0.0206182	0.020153	0.0098839	-0.001345	-0.00129213	-0.00130274	-0.00138171	-0.0592069
0.0213168	0.02268	0.0221684	0.0108723	-0.0013294	-0.00136578	-0.00132897	-0.00150274	-0.059021
0.0231815	0.0247418	0.0241836	0.0118607	-0.00138519	-0.00137542	-0.00119262	-0.00134415	-0.0586431
0.0250461	0.0268037	0.0261989	0.0128491	-0.00149083	-0.00157478	-0.00148803	-0.0013295	-0.0583258
0.0269107	0.0287766	0.0282142	0.0138377	-0.00140369	-0.00150787	-0.00148462	-0.00146675	-0.058189
0.0287753	0.030689	0.0302294	0.0148261	-0.00139428	-0.00130504	-0.00130261	-0.00126248	-0.0581153
0.0306399	0.0326013	0.0322447	0.0158145	-0.00161373	-0.00158471	-0.00139962	-0.00136851	-0.0579375
0.0325046	0.0345137	0.0342041	0.0168029	-0.00137339	-0.00132098	-0.0015304	-0.00128709	-0.0576352
0.0343693	0.0364261	0.036132	0.0177914	-0.00142499	-0.00141868	-0.00134749	-0.00138906	-0.057321
0.036234	0.0383385	0.0380599	0.0187798	-0.00141713	-0.00128557	-0.00139387	-0.00127969	-0.0570965
0.0380986	0.0402508	0.0399877	0.0197682	-0.00131201	-0.00124658	-0.00140837	-0.00135867	-0.0569415
0.0399632	0.0421632	0.0419156	0.0207567	-0.00121004	-0.00128888	-0.00161631	-0.00131718	-0.0567439
0.041828	0.0440756	0.0438435	0.021745	-0.00141128	-0.00142587	-0.00130775	-0.00148824	-0.0564394
0.0436926	0.0459879	0.0457714	0.0227334	-0.00140542	-0.00125397	-0.00126295	-0.00134444	-0.0561197
0.0455574	0.0479003	0.0476992	0.0237219	-0.00122679	-0.00139601	-0.00147834	-0.001165	-0.0559602
0.047422	0.0498127	0.049627	0.0247771	-0.0013259	-0.00129767	-0.00133689	-0.00134271	-0.0560152
0.0491897	0.051725	0.0515548	0.0258843	-0.00153064	-0.00137773	-0.00137691	-0.00136093	-0.0561147
0.050895	0.0536373	0.0534827	0.0269915	-0.00145386	-0.00139323	-0.00140713	-0.00142244	-0.0559933
0.0526002	0.0555497	0.0554106	0.0280987	-0.0012746	-0.00133263	-0.0014188	-0.00127453	-0.0555599
0.0543055	0.057462	0.0573384	0.029206	-0.00129848	-0.00128698	-0.00116169	-0.00155118	-0.0549863
0.0560108	0.0593744	0.0592663	0.0303132	-0.00146187	-0.00139607	-0.0014109	-0.00149276	-0.0545364
0.0577159	0.0612673	0.0611942	0.0314205	-0.00126035	-0.00132857	-0.00138119	-0.00131959	-0.0543431
0.0594211	0.0631144	0.063122	0.0325278	-0.00148702	-0.00142215	-0.00122705	-0.00137447	-0.0543235
0.0611262	0.0649614	0.0650497	0.033635	-0.00129521	-0.00138426	-0.00141435	-0.00120796	-0.0543129
0.0628315	0.0668084	0.0669774	0.0347423	-0.00136312	-0.00155851	-0.0013852	-0.00136004	-0.054253
0.0645367	0.0686554	0.0687935	0.0358495	-0.00144823	-0.00141455	-0.00135555	-0.00157821	-0.0542413
0.0662419	0.0705024	0.0705865	0.0369568	-0.00129271	-0.00113475	-0.00123081	-0.00118341	-0.054385
0.0679471	0.0723495	0.0723793	0.0380641	-0.00131978	-0.00136738	-0.00130878	-0.00134665	-0.0546094
0.0696523	0.0741964	0.0741723	0.0391713	-0.00143264	-0.00146387	-0.00128068	-0.00143544	-0.0546451
0.0713575	0.0760433	0.075965	0.0402786	-0.0014939	-0.00142759	-0.00135733	-0.00122937	-0.0542564
0.0730627	0.0778903	0.0777579	0.0413859	-0.00148	-0.00139873	-0.00128694	-0.00135186	-0.0534962
0.0747678	0.0797374	0.0795507	0.0424932	-0.00140958	-0.00131152	-0.00147233	-0.00119147	-0.0527081
0.076473	0.0815845	0.0813436	0.0436004	-0.00135554	-0.00144849	-0.00136829	-0.00127901	-0.052271
0.0781782	0.0834315	0.0831365	0.0447076	-0.00143368	-0.00141188	-0.00138439	-0.00157581	-0.0522631
0.0798835	0.0852785	0.0849294	0.0458148	-0.00126268	-0.0012817	-0.00126814	-0.00126747	-0.0524477
0.0815727	0.0871255	0.0867222	0.0469221	-0.00125244	-0.00130068	-0.00121503	-0.00142789	-0.0525614
0.0832313	0.0889725	0.0885152	0.0480293	-0.00131558	-0.00140299	-0.00158488	-0.00141724	-0.0525419
0.0848899	0.0908195	0.090308	0.0491366	-0.00140216	-0.00142521	-0.00135115	-0.00146227	-0.052467
0.0865485	0.0926666	0.0921008	0.0502439	-0.001357	-0.0015132	-0.00155913	-0.00130574	-0.0523706
0.088207	0.094499	0.0938937	0.0513511	-0.00117888	-0.00140657	-0.0014358	-0.00124591	-0.0522361
0.0898657	0.0963286	0.0956864	0.0524584	-0.00140592	-0.00145445	-0.00151389	-0.0012597	-0.0521394
0.0915243	0.0981581	0.0974793	0.0535656	-0.00137397	-0.00133135	-0.0014032	-0.00135357	-0.0522274
0.0931829	0.0999877	0.099272	0.054709	-0.00148191	-0.00143611	-0.00126805	-0.00140524	-0.0524526
0.0948416	0.101817	0.101056	0.0558897	-0.00141235	-0.00113478	-0.00136426	-0.00136433	-0.0525045
0.0965003	0.103647	0.102763	0.0570704	-0.00144262	-0.00141585	-0.00150771	-0.00124229	-0.0521678
0.0981589	0.105477	0.104468	0.058251	-0.00119446	-0.00166683	-0.0013478	-0.00146732	-0.0516971
0.0998176	0.107306	0.106173	0.0594316	-0.00130233	-0.00121695	-0.00144903	-0.00148879	-0.0515647
0.101476	0.109136	0.107878	0.0606121	-0.00137534	-0.00131928	-0.00143317	-0.001397	-0.0517919
0.103135	0.110965	0.109583	0.0617927	-0.00130376	-0.001373	-0.00149651	-0.00136689	-0.0517701
0.104793	0.112795	0.111288	0.0629733	-0.00130121	-0.00128354	-0.00141362	-0.00137458	-0.0510319
0.106452	0.114625	0.112994	0.0641539	-0.00120942	-0.00136891	-0.00129601	-0.0012093	-0.0502967
0.108111	0.116454	0.114699	0.0653345	-0.0013439	-0.00142074	-0.00143356	-0.00146995	-0.0505879
0.109769	0.118284	0.116404	0.0665151	-0.00121054	-0.00125466	-0.00132326	-0.00122889	-0.0513213
0.111428	0.120114	0.118109	0.0676957	-0.00145199	-0.00134803	-0.0014287	-0.00142031	-0.0512
0.113097	0.121943	0.119814	0.0688762	-0.00119349	-0.00143623	-0.00143206	-0.00134672	-0.0506028
0.114782	0.123773	0.121519	0.0700568	-0.00132418	-0.00130341	-0.00144443	-0.00136145	-0.0506263
0.116468	0.1256	0.123225	0.0712374	-0.00135008	-0.00116151	-0.00128068	-0.00121273	-0.0509146
0.118153	0.127423	0.12493	0.0724179	-0.00148783	-0.0012439	-0.00131081	-0.00134469	-0.05084
0.119839	0.129246	0.126635	0.0735986	-0.00130523	-0.00138828	-0.00138315	-0.00149884	-0.0508728
0.121524	0.131069	0.12834	0.0747792	-0.00131938	-0.00135742	-0.00128176	-0.00151024	-0.0513025
0.123209	0.132891	0.130045	0.0759599	-0.00142069	-0.00145582	-0.00123465	-0.00139587	-0.0514242
0.124895	0.134714	0.131752	0.0771404	-0.00128486	-0.00138164	-0.00155702	-0.001463	-0.05125
0.12658	0.136537	0.133512	0.0783211	-0.00146481	-0.00124488	-0.00152643	-0.00131947	-0.0517391
0.128265	0.13836	0.135276	0.0795017	-0.00127495	-0.00121268	-0.00146734	-0.00141565	-0.0524823
0.12995	0.140183	0.137039	0.0806823	-0.00142078	-0.00129434	-0.00141455	-0.00163139	-0.0528469
0.131636	0.142005	0.138803	0.0818629	-0.00140542	-0.0010895	-0.00142263	-0.00127987	-0.0531377
0.133321	0.143828	0.140566	0.0830435	-0.00142641	-0.00152123	-0.00130188	-0.00142364	-0.0531971
0.135007	0.145651	0.14233	0.084239	-0.00134864	-0.00130889	-0.00147273	-0.00125611	-0.0532046
0.136692	0.147474	0.144093	0.0855008	-0.0014685	-0.00144069	-0.00133202	-0.00135238	-0.0538839
0.138377	0.149296	0.145856	0.0867625	-0.00147085	-0.00125789	-0.00141277	-0.00125027	-0.0549668
0.140063	0.151119	0.14762	0.0880243	-0.00147188	-0.00133184	-0.00137185	-0.001452	-0.0557172
