lap2_18_samp	lap2_19_samp	lap2_20_samp	lap2_21_samp	lap2_22_samp	cur2_18_samp	cur2_19_samp	cur2_20_samp	cur2_21_samp	cur2_22_samp	rp111
9.17414e-05	8.72806e-05	0.000282254	0.000139491	0.000211188	-0.00113373	-0.000825332	-0.00144492	-0.00149189	-0.00133215	0.000403766
0.00129604	0.0012331	0.00398719	0.00197056	0.00298319	-0.00143	-0.00118092	-0.00140031	-0.0010973	-0.00135258	0.000173628
0.00259216	0.00246619	0.00797439	0.00394116	0.00596641	-0.00147852	-0.00123048	-0.00142269	-0.00141235	-0.00127667	-0.000234507
0.00388819	0.00369943	0.0119615	0.00591181	0.00894963	-0.0012446	-0.00135119	-0.00142961	-0.00148243	-0.00133998	0.000496026
0.00518414	0.00493274	0.0159485	0.00788234	0.0119782	-0.00133526	-0.00125865	-0.00126678	-0.001272	-0.00136136	0.000559226
0.0064802	0.00616594	0.0199356	0.00985281	0.0150331	-0.00117827	-0.0014435	-0.00138955	-0.00141447	-0.00114681	0.00101119
0.00777877	0.00739905	0.0239228	0.0118233	0.0180881	-0.00136327	-0.00139729	-0.00121778	-0.00124943	-0.00137549	0.00211586
0.00910722	0.00863209	0.0279133	0.0137966	0.0211432	-0.00140556	-0.00142363	-0.00129647	-0.00134052	-0.00118234	0.00174645
0.010438	0.00986518	0.031949	0.0158625	0.0241982	-0.00128418	-0.00131406	-0.00137852	-0.00135771	-0.00128442	0.0016069
0.011769	0.0110983	0.0359888	0.0179449	0.0272532	-0.00120112	-0.00129937	-0.00141548	-0.00134603	-0.00143159	0.00197447
0.0130998	0.0123317	0.0400287	0.0200273	0.0303084	-0.00128626	-0.00110605	-0.00132122	-0.00137589	-0.00140414	0.00231795
0.0144307	0.0135649	0.0440685	0.0221097	0.0333635	-0.00131746	-0.00129657	-0.00128295	-0.00136331	-0.00125641	0.00298641
0.0157616	0.0147981	0.0481083	0.0241922	0.0364184	-0.0014037	-0.00127008	-0.00129798	-0.00129356	-0.00128706	0.0028933
0.0170924	0.0160313	0.0521481	0.0262746	0.0394735	-0.00141515	-0.00121709	-0.00127939	-0.0013528	-0.00115623	0.00284477
0.0184234	0.0172644	0.0561879	0.028357	0.0425263	-0.00125118	-0.00137403	-0.0012761	-0.0013821	-0.00124402	0.00292568
0.0197542	0.0184976	0.0602443	0.0304394	0.0455678	-0.00152289	-0.00117819	-0.00132855	-0.00127711	-0.00136021	0.00302337
