lap6_19_samp	lap6_20_samp	lap6_21_samp	lap6_22_samp	lap6_23_samp	lap6_24_samp	cur6_19_samp	cur6_20_samp	cur6_21_samp	cur6_22_samp	cur6_23_samp	cur6_24_samp	rp2756
0.000208917	0.000159205	0.000225685	0.000173082	0.000191518	0.000222132	-0.00022963	-1.3888e-05	-0.000645779	-0.000368277	3.68382e-06	-1.27181e-05	-0.061724
0.00295126	0.00224888	0.00318819	0.00244514	0.00270528	0.0031373	-0.000186143	-0.000137536	-0.000281864	-0.00036776	-0.000262283	6.80502e-05	-0.0616655
0.00590239	0.00449762	0.00637619	0.00489037	0.00541052	0.00624536	-0.000144126	-4.70896e-05	-0.000174001	-0.000162644	-0.000374493	-0.000241647	-0.0618645
0.00885354	0.00674632	0.00956416	0.00733551	0.00811568	0.00934713	-0.000166591	-0.000139367	-9.88466e-05	-0.000354758	-0.00046027	-0.00013554	-0.061934
0.0118047	0.00899506	0.0127522	0.00974195	0.010821	0.0124489	-0.000241264	-6.14351e-05	-0.000165882	-0.000112334	-0.000117607	-0.00021215	-0.0619541
0.0147557	0.0112439	0.0159534	0.0120908	0.0135262	0.0155507	-0.000362556	-0.000361626	-0.000230383	-0.000186498	-0.000109406	-0.000278185	-0.0620549
0.0177069	0.0134927	0.0192146	0.0144395	0.0162317	0.0186524	-0.000178173	-0.000195223	-0.000305562	-0.000209213	-0.000188355	-0.000164928	-0.0620594
0.0206581	0.0157737	0.0224769	0.0167883	0.0189369	0.0217543	-0.00021188	-0.000184722	-0.000389265	-0.000234627	-0.000166377	-0.000396408	-0.0619651
0.0236092	0.0180698	0.0257393	0.0191371	0.0216699	0.0248561	-0.000193422	-9.14214e-05	-0.000302785	-0.000223593	-0.000329235	-0.000125311	-0.0623582
0.0265494	0.0203658	0.0290017	0.021486	0.0245237	0.0279577	-0.000141014	-0.000325603	-0.000168281	-0.000115551	-0.000307864	-0.000204351	-0.0626249
0.0292405	0.0226619	0.0322642	0.0238347	0.02738	0.0310594	-0.000110498	-0.000327071	-0.000163126	-0.000121455	-0.000374307	-0.000151256	-0.0626384
0.0318955	0.024958	0.0355266	0.0261834	0.0302363	0.0341613	-0.000145509	-0.000115736	-0.000231774	-0.000265713	-0.000113508	-0.000102527	-0.0630068
0.0345506	0.027254	0.0387891	0.0285322	0.0330926	0.0372948	-6.42997e-05	-0.000168116	-0.000182454	-1.98519e-05	-0.00017109	-0.000377751	-0.0634699
0.0372057	0.0295501	0.0420516	0.0308809	0.0359489	0.0404427	-0.000228706	-0.000356767	-0.000254404	-0.000163069	-0.000327256	-0.000185401	-0.0633633
0.0398608	0.0318461	0.045314	0.0332297	0.0388051	0.0435905	-9.83793e-05	-0.000130934	-0.000314981	-0.000280389	-0.00026199	-0.00015871	-0.0634566
0.0425158	0.0341423	0.048637	0.0355785	0.0416614	0.0467383	-0.000160733	-0.000200168	-9.20042e-06	-0.000359259	-0.000184418	-0.000166402	-0.0636629
0.0451707	0.0364383	0.0519943	0.0379273	0.0445176	0.0498862	-0.000238245	-0.000178834	-0.000186075	-0.000136402	-0.000157828	-6.52377e-06	-0.0636462
0.0478257	0.0387344	0.0553514	0.040276	0.047374	0.0530342	-0.000215094	-0.000255045	-0.000181345	-0.000137757	-0.000104803	-0.000252455	-0.0636389
0.0504808	0.0410304	0.0587086	0.042598	0.0502302	0.0561819	-0.00010511	-0.000116215	-9.66783e-05	-9.66574e-05	-0.000112407	-0.00019008	-0.0636601
0.0531357	0.0433266	0.0620657	0.0448914	0.0530865	0.0593297	-3.15931e-05	-6.36762e-05	-0.000376354	-0.000337121	-0.000389894	-0.000135646	-0.0634695
0.0558689	0.0456548	0.0654229	0.0471849	0.0558853	0.0624776	-0.000173718	-5.27199e-05	-0.000135843	-0.000125401	-0.000267316	-0.000130461	-0.0632545
0.0588538	0.048047	0.06878	0.0494783	0.058636	0.0656255	-0.000321073	-0.000239746	-0.000103676	-0.000177298	-0.000235317	-0.000238978	-0.0631675
0.0618411	0.0504392	0.0721372	0.0517718	0.0613868	0.0687791	-4.14862e-05	-0.000213946	-0.000134719	-0.000246256	-6.5819e-05	-0.000191044	-0.0628423
0.0648284	0.0528316	0.0754945	0.0540653	0.0641376	0.0719369	-5.87542e-05	-0.000335175	-0.000125818	-0.000119943	-0.000264242	-0.000219804	-0.0625411
0.0678158	0.055224	0.0788626	0.0563588	0.0668885	0.0750949	-7.30652e-05	-0.000255205	-0.000272193	-0.000172985	-0.000225651	-0.000307969	-0.0621651
0.0708032	0.0576163	0.0822628	0.0586523	0.0696392	0.0782528	-7.86444e-05	-0.000236992	-0.000229549	-0.000201116	-0.000332174	-0.000366841	-0.0620158
0.0737906	0.0600086	0.0856631	0.0609457	0.0723899	0.0814106	-0.000209221	-0.000355075	-0.000267068	-0.000284965	-0.000210531	-0.000170011	-0.0617808
0.0767779	0.0624009	0.0890636	0.0632392	0.0751406	0.0845685	-0.000283123	-0.00021178	-0.000182694	-0.000166068	-0.000272563	-0.000116277	-0.0613248
0.0797652	0.0647933	0.0924639	0.0655326	0.0778913	0.0877263	-0.00027953	-0.000154847	-0.0002411	-0.000164048	-0.000209809	-0.000168573	-0.0608394
0.0827525	0.0671856	0.0958644	0.0678261	0.0806421	0.0908842	-0.000237169	-0.00020428	-0.000318334	-0.000143937	-0.000195823	-0.000147423	-0.0604625
0.0857558	0.0695779	0.0992648	0.0701194	0.0833928	0.094042	-0.000136883	-0.000287178	-8.55771e-05	-6.78174e-05	-0.000237737	-0.00010068	-0.0601934
0.0888914	0.0719703	0.102665	0.0724205	0.0861436	0.0971999	-0.00014697	-0.000202454	-0.000344231	-0.000376053	-0.000157733	-3.13056e-05	-0.0601094
0.0920344	0.0743627	0.106066	0.0747921	0.0888451	0.100368	-0.000115051	-0.000362395	-0.00024288	-0.00054155	-0.000177208	-0.000241088	-0.0601841
0.0951774	0.0767591	0.109467	0.0771681	0.0915053	0.103545	-0.00022384	-0.000158465	-6.95976e-05	-0.000244036	-0.000304295	-0.000216943	-0.0604089
0.0983204	0.0791775	0.112878	0.0795441	0.0941654	0.106722	-0.000181492	1.39304e-05	-0.000262988	-0.000260614	-3.9671e-05	-0.000105437	-0.0603625
