lap4_30_samp	lap4_31_samp	lap4_32_samp	lap4_33_samp	lap4_34_samp	rp2529	rp3548	cur4_30_samp	cur4_31_samp	cur4_32_samp	cur4_33_samp	cur4_34_samp	rp5463	lap4_49_samp	lap4_50_samp	lap4_51_samp	lap4_52_samp	lap4_53_samp	cur4_49_samp	cur4_50_samp	cur4_51_samp	cur4_52_samp	cur4_53_samp
0.000246397	6.10203e-05	6.81895e-05	0.000122626	0.000147825	-0.0606629	-0.0631667	-0.000616279	-0.000736605	-0.000673743	-0.000862075	-0.000644332	-0.0575858	0.000237256	7.18776e-05	0.000132565	8.64547e-05	0.000101791	-0.000945875	-0.00100958	-0.000238982	-0.000941131	-0.0011022
0.00348032	0.000861887	0.000963273	0.00173219	0.00208828	-0.0608051	-0.0629317	-0.000718239	-0.000786641	-0.000802734	-0.000764343	-0.000707169	-0.0576775	0.00335169	0.00101507	0.00187269	0.00119121	0.00143808	-0.000601446	-0.00082254	-0.000858621	-0.000760233	-0.000940228
0.00696071	0.00172363	0.00192669	0.00346437	0.00417658	-0.0598814	-0.062151	-0.000822788	-0.000722653	-0.00081406	-0.000780419	-0.000801976	-0.0588218	0.00670342	0.00203011	0.00374553	0.00218021	0.00287605	-0.000845537	-0.00079943	-0.000899498	-0.000684194	-0.000893137
0.0104412	0.0026683	0.00289006	0.00519651	0.00626481	-0.0598394	-0.0614551	-0.000866153	-0.000852485	-0.000919922	-0.000998673	-0.000803486	-0.0608921	0.0100552	0.00304514	0.00561837	0.00316086	0.00431405	-0.000963349	-0.000602257	-0.000835221	-0.000922355	-0.000884648
0.0139215	0.00368215	0.00385332	0.00692864	0.00835313	-0.0608038	-0.0617196	-0.000868874	-0.000733479	-0.000941278	-0.000960966	-0.000678043	-0.0612527	0.0134068	0.00406018	0.00749117	0.00414138	0.0057521	-0.000805818	-0.000633305	-0.000722809	-0.000855672	-0.000851475
0.0174019	0.00469606	0.00481663	0.00866077	0.0104416	-0.0614849	-0.0623956	-0.00094256	-0.000822947	-0.000648865	-0.000999924	-0.000872703	-0.0611377	0.0167585	0.00507526	0.00936392	0.00512184	0.0071902	-0.000897102	-0.000829047	-0.000760578	-0.00086426	-0.000753959
0.0208824	0.00570983	0.00577984	0.0103775	0.0125298	-0.0612142	-0.0622562	-0.000646976	-0.00079375	-0.000927403	-0.00108849	-0.000944721	-0.0609093	0.0201101	0.00609041	0.0112367	0.0061024	0.00862831	-0.000776191	-0.000788748	-0.0008531	-0.00103134	-0.000920487
0.0243628	0.0067236	0.00674315	0.0118996	0.0146181	-0.0615984	-0.0614975	-0.000899109	-0.000730579	-0.000974779	-0.00104153	-0.000815907	-0.0616948	0.0234617	0.00710552	0.0131095	0.00708293	0.0100636	-0.000819843	-0.000905633	-0.000819483	-0.000788893	-0.000831227
0.0278429	0.00773739	0.00770653	0.0134045	0.0167064	-0.0615031	-0.0614087	-0.00110418	-0.00084641	-0.000767056	-0.000841247	-0.000809752	-0.0622834	0.0268133	0.00812049	0.0149824	0.00806341	0.0114923	-0.000840961	-0.000889754	-0.000869193	-0.000932917	-0.000868246
0.0312748	0.00875112	0.0086698	0.0149094	0.0187947	-0.0613385	-0.0613218	-0.000789392	-0.000687337	-0.000757701	-0.000760585	-0.000888851	-0.0621978	0.0301734	0.00913557	0.0168552	0.00904404	0.0129209	-0.000737452	-0.000824249	-0.000814287	-0.00100775	-0.000706816
0.0346895	0.00976491	0.00963326	0.0164143	0.020883	-0.0615513	-0.0610161	-0.000868341	-0.000881319	-0.00090642	-0.000741924	-0.00102803	-0.0623299	0.0335589	0.0101506	0.0187281	0.0100247	0.0143496	-0.000602352	-0.000794176	-0.000993274	-0.000716401	-0.000923642
0.0381043	0.0107788	0.0105967	0.0179192	0.0229714	-0.0614756	-0.0606643	-0.000836809	-0.000727262	-0.00102603	-0.000888014	-0.000703479	-0.0625533	0.0369447	0.0111658	0.0206009	0.0110054	0.0157782	-0.00101752	-0.000586983	-0.000819757	-0.000988173	-0.00080381
