lap3_21_samp	lap3_22_samp	lap3_23_samp	lap3_24_samp	lap3_25_samp	lap3_26_samp	rp315	rp2840	cur3_21_samp	cur3_22_samp	cur3_23_samp	cur3_24_samp	cur3_25_samp	cur3_26_samp
0.00010115	0.000295578	0.00016473	9.42046e-05	0.000162932	0.000130082	-0.0625289	-0.060479	-0.000925996	-0.00130943	-0.00132043	-0.0012238	-0.000929692	-0.00107735
0.00142861	0.00417523	0.00232683	0.0013307	0.0023019	0.00183773	-0.0625322	-0.0604664	-0.0012908	-0.00123502	-0.00110467	-0.0012361	-0.00136875	-0.00102349
0.00275889	0.00835048	0.00465361	0.00264593	0.00460388	0.00367546	-0.0625198	-0.0602317	-0.00119493	-0.00118452	-0.00105873	-0.00117733	-0.0011024	-0.000931908
0.00397687	0.0125258	0.00696365	0.00393749	0.00690584	0.00551335	-0.0620069	-0.0596151	-0.001051	-0.00101589	-0.00106669	-0.00111177	-0.001041	-0.00107131
0.00519476	0.0167013	0.00922335	0.00522907	0.0092077	0.00735118	-0.0615145	-0.0590882	-0.00102015	-0.00107874	-0.00107983	-0.00112782	-0.00116579	-0.00103955
0.00641263	0.0208766	0.0114826	0.00652066	0.0115096	0.00918896	-0.0608246	-0.0586894	-0.00104548	-0.000998723	-0.000967986	-0.00099862	-0.00119769	-0.00107664
0.00763053	0.0250512	0.0137418	0.00781225	0.0138116	0.0110232	-0.0609447	-0.0576198	-0.000904504	-0.00125088	-0.00102479	-0.00115789	-0.0010302	-0.00114659
0.0088484	0.029127	0.016001	0.00910391	0.0161137	0.0128112	-0.0602948	-0.0573583	-0.00100266	-0.00107841	-0.00103107	-0.000998153	-0.00107213	-0.00121104
0.0100663	0.0331673	0.0182602	0.0103955	0.0184156	0.0145952	-0.0590701	-0.0575074	-0.00103089	-0.00101097	-0.00102479	-0.000937581	-0.00113728	-0.00110416
0.0112841	0.0372076	0.0205194	0.0116871	0.0207176	0.0163793	-0.0597157	-0.0579058	-0.00124866	-0.000911099	-0.00104396	-0.00105015	-0.00106418	-0.00102163
