lap2_47_samp	lap2_48_samp	lap2_49_samp	lap2_50_samp	lap2_51_samp	Smth2_47_samp	Smth2_48_samp	Smth2_49_samp	Smth2_50_samp	Smth2_51_samp	rp1111
0.000266583	0.000216377	0.00026925	0.000229659	0.000265572	-0.0619618	-0.0599553	-0.0569338	-0.0553624	-0.0584116	-0.00119743
0.00376593	0.00305647	0.00380355	0.00324421	0.00375156	-0.0619583	-0.05995	-0.0569143	-0.0553581	-0.0584163	1.91741e-05
0.0075317	0.00611288	0.007607	0.00648846	0.00750312	-0.0619477	-0.0599342	-0.0568567	-0.0553452	-0.0584304	-0.00182698
0.0112974	0.00916925	0.0114104	0.00973275	0.0112548	-0.0619292	-0.0599064	-0.0567601	-0.0553239	-0.0584545	-0.00251035
0.0150632	0.0122256	0.0152138	0.012977	0.0150066	-0.0619044	-0.0598656	-0.0566257	-0.0552947	-0.058488	-0.00242478
0.018829	0.015282	0.0190418	0.0162213	0.0187582	-0.0618755	-0.0598119	-0.0564564	-0.0552586	-0.0585303	-0.00189928
0.0226042	0.0183384	0.0228854	0.0194655	0.0225099	-0.0618434	-0.0597467	-0.0562567	-0.0552153	-0.0585809	-0.000155199
0.0265512	0.0213943	0.0267289	0.0227097	0.0262616	-0.0618083	-0.0596713	-0.0560323	-0.055164	-0.0586402	0.000905599
0.0305188	0.0244383	0.0305725	0.0259539	0.0300137	-0.0617705	-0.0595863	-0.0557875	-0.0551048	-0.0587066	-0.00040976
0.0344863	0.0274806	0.0344161	0.0292037	0.0337671	-0.0617298	-0.0594907	-0.0555255	-0.0550374	-0.0587795	-0.00124662
0.038454	0.030523	0.0382597	0.032559	0.0375204	-0.0616847	-0.0593848	-0.0552507	-0.0549627	-0.0588577	-0.000387788
0.0424215	0.0335654	0.0421034	0.0359276	0.0412737	-0.0616325	-0.0592696	-0.0549685	-0.0548815	-0.0589422	0.00116964
0.046389	0.0366078	0.045947	0.0392963	0.045027	-0.0615726	-0.0591471	-0.0546848	-0.0547942	-0.0590334	0.00177104
0.0503565	0.0396501	0.0498024	0.0426648	0.0487804	-0.0615057	-0.0590188	-0.0544044	-0.0547037	-0.0591297	0.00100168
0.0543236	0.0426925	0.0536775	0.0460333	0.0525338	-0.0614329	-0.0588854	-0.0541309	-0.0546116	-0.0592296	0.000251807
0.0582437	0.0457349	0.0575528	0.049402	0.0562871	-0.0613547	-0.0587475	-0.0538665	-0.0545195	-0.0593322	6.25774e-05
0.0621494	0.0487773	0.0614281	0.0527705	0.0600405	-0.0612717	-0.0586062	-0.0536156	-0.0544292	-0.0594367	-6.19963e-05
0.0660552	0.0518196	0.0653035	0.0561391	0.0638122	-0.0611856	-0.0584628	-0.0533825	-0.0543418	-0.0595418	-0.000123341
0.0699608	0.054854	0.0691788	0.0595077	0.0675904	-0.0610994	-0.0583198	-0.0531709	-0.0542589	-0.0596458	0.000458401
0.0738664	0.0577898	0.073054	0.0628708	0.0713688	-0.061014	-0.05818	-0.0529843	-0.0541819	-0.0597481	0.0016611
0.077772	0.0607171	0.0769292	0.0662267	0.0751472	-0.0609295	-0.0580444	-0.0528237	-0.0541135	-0.0598483	0.00220878
0.0816777	0.0636445	0.0808064	0.0695827	0.0789255	-0.0608471	-0.0579136	-0.0526891	-0.0540562	-0.0599458	0.00157074
0.0855833	0.0665718	0.0846932	0.0729387	0.0827039	-0.0607665	-0.0577885	-0.0525796	-0.054012	-0.0600401	0.00120354
0.0894562	0.069499	0.08858	0.0762947	0.0864821	-0.0606879	-0.0576704	-0.0524954	-0.0539829	-0.0601298	0.00220587
0.0932835	0.0724263	0.0924668	0.0796506	0.0902604	-0.0606106	-0.057561	-0.0524369	-0.05397	-0.0602144	0.00326044
0.0971107	0.0753536	0.0963537	0.0830067	0.0940296	-0.0605354	-0.0574611	-0.052404	-0.0539745	-0.0602926	0.00395481
0.100938	0.0782809	0.10024	0.0863627	0.0977624	-0.0604636	-0.0573708	-0.052395	-0.0539969	-0.0603638	0.0045097
0.104765	0.0812082	0.104127	0.0897189	0.101495	-0.0603955	-0.05729	-0.0524062	-0.054039	-0.060428	0.00463801
0.108593	0.0841355	0.108014	0.0930745	0.105227	-0.0603313	-0.0572177	-0.0524338	-0.0541009	-0.0604863	0.00455165
0.11242	0.0870628	0.111901	0.0963968	0.108959	-0.0602711	-0.0571546	-0.052477	-0.0541824	-0.0605389	0.00536959
0.116247	0.0899148	0.115784	0.0997094	0.112691	-0.0602166	-0.057101	-0.0525348	-0.0542829	-0.060585	0.00716064
0.120072	0.0926861	0.119667	0.103022	0.116424	-0.0601701	-0.0570569	-0.0526018	-0.054401	-0.0606233	0.00825765
0.123818	0.0954572	0.12355	0.106335	0.120156	-0.0601311	-0.0570221	-0.0526722	-0.0545365	-0.0606528	0.00766004
0.127547	0.0982284	0.127433	0.109647	0.123889	-0.0600985	-0.0569959	-0.0527423	-0.0546882	-0.0606738	0.00616404
0.131276	0.101	0.131316	0.11296	0.127652	-0.0600716	-0.0569774	-0.0528095	-0.054854	-0.0606866	0.00517653
0.135004	0.103771	0.135199	0.116272	0.131429	-0.06005	-0.0569663	-0.0528731	-0.055031	-0.0606913	0.00517484
0.138733	0.106542	0.139082	0.119585	0.135205	-0.0600329	-0.0569631	-0.0529322	-0.0552178	-0.0606882	0.00564784
0.142462	0.109313	0.142965	0.122897	0.138981	-0.0600194	-0.0569687	-0.0529857	-0.055414	-0.0606774	0.00599588
0.14619	0.112084	0.146843	0.126208	0.142758	-0.0600096	-0.0569834	-0.0530321	-0.0556195	-0.06066	0.00606463
0.149919	0.114855	0.150718	0.129503	0.146534	-0.0600041	-0.0570067	-0.053068	-0.0558331	-0.0606363	0.00596436
0.15364	0.117627	0.154593	0.132798	0.150311	-0.0600042	-0.0570389	-0.0530903	-0.0560523	-0.0606075	0.00577192
0.157249	0.120398	0.158469	0.136093	0.154087	-0.0600108	-0.0570806	-0.053097	-0.0562755	-0.0605733	0.00554879
0.160847	0.12314	0.162344	0.139388	0.157855	-0.0600254	-0.0571313	-0.0530893	-0.0564999	-0.0605336	0.0053959
0.164445	0.125732	0.166219	0.142683	0.161536	-0.0600489	-0.0571912	-0.0530684	-0.0567227	-0.0604896	0.00537635
0.168043	0.128321	0.170094	0.145978	0.165212	-0.0600819	-0.0572607	-0.0530335	-0.0569417	-0.0604419	0.00542143
0.17164	0.130909	0.173969	0.149273	0.168887	-0.0601244	-0.05734	-0.0529842	-0.0571553	-0.0603919	0.00552438
0.175238	0.133498	0.177827	0.152568	0.172562	-0.0601749	-0.0574284	-0.0529232	-0.0573628	-0.0603401	0.00578056
0.178836	0.136086	0.181647	0.155862	0.176238	-0.0602318	-0.0575247	-0.0528542	-0.0575627	-0.060287	0.00618321
0.182434	0.138675	0.185467	0.159145	0.179913	-0.0602923	-0.0576281	-0.0527796	-0.057754	-0.0602325	0.00658637
0.18603	0.141263	0.189287	0.162377	0.183589	-0.0603553	-0.057738	-0.0526994	-0.0579368	-0.060177	0.00649874
0.189549	0.143851	0.193107	0.16561	0.187264	-0.0604198	-0.0578525	-0.0526136	-0.0581113	-0.0601216	0.00567834
0.193051	0.14644	0.196927	0.168842	0.190927	-0.0604847	-0.0579681	-0.0525248	-0.0582773	-0.0600673	0.00464726
0.196553	0.149028	0.200747	0.172074	0.194505	-0.0605499	-0.0580809	-0.0524361	-0.0584334	-0.0600163	0.00446202
0.200055	0.151617	0.204567	0.175306	0.198079	-0.0606149	-0.0581882	-0.0523488	-0.0585775	-0.0599694	0.0054611
0.203557	0.154206	0.208386	0.178538	0.201652	-0.0606786	-0.0582879	-0.0522653	-0.0587089	-0.0599265	0.0065053
0.207059	0.156812	0.212178	0.181771	0.205226	-0.06074	-0.0583783	-0.0521887	-0.0588275	-0.0598868	0.00643903
0.210561	0.159421	0.215965	0.185003	0.2088	-0.0607983	-0.0584586	-0.0521214	-0.0589331	-0.059851	0.00555217
0.214062	0.16203	0.219752	0.188235	0.212374	-0.060853	-0.0585274	-0.0520653	-0.0590259	-0.0598195	0.00482169
0.217564	0.164639	0.223539	0.191462	0.215948	-0.0609034	-0.0585822	-0.0520216	-0.0591076	-0.0597919	0.00458053
0.221039	0.167248	0.227327	0.194585	0.219522	-0.0609484	-0.0586209	-0.0519917	-0.0591798	-0.0597682	0.0043247
0.224498	0.169856	0.231114	0.197695	0.223094	-0.0609862	-0.0586416	-0.0519771	-0.0592437	-0.059749	0.00356233
0.227956	0.172465	0.234901	0.200805	0.226662	-0.0610153	-0.0586435	-0.0519781	-0.0593005	-0.0597348	0.00260463
0.231414	0.175074	0.238688	0.203915	0.230229	-0.0610365	-0.0586269	-0.0519939	-0.0593526	-0.0597251	0.00206051
0.234872	0.177683	0.242469	0.207025	0.233797	-0.0610512	-0.0585911	-0.0520242	-0.0594021	-0.0597183	0.0021397
0.23833	0.180292	0.24624	0.210135	0.237364	-0.061059	-0.0585355	-0.05207	-0.0594508	-0.0597137	0.00259757
0.241788	0.182901	0.250011	0.213244	0.240932	-0.0610588	-0.0584613	-0.0521308	-0.0595008	-0.0597102	0.00294204
0.245246	0.18551	0.253783	0.216354	0.244499	-0.0610508	-0.0583706	-0.0522042	-0.0595526	-0.059707	0.00285288
0.248706	0.188099	0.257554	0.219464	0.248067	-0.0610364	-0.0582668	-0.0522887	-0.0596065	-0.0597031	0.00238765
0.252282	0.190619	0.261325	0.222574	0.251634	-0.0610185	-0.0581526	-0.0523841	-0.0596632	-0.059698	0.00196614
0.255894	0.193137	0.265096	0.225661	0.255248	-0.0609988	-0.0580294	-0.0524894	-0.0597242	-0.0596917	0.00192025
0.259506	0.195656	0.268867	0.22862	0.258922	-0.0609788	-0.0578984	-0.0526033	-0.059791	-0.0596843	0.00212505
0.263119	0.198174	0.272638	0.231575	0.262596	-0.0609591	-0.057763	-0.0527252	-0.0598654	-0.0596745	0.00216649
0.266731	0.200693	0.276375	0.234531	0.26627	-0.0609402	-0.0576272	-0.052854	-0.0599477	-0.0596608	0.00175377
