lap2_5_samp	lap2_6_samp	lap2_7_samp	lap2_8_samp	lap2_9_samp	rp1728	cur2_5_samp	cur2_6_samp	cur2_7_samp	cur2_8_samp	cur2_9_samp	rp3655	lap2_29_samp	lap2_30_samp	lap2_31_samp	lap2_32_samp	lap2_33_samp	cur2_29_samp	cur2_30_samp	cur2_31_samp	cur2_32_samp	cur2_33_samp
0.000265294	0.000197862	0.000269352	0.000218472	0.000171759	-0.0604266	-0.000749395	-0.000188183	-0.000383166	-0.000774085	-0.000267417	-0.0610148	0.000273154	0.000266072	0.000227877	0.000288146	0.000266081	-0.000625939	-0.000900123	-0.000257525	-0.000202867	-0.000361361
0.00374769	0.00283164	0.00380482	0.00308624	0.00254482	-0.0603263	-0.000743556	-0.000445497	-0.000774192	-0.000361743	-0.000716553	-0.0600366	0.0038584	0.00375863	0.00321914	0.00407049	0.00375862	-0.000317369	-0.000658019	-0.000691412	-0.000688046	-0.000605401
0.00749552	0.00571473	0.00759282	0.00617245	0.00527603	-0.0600928	-0.000534053	-0.000689992	-0.000574451	-0.000751999	-0.000606512	-0.0601396	0.00771691	0.00751712	0.00643817	0.00814104	0.00751718	-0.000579928	-0.000591985	-0.000510972	-0.000585925	-0.000727034
0.0112525	0.0085978	0.0113766	0.00925871	0.00800743	-0.0600318	-0.000387883	-0.000392103	-0.000589696	-0.000721992	-0.000515345	-0.0603361	0.0115755	0.0112757	0.00965736	0.0122117	0.0112757	-0.000572488	-0.00077675	-0.00047474	-0.000630481	-0.000635863
0.0150162	0.0114808	0.0151603	0.012345	0.0107388	-0.0603626	-0.000641244	-0.000542396	-0.00058964	-0.000799969	-0.000631626	-0.0603773	0.0154339	0.0150342	0.0128763	0.0162795	0.0150341	-0.000670561	-0.000591568	-0.000514514	-0.000631529	-0.000499268
0.01878	0.0143638	0.0189439	0.0154313	0.0134701	-0.0608585	-0.000720959	-0.000579202	-0.000543729	-0.000575201	-0.000466185	-0.0606097	0.0192924	0.0187926	0.0160955	0.0202222	0.0187928	-0.000604371	-0.000551182	-0.000508541	-0.000560093	-0.000552288
0.0225438	0.0172467	0.0227274	0.0185176	0.0162015	-0.0612821	-0.00053653	-0.000744059	-0.000673136	-0.00052836	-0.000653411	-0.060371	0.0231508	0.0225512	0.0192974	0.0241373	0.0225513	-0.000459182	-0.000559497	-0.000607801	-0.000668475	-0.000567505
0.0263075	0.0201296	0.0265111	0.0216036	0.0189328	-0.0616877	-0.000773891	-0.000649941	-0.000554804	-0.000634178	-0.000499377	-0.0599508	0.0270093	0.0263557	0.0223908	0.0280524	0.0263097	-0.000706883	-0.000569392	-0.000449379	-0.000439605	-0.000592317
0.0300713	0.0230125	0.0302946	0.0246897	0.0216643	-0.0622769	-0.000686837	-0.000638109	-0.000541571	-0.000813001	-0.000492087	-0.0598401	0.0308679	0.0302589	0.0254801	0.0319676	0.0299933	-0.000667103	-0.000643711	-0.0005977	-0.0004293	-0.000680695
0.0338351	0.0258956	0.0340782	0.0277761	0.0243958	-0.0624645	-0.000420278	-0.000650462	-0.00077033	-0.000677377	-0.000707227	-0.060018	0.0347263	0.0341626	0.0285695	0.0358827	0.0335832	-0.000501997	-0.000543089	-0.000589182	-0.000812898	-0.000530856
0.0375988	0.0287786	0.0378515	0.0308703	0.0271272	-0.0625508	-0.000595602	-0.000520884	-0.000612123	-0.00049147	-0.000712456	-0.0603612	0.0385848	0.0380662	0.0316588	0.0397979	0.0371731	-0.000494396	-0.000746692	-0.000553707	-0.000544277	-0.000781848
0.0414192	0.0316619	0.0415994	0.0339863	0.0298586	-0.0622643	-0.000779683	-0.00043884	-0.000773068	-0.000684213	-0.000785241	-0.0605504	0.0424432	0.0419699	0.0347482	0.043713	0.040763	-0.00049977	-0.000817759	-0.000712364	-0.000689977	-0.000653109
0.0453266	0.034628	0.0453471	0.0371023	0.0325921	-0.0623412	-0.000691959	-0.000490944	-0.000591678	-0.000430327	-0.000504794	-0.0605088	0.0463018	0.0458735	0.0378375	0.0476281	0.0443528	-0.000654318	-0.00060047	-0.00042659	-0.000419968	-0.000464304
0.0492341	0.0376233	0.0490947	0.0402184	0.0353702	-0.0625779	-0.000800629	-0.000833851	-0.000662447	-0.000713032	-0.000323704	-0.0605019	0.0501603	0.0497772	0.0409269	0.0514918	0.0479428	-0.000484632	-0.000589619	-0.000681886	-0.000559921	-0.000447843
0.0531416	0.0406187	0.0528423	0.0433343	0.0381547	-0.0630919	-0.000604976	-0.000582461	-0.000566301	-0.000709524	-0.000598063	-0.0606218	0.0540101	0.0536808	0.0440161	0.055279	0.0515326	-0.000644938	-0.000709519	-0.000495055	-0.000684404	-0.000375799
0.057049	0.0436141	0.0565899	0.0464504	0.0409392	-0.0632277	-0.000685432	-0.000490861	-0.000602242	-0.000620823	-0.000596481	-0.060711	0.0578464	0.0576645	0.0471055	0.0590661	0.0551223	-0.000331459	-0.000600667	-0.000851485	-0.000717051	-0.000518861
0.0609565	0.0466096	0.0603376	0.0495665	0.0437238	-0.0630115	-0.000835171	-0.000713651	-0.000489301	-0.000542093	-0.000528898	-0.0606568	0.0616827	0.0617369	0.0501948	0.0628532	0.0587125	-0.000620839	-0.000473782	-0.000643194	-0.000424041	-0.000575833
0.064864	0.049605	0.0640854	0.0526825	0.0465083	-0.062885	-0.000546844	-0.000634347	-0.000470334	-0.000669926	-0.00057331	-0.0606077	0.0655192	0.0658093	0.0532536	0.0666402	0.0623645	-0.000491838	-0.000538548	-0.000894316	-0.000688468	-0.000732029
0.0687717	0.0526004	0.0678334	0.0557985	0.0492929	-0.0631885	-0.000547568	-0.000687023	-0.000636693	-0.000596831	-0.000565562	-0.0606343	0.0693556	0.0698818	0.0562913	0.0704273	0.0660382	-0.000762797	-0.000596083	-0.000586182	-0.000507788	-0.000481331
0.0728261	0.0555958	0.0715999	0.0589146	0.0520775	-0.0634967	-0.000614236	-0.000449137	-0.000561026	-0.000737232	-0.000198645	-0.0606287	0.0731921	0.0739542	0.0593291	0.0742144	0.0697119	-0.000620972	-0.000515864	-0.000413031	-0.000514071	-0.000499152
0.0769581	0.0585912	0.0753711	0.06203	0.0548621	-0.0635169	-0.000623343	-0.000496617	-0.000618216	-0.000726453	-0.000442358	-0.0605161	0.0770285	0.0780266	0.0623668	0.0780015	0.0733857	-0.000631828	-0.00054987	-0.000756859	-0.000576305	-0.000655345
0.0810902	0.0615865	0.0791422	0.0651	0.0576467	-0.0633637	-0.000545361	-0.00061856	-0.000829839	-0.000594273	-0.000525159	-0.0603586	0.0808648	0.0820991	0.0654045	0.0817884	0.0770594	-0.000759062	-0.000679345	-0.000738142	-0.000793509	-0.000616373
0.085222	0.0646101	0.0829133	0.0681588	0.0604313	-0.0633696	-0.000644852	-0.000407416	-0.000479252	-0.000650923	-0.000749711	-0.0601686	0.0847095	0.0861725	0.0684422	0.0854823	0.0807331	-0.000575434	-0.000833636	-0.000785068	-0.000758109	-0.00072456
0.0893541	0.0676841	0.0866845	0.0712177	0.0632157	-0.063701	-0.000558627	-0.000619565	-0.000688318	-0.000659341	-0.000623661	-0.0598911	0.0885902	0.0903186	0.0714799	0.089123	0.0844068	-0.00049006	-0.000610885	-0.000650453	-0.000587617	-0.000682426
0.0934861	0.0707581	0.0904555	0.0742764	0.0660002	-0.0637026	-0.000686944	-0.000733707	-0.000487449	-0.000560196	-0.00070712	-0.059619	0.0924715	0.094485	0.0745175	0.0927636	0.0880805	-0.00067253	-0.000548853	-0.000775589	-0.000635879	-0.000678784
0.0976182	0.073832	0.0942266	0.0773353	0.0686681	-0.0633898	-0.000706475	-0.000432646	-0.000944578	-0.000658296	-0.000660482	-0.0593453	0.0963529	0.0986515	0.0775552	0.0964042	0.0917523	-0.00051108	-0.000566249	-0.000601529	-0.000789933	-0.000381183
0.101795	0.076906	0.0979976	0.080394	0.0712703	-0.0629366	-0.000635082	-0.000695206	-0.000437509	-0.000751546	-0.000712419	-0.0588693	0.100234	0.102818	0.0805928	0.100045	0.0953716	-0.000516662	-0.000781643	-0.000807377	-0.000652268	-0.00063222
0.106104	0.07998	0.101763	0.083453	0.0738726	-0.0627194	-0.000818216	-0.000511985	-0.00056655	-0.000600533	-0.000504031	-0.0583306	0.104116	0.106984	0.0836291	0.103686	0.0989826	-0.00064459	-0.000599817	-0.000591079	-0.000629683	-0.000595842
0.110413	0.0830541	0.105374	0.0865119	0.0764748	-0.0630925	-0.000853566	-0.000726634	-0.000649835	-0.00055522	-0.000688554	-0.0579603	0.107997	0.11115	0.0866157	0.107326	0.102593	-0.000728574	-0.000710672	-0.000752126	-0.000649576	-0.00065326
0.114723	0.0861281	0.108961	0.0895707	0.0790771	-0.063324	-0.00065477	-0.00074748	-0.000597678	-0.000655035	-0.000788217	-0.057696	0.111878	0.115317	0.0895923	0.110967	0.106204	-0.000748549	-0.000788388	-0.00054187	-0.000718819	-0.000608234
0.119033	0.0892021	0.112548	0.0926294	0.0816793	-0.063114	-0.000578614	-0.00056449	-0.000687533	-0.000555919	-0.000624244	-0.0572932	0.115775	0.119478	0.092569	0.114608	0.109816	-0.000628	-0.000630183	-0.000819994	-0.000808551	-0.000548755
0.123343	0.0922761	0.116135	0.0956773	0.0842815	-0.0626101	-0.000407862	-0.000538065	-0.000799602	-0.000566989	-0.000367716	-0.0570218	0.119752	0.123577	0.0955456	0.118183	0.113427	-0.000580777	-0.000780262	-0.000556868	-0.000490091	-0.000679518
