lap4_23_samp	lap4_23b_samp	lap4_24_samp	lap4_25_samp	lap4_26_samp	cur4_23_samp	cur4_23b_samp	cur4_24_samp	cur4_25_samp	cur4_26_samp	rp2747
0.000206869	0	0.000202433	0.000147794	0.000143794	-0.000152456	-0.000579828	-0.000448127	-0.000280059	-0.000774589	-0.0589794
0.00292227	0.0026	0.00285951	0.00208779	0.00203126	-0.000396645	-0.000604963	-0.000309371	-0.000429028	-0.000393171	-0.0603815
0.00584464	0.0052	0.00571903	0.00417568	0.00406255	-0.000633245	-0.000571543	-0.000515846	-0.000515218	-0.000570938	-0.0597904
0.00876694	0.0078	0.00857843	0.00626353	0.00609377	-0.000721704	-0.00048322	-0.00060915	-0.00051127	-0.000463981	-0.0588856
0.0117067	0.0104	0.0114378	0.0083514	0.00812501	-0.000553855	-0.000353685	-0.000464361	-0.0004677	-0.000203364	-0.0588311
0.0146567	0.0131	0.0142972	0.0104392	0.0101673	-0.000446806	-0.000456547	-0.0005057	-0.000392135	-0.000569518	-0.0585846
0.0176067	0.0157	0.0171567	0.0125271	0.0122262	-0.000353764	-0.000572887	-0.000257326	-0.000449545	-0.000570328	-0.0587085
0.0205565	0.0183	0.019941	0.0146148	0.014285	-0.000318095	-0.000299519	-0.000660756	-0.000394603	-0.000664806	-0.0588921
0.0235065	0.0209	0.0226623	0.0167025	0.016344	-0.000513099	-0.000586334	-0.000465677	-0.000485033	-0.00026231	-0.0586245
0.0264564	0.0236	0.0253835	0.0187904	0.0184029	-0.000504739	-0.000558077	-0.000499118	-0.000463159	-0.000525	-0.0583405
0.0294065	0.0262	0.0281047	0.0208782	0.0204619	-0.000426863	-0.000623631	-0.000535767	-0.000511986	-0.000761757	-0.0579803
0.0323565	0.0288	0.0308259	0.0229661	0.0225207	-0.000337741	-0.000431358	-0.000518879	-0.000405809	-0.000385328	-0.0577635
0.0353064	0.0315	0.0335472	0.0250539	0.0245796	-0.000519407	-0.000622734	-0.000483729	-0.000682046	-0.000602526	-0.0580901
0.0382564	0.0341	0.0362683	0.0271417	0.0266386	-0.000673488	-0.00065035	-0.000648077	-0.000408408	-0.000402816	-0.0582853
0.0412063	0.0367	0.0389896	0.0292036	0.0286975	-0.000504618	-0.000466294	-0.000569719	-0.000534759	-0.000421856	-0.058194
0.0441334	0.0394	0.041711	0.0312258	0.0307564	-0.000687494	-0.000592385	-0.000612705	-0.000377636	-0.000694799	-0.0577943
0.0470491	0.042	0.0444322	0.0332481	0.0328152	-0.000569161	-0.000487943	-0.000521032	-0.000489389	-0.00035644	-0.0571266
0.0499648	0.0447	0.0471534	0.0352703	0.0348742	-0.000714805	-0.000375943	-0.000409183	-0.000472613	-0.000692888	-0.0568531
0.0528805	0.0474	0.0499365	0.0372925	0.0369331	-0.000712168	-0.000558981	-0.000366127	-0.000517182	-0.000630083	-0.0569752
0.0557963	0.0501	0.0528062	0.0393148	0.0389919	-0.000430891	-0.000721226	-0.000527934	-0.000390624	-0.00035667	-0.0568475
0.0587121	0.0527	0.055676	0.041337	0.0410543	-0.000501455	-0.000486697	-0.000643384	-0.000741432	-0.000369233	-0.0564359
0.0616279	0.0554	0.0585458	0.0433591	0.0431401	-0.000565503	-0.000477567	-0.000405294	-0.000788086	-0.000735687	-0.0559248
0.0645437	0.0581	0.0614156	0.0453813	0.0452268	-0.000588873	-0.000625847	-0.000459817	-0.000347137	-0.000352162	-0.0554745
0.0674594	0.0607	0.0642853	0.0474035	0.0473135	-0.000465867	-0.00039673	-0.000484561	-0.000460748	-0.000606768	-0.0551748
