lap2_17_samp	lap2_18_samp	lap2_19_samp	lap2_20_samp	lap2_21_samp	lap2_22_samp	lap2_23_samp	cur2_17_samp	cur2_18_samp	cur2_19_samp	cur2_20_samp	cur2_21_samp	cur2_22_samp	cur2_23_samp	rp24332
5.49333e-05	7.97837e-05	0.000101263	8.21473e-05	0.000118386	9.49329e-05	6.00775e-05	-0.000527504	-0.00089276	-0.000432157	-0.00101044	-0.000773778	-0.000676843	-0.000244113	-0.0598893
0.00151512	0.00220034	0.00279251	0.00226549	0.00326518	0.00261832	0.00165694	-0.000491949	-0.000554455	-0.000834366	-0.000421988	-0.000245031	-0.000713261	-0.000551391	-0.0605122
0.00303029	0.00443594	0.00557003	0.00453103	0.00653036	0.0052366	0.00331402	-0.000359419	-0.000697933	-0.00054149	-0.000866887	-0.000728771	-0.000649171	-0.000663699	-0.0601938
0.00454542	0.00671525	0.00834693	0.00679654	0.00979569	0.00785494	0.00497098	-0.000286038	-0.000569587	-0.000211958	-0.000903853	-0.000546929	-0.000551741	-0.000420398	-0.0600574
0.00606052	0.0089945	0.0111237	0.00908434	0.0130609	0.0104733	0.00662796	-0.000897678	-0.000732019	-0.0009725	-0.000546438	-0.000467313	-0.000430901	-0.000484116	-0.0609417
0.00757568	0.0112736	0.0139007	0.0114694	0.0163935	0.0130916	0.00828487	-0.000568846	-0.000540639	-0.000386421	-0.000743347	-0.000694981	-0.00063929	-0.000520142	-0.0617319
0.00909082	0.0135528	0.0166776	0.0138546	0.0197565	0.0157099	0.00994193	-0.000774972	-0.000703371	-0.000842363	-0.000363322	-0.000747941	-0.00055107	-0.000902845	-0.062027
0.0106061	0.015832	0.0194545	0.0162398	0.0231195	0.018345	0.011599	-0.000803461	-0.00096577	-0.000649183	-0.000792643	-0.000402416	-0.000822417	-0.000658389	-0.0624672
0.0121212	0.0181112	0.0222315	0.0186251	0.0264826	0.0210195	0.0132561	-0.000443678	-0.000774311	-0.00101899	-0.000319556	-0.000588417	-0.000617948	-0.000832696	-0.0628465
0.0136364	0.0203904	0.0250083	0.0210104	0.0298456	0.023694	0.0149131	-0.000933931	-0.000451634	-0.000615437	-0.00067556	-0.00046125	-0.000650261	-0.000498987	-0.0630046
0.0151517	0.0226696	0.0277852	0.0233957	0.0332086	0.0263685	0.0165702	-0.000808777	-0.000676062	-0.000386316	-0.00051195	-0.000804809	-0.000882632	-0.00100548	-0.0635626
0.0166669	0.0249489	0.0305621	0.025781	0.0365717	0.0290429	0.0182272	-0.00067187	-0.000447432	-0.000565476	-0.000397832	-0.00063825	-0.00094833	-0.000415053	-0.0630663
0.0181821	0.0272282	0.0333389	0.0281662	0.0399346	0.0317173	0.0198843	-0.000805397	-0.00075011	-0.000692158	-0.00065501	-0.000920577	-0.000810118	-0.000476499	-0.0633498
0.0196973	0.0295074	0.036129	0.0305515	0.0432976	0.0343917	0.0215414	-0.00110466	-0.000849054	-0.00057074	-0.000182363	-0.000694731	-0.000906723	-0.00072963	-0.063438
