lap4_11_samp	lap4_12_samp	lap4_13_samp	lap4_14_samp	lap4_15_samp	lap4_16_samp	rp711	rp1727	cur4_12_samp	cur4_13_samp	cur4_14_samp	cur4_15_samp	cur4_16_samp
0.000214646	0.000184941	0.000206326	0.000179638	0.000233661	0.000248686	-0.0640236	-0.051717	-0.000885134	-0.00100223	-0.000731451	-0.000879376	-0.000841365
0.00303203	0.0026126	0.0029147	0.00253779	0.00330081	0.00351281	-0.0623367	-0.0517494	-0.000870902	-0.00095342	-0.000849298	-0.000837219	-0.000838644
0.00606402	0.00522532	0.0058293	0.00507555	0.00659319	0.00702582	-0.0625399	-0.0522725	-0.000906606	-0.000948744	-0.000981746	-0.000945954	-0.000799007
0.00909604	0.00783801	0.00874402	0.00761342	0.00986546	0.0105388	-0.0634936	-0.0534661	-0.000875074	-0.000575099	-0.000822541	-0.00070927	-0.000934138
0.0121281	0.0104506	0.0116586	0.0101513	0.0131376	0.0140518	-0.0627598	-0.0546089	-0.000846062	-0.000817559	-0.000894892	-0.00101682	-0.000988515
0.0151601	0.0130633	0.0145734	0.0126891	0.0164098	0.0175647	-0.0623608	-0.0572211	-0.000768693	-0.000991273	-0.000805135	-0.000898363	-0.00082153
0.0181923	0.015676	0.0174881	0.0152269	0.019682	0.0210775	-0.0629188	-0.0579071	-0.00100975	-0.000817106	-0.000725021	-0.000883415	-0.000853179
0.0212243	0.0182887	0.020403	0.0177649	0.0229542	0.0245905	-0.0629749	-0.0589131	-0.000858576	-0.000971574	-0.000934903	-0.00088625	-0.000916496
0.0242564	0.0209014	0.0233279	0.0203028	0.0262265	0.0280933	-0.0635972	-0.0601808	-0.00081822	-0.00110709	-0.000907903	-0.000806059	-0.000856519
0.0272885	0.0235169	0.0263046	0.0228406	0.0294987	0.0315536	-0.0644529	-0.0605242	-0.00078665	-0.000972188	-0.000870775	-0.000850997	-0.000843918
0.0303207	0.0261356	0.0292827	0.0253786	0.032771	0.0350131	-0.0639407	-0.0608902	-0.000926098	-0.000898447	-0.000839475	-0.000863216	-0.000664679
0.033362	0.0287542	0.0322607	0.0279165	0.0360433	0.0384728	-0.06327	-0.0606197	-0.000914531	-0.00104125	-0.00104985	-0.000940758	-0.000824501
0.0364072	0.0313729	0.0352387	0.0305036	0.0392993	0.0419324	-0.0624997	-0.0609251	-0.000909905	-0.000931024	-0.000957335	-0.00112886	-0.00101034
0.0394523	0.0339915	0.0382167	0.0331772	0.0425345	0.0453919	-0.0620051	-0.0618742	-0.00110074	-0.000861016	-0.000829663	-0.000792895	-0.000815526
0.0424975	0.0366101	0.0411947	0.0358509	0.0457698	0.0488515	-0.0620891	-0.061822	-0.00107782	-0.000775584	-0.00128399	-0.000983862	-0.000954976
0.0455426	0.0392287	0.0441728	0.0385246	0.0490051	0.0523111	-0.0631556	-0.0627496	-0.000938081	-0.000837646	-0.000856515	-0.00080015	-0.0010359
0.0485878	0.0418473	0.0471508	0.0411983	0.0522403	0.0557705	-0.0637105	-0.0629399	-0.000973632	-0.000828902	-0.00101324	-0.000824748	-0.00109542
0.0516328	0.044466	0.0501288	0.043872	0.0554755	0.0592298	-0.0640244	-0.062689	-0.000982808	-0.00106412	-0.000852222	-0.000874603	-0.000825502
0.0546778	0.0470846	0.0531069	0.0465457	0.0587106	0.0626338	-0.0637731	-0.0626247	-0.000806689	-0.000937209	-0.000939715	-0.000908747	-0.000902468
0.057723	0.0497031	0.0560783	0.0492194	0.0619458	0.0660173	-0.0635448	-0.062931	-0.000808761	-0.000828501	-0.000889179	-0.000848877	-0.000774296
0.0607681	0.0523219	0.0590367	0.0518932	0.0651811	0.0694006	-0.0634732	-0.062706	-0.00101991	-0.000951455	-0.000920983	-0.000817011	-0.000983419
0.0638082	0.0549557	0.0619949	0.0545668	0.0684163	0.0727838	-0.0637192	-0.0623487	-0.000983709	-0.000930183	-0.000790431	-0.000883944	-0.000983932
0.066802	0.0576074	0.0649532	0.0572406	0.0716492	0.0761671	-0.0638957	-0.0628457	-0.000797746	-0.000845528	-0.000670266	-0.000928676	-0.00114009
0.0697931	0.0602592	0.0679115	0.0599334	0.0748805	0.0795505	-0.0626422	-0.0627909	-0.000755051	-0.00106451	-0.000911008	-0.00100385	-0.000924226
0.0727843	0.062911	0.0708699	0.0627596	0.078112	0.0829337	-0.062138	-0.0618224	-0.000942053	-0.00116562	-0.00087902	-0.00108579	-0.0011335
0.0757754	0.0655627	0.0738282	0.0655918	0.0813432	0.086317	-0.0623426	-0.0612489	-0.00105721	-0.000875635	-0.00091211	-0.000715109	-0.00102731
0.0787666	0.0682145	0.0767866	0.0684239	0.0845745	0.0897003	-0.0632372	-0.0611862	-0.000954761	-0.000919732	-0.00125821	-0.00086771	-0.000965348
0.0817578	0.0708663	0.079745	0.071256	0.0878059	0.093076	-0.0636253	-0.0615958	-0.000913314	-0.000962435	-0.000909372	-0.000953782	-0.000816556
0.0847487	0.073518	0.0827034	0.074088	0.0910372	0.0964148	-0.0633052	-0.0623931	-0.00097484	-0.000798554	-0.000790907	-0.00100759	-0.000999085
0.0877399	0.0761698	0.0856618	0.0769201	0.0942684	0.0997528	-0.0623655	-0.0619451	-0.000956317	-0.000832747	-0.000962076	-0.000822848	-0.000935727
0.0907312	0.0788216	0.0886029	0.0797521	0.0974997	0.103091	-0.0629764	-0.0613251	-0.000886397	-0.000809007	-0.000955166	-0.000909474	-0.000915263
0.0937225	0.0814732	0.0915125	0.0825841	0.100732	0.106429	-0.0634302	-0.0615597	-0.000799731	-0.000882455	-0.000708407	-0.00110232	-0.00100618
0.0967071	0.0841258	0.094422	0.0854162	0.103998	0.109767	-0.063117	-0.0612277	-0.000923316	-0.000806828	-0.00105658	-0.000810622	-0.000827255
0.0996089	0.0868465	0.0973317	0.0882482	0.107274	0.113104	-0.0636081	-0.0609142	-0.000723099	-0.000787158	-0.00101946	-0.000749176	-0.000795077
0.102504	0.0895865	0.100241	0.0911269	0.110551	0.116442	-0.0641582	-0.0613275	-0.000754378	-0.000818074	-0.000897611	-0.00104112	-0.00107413
0.105398	0.0923265	0.103151	0.0940981	0.113827	0.11978	-0.0639537	-0.0611818	-0.000838515	-0.000960251	-0.000978294	-0.000816607	-0.000960061
