lap2_9_samp	lap2_10_samp	lap2_11_samp	lap2_12_samp	lap2_13_samp	cur2_9_samp	cur2_10_samp	cur2_11_samp	cur2_12_samp	cur2_13_samp	rp1631	rp16312
7.62015e-05	5.33204e-05	5.25617e-05	3.10007e-05	4.39781e-05	-0.000275199	-0.000793657	-0.000930263	-0.00141316	-0.000544512	-0.0592641	-0.0599924
0.0021016	0.00147028	0.00144954	0.00085506	0.00121294	-0.000931352	-0.000617779	-0.00080195	-0.000650979	-0.000701759	-0.0608842	-0.0612369
0.00420307	0.00294058	0.00289913	0.00171022	0.00242588	-0.000646527	-0.00080778	-0.000711448	-0.000650057	-0.000811674	-0.059804	-0.0602831
0.00627974	0.00441092	0.00434864	0.00256532	0.00363888	-0.000771293	-0.00038269	-0.000575165	-0.0007335	-0.00079186	-0.0585518	-0.0590676
0.00827893	0.00588121	0.00579824	0.00342039	0.00485185	-0.000681975	-0.000551749	-0.000715299	-0.000663062	-0.00100198	-0.0576226	-0.058507
0.0102781	0.00735137	0.00724777	0.00427548	0.00606477	-0.000357551	-0.000787003	-0.000950975	-0.000668492	-0.000834052	-0.058375	-0.0583632
0.0122773	0.00882156	0.00869725	0.00513063	0.00727775	-0.000600489	-0.000604975	-0.000809964	-0.00072421	-0.000295657	-0.0574901	-0.0576021
0.0142763	0.0104011	0.0101468	0.00598581	0.00849069	-0.000593288	-0.000753621	-0.000663153	-0.000716608	-0.000630965	-0.057014	-0.0574905
0.0162754	0.0120325	0.0115964	0.00684101	0.00970356	-0.00112332	-0.000682106	-0.000720845	-0.000821089	-0.000926169	-0.0566063	-0.0570816
0.0182746	0.0136639	0.0130463	0.00769618	0.0109165	-0.000592412	-0.000916405	-0.000617396	-0.00047258	-0.000774932	-0.0568078	-0.0566124
0.0202737	0.0152953	0.0145487	0.0085513	0.0121296	-0.000765097	-0.000547755	-0.000602155	-0.000618423	-0.000653528	-0.0566698	-0.0562906
0.0222728	0.0169267	0.0160579	0.00940657	0.0133426	-0.000633563	-0.000869751	-0.000810521	-0.000705682	-0.000805109	-0.0566592	-0.0560849
0.0242719	0.0185582	0.0175672	0.0102617	0.0145556	-0.000522208	-0.000782	-0.000754441	-0.0008966	-0.000916332	-0.0555814	-0.0549089
0.0262711	0.0201895	0.0190764	0.0111169	0.0157684	-0.000715392	-0.000709914	-0.000638259	-0.00089395	-0.000720635	-0.0545967	-0.0536759
0.0282702	0.021821	0.0205856	0.0119721	0.0169362	-0.000664121	-0.000813955	-0.00071241	-0.000449674	-0.000937877	-0.05462	-0.0528887
0.0302693	0.0234524	0.0220947	0.0128273	0.0180964	-0.000864336	-0.000712245	-0.000868976	-0.000580263	-0.000579934	-0.0549862	-0.0530332
0.0322685	0.025084	0.0236039	0.0136947	0.0192565	-0.000851342	-0.000791814	-0.000591157	-0.000620607	-0.0006609	-0.0550517	-0.053809
0.0342676	0.0267154	0.0251132	0.0146011	0.0204166	-0.000586924	-0.000814345	-0.000826304	-0.000769245	-0.000715977	-0.0549562	-0.0538059
0.0362667	0.0283468	0.0266225	0.0155075	0.0215767	-0.000959654	-0.000766685	-0.000674698	-0.00102588	-0.000719852	-0.055056	-0.053131
0.0382658	0.0299782	0.0281317	0.0164138	0.0227368	-0.000445981	-0.000448851	-0.000629455	-0.000845859	-0.000878396	-0.0549778	-0.0529798
0.040265	0.0316096	0.0296411	0.0173201	0.023897	-0.000800228	-0.000459456	-0.000718333	-0.000895297	-0.000360737	-0.0547739	-0.0534042
0.0421995	0.033241	0.0311503	0.0182265	0.0250571	-0.000346185	-0.000724521	-0.00100177	-0.000917019	-0.000449488	-0.0548004	-0.0542729
0.0439804	0.0348726	0.0326593	0.0191329	0.0262171	-0.000371628	-0.000569666	-0.000674162	-0.000557004	-0.000450198	-0.0564394	-0.054854
0.0457613	0.036504	0.0341687	0.0200394	0.0273772	-0.0005326	-0.000648473	-0.000779175	-0.00046725	-0.000659241	-0.0573031	-0.0550445
0.0475421	0.0381355	0.0356779	0.0209457	0.0285374	-0.000518474	-0.00062361	-0.000542988	-0.000272465	-0.000572648	-0.0570454	-0.0551746
0.0493228	0.0397672	0.0371873	0.0218521	0.0296974	-0.000683691	-0.000529003	-0.00064051	-0.000320203	-0.000632819	-0.0558105	-0.0547389
0.0511037	0.0414519	0.0386966	0.0227586	0.0308575	-0.000613792	-0.00092071	-0.000689225	-0.000916737	-0.000623511	-0.0557545	-0.0547718
